model,multiclass_log_loss,multiclass_brier,top_one_accuracy,top_two_accuracy,top_three_accuracy,mean_reciprocal_rank,mean_probability_realised_class,macro_ovr_auc,expected_calibration_error,prediction_entropy,effective_candidate_count,rows,sessions,stocks,class_support,predicted_class_distribution,mean_predicted_probability_distribution,group,breakdown_type,value
M0,0.811571164482954,0.496311383856834,0.613587698538065,0.927180385353678,1,0.794657246827979,0.512600036006564,0.685178003174767,0.0220476591862294,0.788233466881057,2.22540981843512,3156,157,20,"{""NO_REGISTERED_COMPLETION"": 1834, ""REGISTERED_COMPLETION"": 229, ""UNREGISTERED_LOOP"": 1093}","{""NO_REGISTERED_COMPLETION"": 0.7328130744602036, ""REGISTERED_COMPLETION"": 0.0, ""UNREGISTERED_LOOP"": 0.2671869255397963}","{""NO_REGISTERED_COMPLETION"": 0.573874349410741, ""REGISTERED_COMPLETION"": 0.07175436792760208, ""UNREGISTERED_LOOP"": 0.35437128266165696}",high,development_frozen_posterior_entropy,
M1,0.809599322913854,0.495263260857885,0.615481396496012,0.927812233843061,1,0.795709403888516,0.513039751554529,0.687651690124774,0.0198034031734005,0.787959176938193,2.2265156590813,3156,157,20,"{""NO_REGISTERED_COMPLETION"": 1834, ""REGISTERED_COMPLETION"": 229, ""UNREGISTERED_LOOP"": 1093}","{""NO_REGISTERED_COMPLETION"": 0.7228790120993442, ""REGISTERED_COMPLETION"": 0.0, ""UNREGISTERED_LOOP"": 0.2771209879006557}","{""NO_REGISTERED_COMPLETION"": 0.5721470837874778, ""REGISTERED_COMPLETION"": 0.07170011768536955, ""UNREGISTERED_LOOP"": 0.35615279852715276}",high,development_frozen_posterior_entropy,
M2,0.805953017556762,0.493902809201574,0.614799665231151,0.929707779311211,1,0.795684462500778,0.51281165584153,0.691741677641926,0.0158367048752106,0.788716249351346,2.22856959506158,3156,157,20,"{""NO_REGISTERED_COMPLETION"": 1834, ""REGISTERED_COMPLETION"": 229, ""UNREGISTERED_LOOP"": 1093}","{""NO_REGISTERED_COMPLETION"": 0.7225797154464786, ""REGISTERED_COMPLETION"": 0.0025273939575331307, ""UNREGISTERED_LOOP"": 0.2748928905959883}","{""NO_REGISTERED_COMPLETION"": 0.5692317835337729, ""REGISTERED_COMPLETION"": 0.07222678565577055, ""UNREGISTERED_LOOP"": 0.3585414308104566}",high,development_frozen_posterior_entropy,
M0,0.542377890843668,0.311700164544308,0.793368893995805,0.972980280166951,1,0.892181160359061,0.664591361931084,0.712633246106117,0.0561001943876329,0.617843591378656,1.87322617343626,3105,157,20,"{""NO_REGISTERED_COMPLETION"": 2474, ""REGISTERED_COMPLETION"": 83, ""UNREGISTERED_LOOP"": 548}","{""NO_REGISTERED_COMPLETION"": 0.9910103246083914, ""REGISTERED_COMPLETION"": 0.0, ""UNREGISTERED_LOOP"": 0.00898967539160851}","{""NO_REGISTERED_COMPLETION"": 0.7646909776748692, ""REGISTERED_COMPLETION"": 0.036394407004222744, ""UNREGISTERED_LOOP"": 0.19891461532090815}",low,development_frozen_posterior_entropy,
M1,0.537510349462892,0.309787990162621,0.794653133337464,0.972980280166951,1,0.89282328002989,0.67248074976981,0.716361158344197,0.0315250950530296,0.597726033634796,1.84169164787456,3105,157,20,"{""NO_REGISTERED_COMPLETION"": 2474, ""REGISTERED_COMPLETION"": 83, ""UNREGISTERED_LOOP"": 548}","{""NO_REGISTERED_COMPLETION"": 0.9910103246083914, ""REGISTERED_COMPLETION"": 0.0, ""UNREGISTERED_LOOP"": 0.008989675391608509}","{""NO_REGISTERED_COMPLETION"": 0.7726119485988506, ""REGISTERED_COMPLETION"": 0.03576339708562625, ""UNREGISTERED_LOOP"": 0.1916246543155232}",low,development_frozen_posterior_entropy,
M2,0.537701145607937,0.310051456262615,0.794011013666635,0.972338160496122,1,0.892395200249338,0.675439805956039,0.715778490574513,0.0201642547414947,0.587570585822719,1.82578572152166,3105,157,20,"{""NO_REGISTERED_COMPLETION"": 2474, ""REGISTERED_COMPLETION"": 83, ""UNREGISTERED_LOOP"": 548}","{""NO_REGISTERED_COMPLETION"": 0.9887629057604893, ""REGISTERED_COMPLETION"": 0.0, ""UNREGISTERED_LOOP"": 0.011237094239510637}","{""NO_REGISTERED_COMPLETION"": 0.776113924084247, ""REGISTERED_COMPLETION"": 0.03562554660721009, ""UNREGISTERED_LOOP"": 0.188260529308543}",low,development_frozen_posterior_entropy,
M0,0.762180021025169,0.458229964617513,0.65219671343648,0.9317207421789,1,0.814718480414724,0.535649639655226,0.717512923356378,0.0391744820872648,0.782708969257437,2.21216022633661,2912,157,20,"{""NO_REGISTERED_COMPLETION"": 1797, ""REGISTERED_COMPLETION"": 197, ""UNREGISTERED_LOOP"": 918}","{""NO_REGISTERED_COMPLETION"": 0.7590360481175317, ""REGISTERED_COMPLETION"": 0.0, ""UNREGISTERED_LOOP"": 0.24096395188246836}","{""NO_REGISTERED_COMPLETION"": 0.5930580251577952, ""REGISTERED_COMPLETION"": 0.0736167908280761, ""UNREGISTERED_LOOP"": 0.3333251840141288}",high,development_frozen_transition_probability,
M1,0.758424783091613,0.456811484912201,0.651492163887832,0.93240527611537,1,0.814480294629811,0.541365986107766,0.716432640440133,0.0126127057952903,0.76890880466213,2.18803640956707,2912,157,20,"{""NO_REGISTERED_COMPLETION"": 1797, ""REGISTERED_COMPLETION"": 197, ""UNREGISTERED_LOOP"": 918}","{""NO_REGISTERED_COMPLETION"": 0.7533896439222594, ""REGISTERED_COMPLETION"": 0.0, ""UNREGISTERED_LOOP"": 0.2466103560777407}","{""NO_REGISTERED_COMPLETION"": 0.5998927252231646, ""REGISTERED_COMPLETION"": 0.07284643880320198, ""UNREGISTERED_LOOP"": 0.32726083597363353}",high,development_frozen_transition_probability,
M2,0.758749202867358,0.457493285923924,0.648718000040031,0.93308981005184,1,0.813207301695322,0.542230178594047,0.714872932055882,0.0130900386401646,0.764650806782777,2.18055919914497,2912,157,20,"{""NO_REGISTERED_COMPLETION"": 1797, ""REGISTERED_COMPLETION"": 197, ""UNREGISTERED_LOOP"": 918}","{""NO_REGISTERED_COMPLETION"": 0.7534256720241789, ""REGISTERED_COMPLETION"": 0.0027381357458817882, ""UNREGISTERED_LOOP"": 0.2438361922299394}","{""NO_REGISTERED_COMPLETION"": 0.6012109990832938, ""REGISTERED_COMPLETION"": 0.0731950513253374, ""UNREGISTERED_LOOP"": 0.325593949591369}",high,development_frozen_transition_probability,
M0,0.604875725955172,0.358222839682305,0.746737597297438,0.965707768123008,1,0.867653426669221,0.633512567765278,0.722799990108597,0.0307712772629006,0.635010370213161,1.91030149893706,3349,157,20,"{""NO_REGISTERED_COMPLETION"": 2511, ""REGISTERED_COMPLETION"": 115, ""UNREGISTERED_LOOP"": 723}","{""NO_REGISTERED_COMPLETION"": 0.9494662789280303, ""REGISTERED_COMPLETION"": 0.0, ""UNREGISTERED_LOOP"": 0.05053372107196963}","{""NO_REGISTERED_COMPLETION"": 0.7341590220497431, ""REGISTERED_COMPLETION"": 0.03733921607800552, ""UNREGISTERED_LOOP"": 0.2285017618722512}",low,development_frozen_transition_probability,
