model,multiclass_log_loss,multiclass_brier,top_one_accuracy,top_two_accuracy,top_three_accuracy,mean_reciprocal_rank,mean_probability_realised_class,macro_ovr_auc,expected_calibration_error,prediction_entropy,effective_candidate_count,rows,sessions,stocks,class_support,predicted_class_distribution,mean_predicted_probability_distribution,year_month
M0,0.696266665339529,0.419997710025223,0.67875,0.94625,1,0.830416666666667,0.589369452143902,0.733850482058384,0.0574845422819145,0.676544089162494,1.99990678493517,800,20,20,"{""NO_REGISTERED_COMPLETION"": 540, ""REGISTERED_COMPLETION"": 42, ""UNREGISTERED_LOOP"": 218}","{""NO_REGISTERED_COMPLETION"": 0.8862499999999999, ""REGISTERED_COMPLETION"": 0.0, ""UNREGISTERED_LOOP"": 0.11375000000000002}","{""NO_REGISTERED_COMPLETION"": 0.6911700810013538, ""REGISTERED_COMPLETION"": 0.04767263027836447, ""UNREGISTERED_LOOP"": 0.2611572887202819}",2025-01
M1,0.69319623036442,0.418405621014806,0.67125,0.94625,1,0.826666666666667,0.594402434287272,0.735561018905504,0.0548078876482024,0.663224208195657,1.9813463616291,800,20,20,"{""NO_REGISTERED_COMPLETION"": 540, ""REGISTERED_COMPLETION"": 42, ""UNREGISTERED_LOOP"": 218}","{""NO_REGISTERED_COMPLETION"": 0.8662499999999997, ""REGISTERED_COMPLETION"": 0.0, ""UNREGISTERED_LOOP"": 0.13375}","{""NO_REGISTERED_COMPLETION"": 0.6924025049832887, ""REGISTERED_COMPLETION"": 0.047011029110576794, ""UNREGISTERED_LOOP"": 0.26058646590613466}",2025-01
M2,0.695248624857458,0.419211152463059,0.6775,0.9475,1,0.83,0.595607446397097,0.733357873706154,0.0483540601012356,0.656969348069474,1.97302853477893,800,20,20,"{""NO_REGISTERED_COMPLETION"": 540, ""REGISTERED_COMPLETION"": 42, ""UNREGISTERED_LOOP"": 218}","{""NO_REGISTERED_COMPLETION"": 0.8687499999999998, ""REGISTERED_COMPLETION"": 0.0, ""UNREGISTERED_LOOP"": 0.13125}","{""NO_REGISTERED_COMPLETION"": 0.6919011990134598, ""REGISTERED_COMPLETION"": 0.04758075301110792, ""UNREGISTERED_LOOP"": 0.2605180479754322}",2025-01
M0,0.704800280596449,0.419158706946475,0.692105263157895,0.944736842105263,1,0.836842105263158,0.5886791553883,0.704136326472471,0.0668163610386624,0.680349148786567,2.00341645900054,760,19,20,"{""NO_REGISTERED_COMPLETION"": 519, ""REGISTERED_COMPLETION"": 42, ""UNREGISTERED_LOOP"": 199}","{""NO_REGISTERED_COMPLETION"": 0.8881578947368419, ""REGISTERED_COMPLETION"": 0.0, ""UNREGISTERED_LOOP"": 0.1118421052631579}","{""NO_REGISTERED_COMPLETION"": 0.6928692269712469, ""REGISTERED_COMPLETION"": 0.048541716362402496, ""UNREGISTERED_LOOP"": 0.25858905666635074}",2025-02
M1,0.693431147786224,0.414068382836929,0.686842105263158,0.943421052631579,1,0.833991228070175,0.597379334150146,0.727976994151128,0.0511220547294171,0.662737705786242,1.97476980792372,760,19,20,"{""NO_REGISTERED_COMPLETION"": 519, ""REGISTERED_COMPLETION"": 42, ""UNREGISTERED_LOOP"": 199}","{""NO_REGISTERED_COMPLETION"": 0.875, ""REGISTERED_COMPLETION"": 0.0, ""UNREGISTERED_LOOP"": 0.125}","{""NO_REGISTERED_COMPLETION"": 0.697510318853576, ""REGISTERED_COMPLETION"": 0.04779581883063446, ""UNREGISTERED_LOOP"": 0.2546938623157897}",2025-02
M2,0.686761965764272,0.412668338669509,0.684210526315789,0.946052631578947,1,0.833114035087719,0.599188284734092,0.73720284982537,0.0506327119617238,0.658476760843931,1.96930323456047,760,19,20,"{""NO_REGISTERED_COMPLETION"": 519, ""REGISTERED_COMPLETION"": 42, ""UNREGISTERED_LOOP"": 199}","{""NO_REGISTERED_COMPLETION"": 0.8710526315789472, ""REGISTERED_COMPLETION"": 0.0013157894736842105, ""UNREGISTERED_LOOP"": 0.1276315789473684}","{""NO_REGISTERED_COMPLETION"": 0.6977550503220772, ""REGISTERED_COMPLETION"": 0.04866101714741326, ""UNREGISTERED_LOOP"": 0.2535839325305096}",2025-02
M0,0.680284604098436,0.408390364222738,0.703007518796992,0.946303258145363,1,0.842554302422724,0.580091482978271,0.740020426783312,0.04305234978465,0.71876739020529,2.07769670513552,838,21,20,"{""NO_REGISTERED_COMPLETION"": 580, ""REGISTERED_COMPLETION"": 45, ""UNREGISTERED_LOOP"": 213}","{""NO_REGISTERED_COMPLETION"": 0.9046992481203007, ""REGISTERED_COMPLETION"": 0.0, ""UNREGISTERED_LOOP"": 0.09530075187969926}","{""NO_REGISTERED_COMPLETION"": 0.6682181403243558, ""REGISTERED_COMPLETION"": 0.053011384601236354, ""UNREGISTERED_LOOP"": 0.2787704750744079}",2025-03
M1,0.678717109188092,0.40996489225155,0.701817042606516,0.946303258145363,1,0.841959064327485,0.584946108588536,0.736614154016376,0.0348894944770324,0.703053801135015,2.05067331091654,838,21,20,"{""NO_REGISTERED_COMPLETION"": 580, ""REGISTERED_COMPLETION"": 45, ""UNREGISTERED_LOOP"": 213}","{""NO_REGISTERED_COMPLETION"": 0.8999373433583958, ""REGISTERED_COMPLETION"": 0.0, ""UNREGISTERED_LOOP"": 0.100062656641604}","{""NO_REGISTERED_COMPLETION"": 0.6779907374682621, ""REGISTERED_COMPLETION"": 0.052054885614941385, ""UNREGISTERED_LOOP"": 0.2699543769167964}",2025-03
M2,0.680536262811886,0.411484790811251,0.703007518796992,0.948684210526316,1,0.842951127819549,0.58475719750916,0.733884185936119,0.0206457192778245,0.700582502360773,2.04815821944277,838,21,20,"{""NO_REGISTERED_COMPLETION"": 580, ""REGISTERED_COMPLETION"": 45, ""UNREGISTERED_LOOP"": 213}","{""NO_REGISTERED_COMPLETION"": 0.8975563909774436, ""REGISTERED_COMPLETION"": 0.0, ""UNREGISTERED_LOOP"": 0.1024436090225564}","{""NO_REGISTERED_COMPLETION"": 0.6767274666878513, ""REGISTERED_COMPLETION"": 0.05330579285430058, ""UNREGISTERED_LOOP"": 0.2699667404578481}",2025-03
M0,0.630679845761234,0.379311486485738,0.71594298245614,0.970767543859649,1,0.853099415204678,0.606209088804645,0.741036398621576,0.0326188330635657,0.686190275896043,2.01414772489638,788,20,20,"{""NO_REGISTERED_COMPLETION"": 540, ""REGISTERED_COMPLETION"": 23, ""UNREGISTERED_LOOP"": 225}","{""NO_REGISTERED_COMPLETION"": 0.8689912280701753, ""REGISTERED_COMPLETION"": 0.0, ""UNREGISTERED_LOOP"": 0.13100877192982457}","{""NO_REGISTERED_COMPLETION"": 0.6851166872849529, ""REGISTERED_COMPLETION"": 0.04879581067229241, ""UNREGISTERED_LOOP"": 0.2660875020427547}",2025-04
