model,target,bin,lower,upper,rows,weight,mean_prediction,outcome_rate,arm
A0,immediate_pair_closure,1,0.0,0.1,0,0.0,,,closure
A0,immediate_pair_closure,2,0.1,0.2,611,42.048250790317354,0.18575325519866337,0.15371727140103408,closure
A0,immediate_pair_closure,3,0.2,0.3,568,41.55788287220175,0.2351747581524319,0.11799433635689116,closure
A0,immediate_pair_closure,4,0.3,0.4,1392,100.32260957566685,0.34978951362577215,0.21309883602328367,closure
A0,immediate_pair_closure,5,0.4,0.5,450,30.830799102857924,0.48396453251320254,0.4776252310160258,closure
A0,immediate_pair_closure,6,0.5,0.6,1224,84.82465867895434,0.5510800962410752,0.5150436006213339,closure
A0,immediate_pair_closure,7,0.6,0.7,191,13.465932751459064,0.6279290445083444,0.48068855127408733,closure
A0,immediate_pair_closure,8,0.7,0.8,0,0.0,,,closure
A0,immediate_pair_closure,9,0.8,0.9,13,0.9498662285426991,0.8699772465876952,0.9122683480797241,closure
A0,immediate_pair_closure,10,0.9,1.0,0,0.0,,,closure
A1,immediate_pair_closure,1,0.0,0.1,6,0.3904034690799397,0.09343712343402974,0.0,closure
A1,immediate_pair_closure,2,0.1,0.2,673,47.697420557598576,0.17050162595621984,0.13637637780744408,closure
A1,immediate_pair_closure,3,0.2,0.3,757,54.0072714222482,0.24350596506159525,0.1511271632710203,closure
A1,immediate_pair_closure,4,0.3,0.4,661,46.73597099924499,0.3442817663688934,0.23889474401868296,closure
A1,immediate_pair_closure,5,0.4,0.5,984,70.76469066279438,0.43617150320589226,0.3065902931833962,closure
A1,immediate_pair_closure,6,0.5,0.6,779,53.0791305186042,0.549261012139652,0.5199333352965546,closure
A1,immediate_pair_closure,7,0.6,0.7,523,36.464178863791865,0.6265799637939528,0.5747866914238005,closure
A1,immediate_pair_closure,8,0.7,0.8,46,3.4407886403242447,0.7237772327187745,0.4086999608419578,closure
A1,immediate_pair_closure,9,0.8,0.9,10,0.6750405425328025,0.841591618033799,0.5139228618852101,closure
A1,immediate_pair_closure,10,0.9,1.0,10,0.7451043237807944,0.942590463112384,0.8881588380664807,closure
A2,immediate_pair_closure,1,0.0,0.1,155,11.05510636594228,0.08352142043262581,0.1236522955836129,closure
A2,immediate_pair_closure,2,0.1,0.2,1011,71.87451477830734,0.148996866188027,0.14360335537157595,closure
A2,immediate_pair_closure,3,0.2,0.3,833,60.225498993610444,0.25558550174514055,0.18649506774787322,closure
A2,immediate_pair_closure,4,0.3,0.4,813,57.851383897320424,0.34457922459769724,0.28546217572124005,closure
A2,immediate_pair_closure,5,0.4,0.5,677,46.85770372987865,0.4559742457459617,0.4850548902415029,closure
A2,immediate_pair_closure,6,0.5,0.6,673,46.10262980913136,0.5458572972043096,0.532881662895752,closure
A2,immediate_pair_closure,7,0.6,0.7,254,17.723756820235145,0.6348398687029152,0.5758449932510389,closure
A2,immediate_pair_closure,8,0.7,0.8,14,0.9585589848747742,0.7434317810484612,0.5084065456872515,closure
A2,immediate_pair_closure,9,0.8,0.9,9,0.6057422969187675,0.8347700359694609,0.6827745664739885,closure
A2,immediate_pair_closure,10,0.9,1.0,10,0.7451043237807944,0.9463614066660271,0.8881588380664807,closure
A3,immediate_pair_closure,1,0.0,0.1,170,12.269545929646547,0.08394149925091603,0.10480416666218675,closure
A3,immediate_pair_closure,2,0.1,0.2,1004,71.49386554707762,0.1487020043187906,0.14289574789184295,closure
A3,immediate_pair_closure,3,0.2,0.3,839,60.36598058803941,0.2551581203790611,0.19500471047905532,closure
A3,immediate_pair_closure,4,0.3,0.4,798,56.91990292129611,0.3438607056826044,0.2820928379993705,closure
A3,immediate_pair_closure,5,0.4,0.5,689,47.59407885286368,0.45619036897316917,0.49098555686614265,closure
A3,immediate_pair_closure,6,0.5,0.6,662,45.37050429790368,0.5462613523100683,0.5250681175565708,closure
A3,immediate_pair_closure,7,0.6,0.7,252,17.54619677707913,0.635906274335463,0.5814144500513747,closure
A3,immediate_pair_closure,8,0.7,0.8,18,1.214568661472686,0.7351866373343271,0.6257480780713627,closure
A3,immediate_pair_closure,9,0.8,0.9,9,0.6159987071751778,0.842446278812292,0.7962817216713014,closure
A3,immediate_pair_closure,10,0.9,1.0,8,0.6093577174459527,0.9437418221567183,0.8632439846948774,closure
B0,large_move,1,0.0,0.1,0,0.0,,,movement
B0,large_move,2,0.1,0.2,1334,93.24328071739062,0.17857238413493096,0.0963979687584229,movement
B0,large_move,3,0.2,0.3,2201,154.6552430154984,0.24122450269266335,0.17339767121135613,movement
B0,large_move,4,0.3,0.4,629,44.88456677481445,0.3398765798640334,0.29622669982741096,movement
B0,large_move,5,0.4,0.5,181,13.09985255112964,0.43748664667943654,0.30594422073230837,movement
B0,large_move,6,0.5,0.6,57,4.278183069940035,0.5426014440162222,0.49625116570411126,movement
B0,large_move,7,0.6,0.7,27,2.1277193394840452,0.6453648502221957,0.31634072040522104,movement
B0,large_move,8,0.7,0.8,12,0.8708767539649891,0.7380427990280815,0.7687515621791587,movement
B0,large_move,9,0.8,0.9,4,0.3958333333333333,0.8463979593313757,0.4385964912280702,movement
B0,large_move,10,0.9,1.0,4,0.4444444444444444,0.9372599720637683,0.75,movement
B1,large_move,1,0.0,0.1,0,0.0,,,movement
B1,large_move,2,0.1,0.2,1334,93.18204330069655,0.17845344248902636,0.09415381156858556,movement
B1,large_move,3,0.2,0.3,2196,154.27021733856097,0.2413310719734145,0.17380240075014755,movement
B1,large_move,4,0.3,0.4,640,45.80412422115209,0.34020017874422054,0.2981872838053164,movement
B1,large_move,5,0.4,0.5,175,12.589058198423523,0.4387863464133257,0.30403124501288387,movement
B1,large_move,6,0.5,0.6,57,4.315683069940036,0.5423723638206138,0.5006283595295044,movement
B1,large_move,7,0.6,0.7,27,2.1277193394840452,0.6448563808823987,0.31634072040522104,movement
B1,large_move,8,0.7,0.8,12,0.8708767539649891,0.7381273399999787,0.7687515621791587,movement
B1,large_move,9,0.8,0.9,4,0.3958333333333333,0.8479573883989872,0.4385964912280702,movement
B1,large_move,10,0.9,1.0,4,0.4444444444444444,0.9377254669133456,0.75,movement
C0,joint_large_move_and_closure,1,0.0,0.1,2840,199.7892131475336,0.06072453056469565,0.028008835778003158,joint
C0,joint_large_move_and_closure,2,0.1,0.2,1392,98.43479457419086,0.1311140066776834,0.09178652238396282,joint
C0,joint_large_move_and_closure,3,0.2,0.3,178,12.864084496514836,0.23386663090439808,0.16806022840441248,joint
C0,joint_large_move_and_closure,4,0.3,0.4,24,1.8162082198846905,0.33715024860129866,0.1933266821312134,joint
C0,joint_large_move_and_closure,5,0.4,0.5,6,0.43392857142857144,0.4460742210999346,0.15363511659807955,joint
C0,joint_large_move_and_closure,6,0.5,0.6,7,0.519614127702363,0.5715231797821252,0.3966207472091532,joint
C0,joint_large_move_and_closure,7,0.6,0.7,0,0.0,,,joint
C0,joint_large_move_and_closure,8,0.7,0.8,2,0.14215686274509803,0.7532691266456509,1.0,joint
C0,joint_large_move_and_closure,9,0.8,0.9,0,0.0,,,joint
C0,joint_large_move_and_closure,10,0.9,1.0,0,0.0,,,joint
C1,joint_large_move_and_closure,1,0.0,0.1,2738,194.63154521347246,0.06546765765263343,0.02781424352011061,joint
C1,joint_large_move_and_closure,2,0.1,0.2,1599,111.02720501033194,0.13187721343690573,0.09649559523514331,joint
C1,joint_large_move_and_closure,3,0.2,0.3,80,5.813277911459026,0.2314137133382222,0.12405769206615803,joint
C1,joint_large_move_and_closure,4,0.3,0.4,14,1.1037008742891097,0.34049237927663983,0.2677953425057872,joint
C1,joint_large_move_and_closure,5,0.4,0.5,7,0.6124999999999999,0.4477396001162702,0.2108843537414966,joint
C1,joint_large_move_and_closure,6,0.5,0.6,6,0.44269105077928605,0.5661645353112997,0.17376243948836617,joint
C1,joint_large_move_and_closure,7,0.6,0.7,2,0.16025641025641024,0.6363417623202148,0.0,joint
C1,joint_large_move_and_closure,8,0.7,0.8,2,0.12549019607843137,0.7551009474366479,1.0,joint
C1,joint_large_move_and_closure,9,0.8,0.9,1,0.08333333333333333,0.8320270388660808,1.0,joint
C1,joint_large_move_and_closure,10,0.9,1.0,0,0.0,,,joint
