group,value,rows,fraction
joined_slate_size,10,120,0.026972353337828724
joined_slate_size,11,253,0.05686671162058889
joined_slate_size,12,348,0.0782198246797033
joined_slate_size,13,494,0.11103618790739492
joined_slate_size,14,560,0.12587098224320073
joined_slate_size,15,855,0.19217801753202968
joined_slate_size,16,688,0.15464149247021802
joined_slate_size,17,561,0.1260957518543493
joined_slate_size,18,288,0.06473364801078894
joined_slate_size,19,152,0.03416498089458305
joined_slate_size,20,20,0.004495392222971455
joined_slate_size,3,3,0.0006743088334457181
joined_slate_size,4,4,0.0008990784445942908
joined_slate_size,7,7,0.001573387278040009
joined_slate_size,8,24,0.005394470667565745
joined_slate_size,9,72,0.016183412002697236
month,2025-01,510,0.11463250168577209
month,2025-02,514,0.11553158013036638
month,2025-03,632,0.14205439424589794
month,2025-04,573,0.12879298718813217
month,2025-05,567,0.12744436952124072
month,2025-06,538,0.12092605079793212
month,2025-07,616,0.13845808046752078
month,2025-08,499,0.11216003596313778
pair_orientation,0->2,58,0.013036637446617217
pair_orientation,0->3,1,0.0002247696111485727
pair_orientation,0->5,12,0.0026972353337828725
pair_orientation,0->7,11,0.0024724657226342997
pair_orientation,1->0,1,0.0002247696111485727
pair_orientation,1->2,22,0.004944931445268599
pair_orientation,1->3,377,0.08473814340301192
pair_orientation,1->4,95,0.021353113059114408
pair_orientation,1->5,32,0.007192627556754327
pair_orientation,1->6,365,0.08204090806922903
pair_orientation,1->7,80,0.01798156889188582
pair_orientation,2->0,13,0.0029220049449314453
pair_orientation,2->1,4,0.0008990784445942908
pair_orientation,2->3,12,0.0026972353337828725
pair_orientation,2->5,20,0.004495392222971455
pair_orientation,2->6,17,0.003821083389525736
pair_orientation,2->7,7,0.001573387278040009
pair_orientation,3->0,1,0.0002247696111485727
pair_orientation,3->1,52,0.011688019779725781
pair_orientation,3->2,26,0.005844009889862891
pair_orientation,3->4,113,0.025398966059788718
pair_orientation,3->5,5,0.0011238480557428637
pair_orientation,3->6,280,0.06293549112160036
pair_orientation,3->7,51,0.011463250168577209
pair_orientation,4->1,55,0.012362328613171499
pair_orientation,4->2,6,0.0013486176668914363
pair_orientation,4->3,197,0.044279613396268826
pair_orientation,4->5,7,0.001573387278040009
pair_orientation,4->6,102,0.022926500337154418
pair_orientation,4->7,33,0.007417397167902899
pair_orientation,5->0,13,0.0029220049449314453
pair_orientation,5->1,82,0.018431108114182963
pair_orientation,5->2,92,0.02067880422566869
pair_orientation,5->6,72,0.016183412002697236
pair_orientation,5->7,557,0.125196673409755
pair_orientation,6->1,311,0.06990334906720612
pair_orientation,6->2,40,0.00899078444594291
pair_orientation,6->3,256,0.057541020454034614
pair_orientation,6->4,30,0.006743088334457181
pair_orientation,6->5,59,0.01326140705776579
pair_orientation,6->7,67,0.015059563946954372
pair_orientation,7->0,23,0.005169701056417173
pair_orientation,7->1,71,0.015958642391548664
pair_orientation,7->2,73,0.01640818161384581
pair_orientation,7->3,180,0.04045853000674309
pair_orientation,7->4,15,0.0033715441672285905
pair_orientation,7->5,347,0.07799505506855473
pair_orientation,7->6,106,0.023825578781748707
stock,AAL,240,0.05394470667565745
stock,AAOI,237,0.053270397842211735
stock,APLD,131,0.029444819060463024
stock,ASTS,260,0.0584400988986289
stock,CIFR,226,0.050797932119577435
stock,HIMS,181,0.04068329961789166
stock,IONQ,207,0.04652730950775455
stock,IREN,262,0.05888963812092605
stock,MARA,271,0.0609125646212632
stock,MP,202,0.04540346145201169
stock,MRNA,212,0.047651157563497415
stock,MSTR,246,0.05529332434254889
stock,NVTS,186,0.041807147673634526
stock,QBTS,159,0.03573836817262306
stock,RGTI,193,0.043380534951674536
stock,RIOT,254,0.05709148123173747
stock,RIVN,281,0.06316026073274893
stock,SMCI,228,0.05124747134187458
stock,SOFI,273,0.06136210384356035
stock,WULF,200,0.04495392222971454
