scope,layer,model,rows,brier,log_loss,auc,quintile,mean_realised,mean_probability
overall,closure,C0,5323,0.220048031111,0.632104889822,0.669031597362,,,
quintile,closure,C0,1065,,,,1,0.353990610329,0.363910832415
quintile,closure,C0,1064,,,,2,0.47462406015,0.49024620889
quintile,closure,C0,1065,,,,3,0.656338028169,0.642638990936
quintile,closure,C0,1064,,,,4,0.68515037594,0.696090866558
quintile,closure,C0,1065,,,,5,0.723943661972,0.776972957412
overall,closure,C1,5323,0.216405317794,0.628732711023,0.682387896697,,,
quintile,closure,C1,1065,,,,1,0.276056338028,0.34793391062
quintile,closure,C1,1064,,,,2,0.552631578947,0.512717719235
quintile,closure,C1,1065,,,,3,0.660093896714,0.646641335301
quintile,closure,C1,1064,,,,4,0.663533834586,0.698407250632
quintile,closure,C1,1065,,,,5,0.741784037559,0.785482440309
