layer,month,rows,baseline_model,candidate_model,baseline_brier,candidate_brier,brier_improvement,baseline_log_loss,candidate_log_loss,log_loss_improvement,baseline_auc,candidate_auc
movement,2025-01,800,P0,P1,0.174440469959,0.173105114204,0.00133535575472,0.528532384101,0.526541414046,0.00199097005458,0.713504161601,0.725147292621
movement,2025-02,760,P0,P1,0.179055468303,0.177601753401,0.0014537149027,0.542038245531,0.537068111864,0.00497013366665,0.614275137261,0.642371561265
movement,2025-03,838,P0,P1,0.175159753801,0.17264981879,0.00250993501114,0.533351798843,0.527247408722,0.00610439012072,0.603280564562,0.634639837243
movement,2025-04,798,P0,P1,0.163606320975,0.163193561136,0.000412759838994,0.511032248317,0.511559580407,-0.000527332090369,0.666229909154,0.694920024847
movement,2025-05,798,P0,P1,0.155028544374,0.151693414968,0.00333512940588,0.485503464021,0.477237069538,0.00826639448221,0.68890194652,0.719494110076
movement,2025-06,800,P0,P1,0.168049363499,0.164066644216,0.00398271928346,0.515223854526,0.50540971985,0.0098141346757,0.653348394102,0.680492802354
movement,2025-07,860,P0,P1,0.139604006413,0.138309286288,0.00129472012489,0.448668076275,0.44606083227,0.0026072440047,0.667261496225,0.685664607641
movement,2025-08,640,P0,P1,0.125077126087,0.123280609496,0.00179651659098,0.415994815035,0.411288742708,0.00470607232722,0.663383853276,0.691199308054
burst,2025-01,800,B0,B1,0.0919989282323,0.0889100900377,0.00308883819454,0.303400926919,0.293712842066,0.00968808485329,0.881384957358,0.886000725821
burst,2025-02,760,B0,B1,0.0983726511594,0.0972526053459,0.00112004581343,0.315516911129,0.311841891698,0.00367501943114,0.862630208333,0.867916666667
burst,2025-03,838,B0,B1,0.0775281567197,0.0761543485215,0.0013738081982,0.264403981158,0.258614862527,0.00578911863108,0.870611364789,0.883777270421
burst,2025-04,798,B0,B1,0.0745309410969,0.0789694343693,-0.0044384932724,0.252301769384,0.26646814672,-0.014166377336,0.854225023343,0.85135720955
burst,2025-05,798,B0,B1,0.0880447934496,0.0865324872162,0.00151230623342,0.287075079312,0.281484036055,0.00559104325701,0.896636327661,0.900186556617
burst,2025-06,800,B0,B1,0.105543649448,0.104404795928,0.00113885352001,0.34115247411,0.338071936049,0.0030805380606,0.870978375527,0.872004972875
burst,2025-07,860,B0,B1,0.0880016229552,0.0861631887613,0.00183843419389,0.291097054907,0.285561488266,0.00553556664024,0.880447160644,0.888551472821
burst,2025-08,640,B0,B1,0.0736013082705,0.0728306686235,0.000770639647028,0.254648518097,0.251240814457,0.0034077036399,0.850168811023,0.859225294279
closure,2025-01,668,C0,C1,0.227645323388,0.223603644151,0.00404167923668,0.645138385007,0.635712441896,0.00942594311102,0.65070662322,0.669131915205
closure,2025-02,640,C0,C1,0.229951099681,0.229770090706,0.000181008975203,0.654437412943,0.654352164272,8.52486702007e-05,0.644843574698,0.645131504483
closure,2025-03,730,C0,C1,0.220042298187,0.214504033546,0.00553826464061,0.631414557998,0.622655761568,0.0087587964301,0.663171690695,0.690507395619
closure,2025-04,714,C0,C1,0.232930883446,0.2269953284,0.00593555504578,0.66285295663,0.679942880984,-0.0170899243548,0.646849654401,0.669910903352
closure,2025-05,665,C0,C1,0.22364818118,0.220726774246,0.00292140693354,0.640170706276,0.635833976641,0.00433672963524,0.676189954938,0.682192180687
closure,2025-06,632,C0,C1,0.214322718145,0.20842151233,0.00590120581518,0.619135229417,0.605448346596,0.0136868828211,0.71105339747,0.728505598448
closure,2025-07,712,C0,C1,0.212374418461,0.210729337195,0.00164508126595,0.615175727652,0.611828253837,0.00334747381533,0.664730865186,0.666541507088
closure,2025-08,562,C0,C1,0.195280742049,0.192700741201,0.00258000084848,0.579502138663,0.573292411456,0.00620972720656,0.712485034371,0.716964634032
direction,2025-01,222,D0,D1,0.267374629389,0.269291384866,-0.00191675547758,0.729207823606,0.733138948916,-0.00393112530967,0.441248370274,0.427151238592
direction,2025-02,179,D0,D1,0.24634953873,0.246218876438,0.000130662292022,0.6858094175,0.685573632757,0.000235784742912,0.558586874529,0.555820970581
direction,2025-03,196,D0,D1,0.248470767248,0.250260471568,-0.00178970432037,0.689891113739,0.693632017867,-0.00374090412828,0.494739057239,0.491898148148
direction,2025-04,162,D0,D1,0.252111662579,0.253105041774,-0.000993379194598,0.697281962292,0.699291087265,-0.00200912497238,0.589216144616,0.579865980988
direction,2025-05,171,D0,D1,0.247938650021,0.253225527105,-0.005286877084,0.689108183958,0.700030492639,-0.0109223086811,0.488169014085,0.434366197183
direction,2025-06,186,D0,D1,0.244695443798,0.24551907429,-0.000823630492036,0.683064369012,0.684510611398,-0.00144624238605,0.464419929688,0.460540671597
direction,2025-07,155,D0,D1,0.249006928885,0.250072433773,-0.00106550488806,0.691274779861,0.693712937031,-0.00243815716974,0.493360572012,0.499659516513
direction,2025-08,93,D0,D1,0.243133156664,0.242316318642,0.000816838021732,0.679360719616,0.677820350087,0.00154036952821,0.553181386515,0.556505223172
