layer,model,bin,lower,upper,rows,mean_prediction,observed_rate
movement,P0,1,0,0.1,0,,
movement,P0,2,0.1,0.2,2509,0.167784288012,0.127939418095
movement,P0,3,0.2,0.3,2510,0.241331349479,0.219920318725
movement,P0,4,0.3,0.4,740,0.339088379807,0.312162162162
movement,P0,5,0.4,0.5,274,0.443589424137,0.445255474453
movement,P0,6,0.5,0.6,121,0.547678677052,0.479338842975
movement,P0,7,0.6,0.7,55,0.640566483316,0.509090909091
movement,P0,8,0.7,0.8,42,0.748653254446,0.690476190476
movement,P0,9,0.8,0.9,23,0.839872096387,0.608695652174
movement,P0,10,0.9,1,20,0.938501124412,0.45
movement,P1,1,0,0.1,0,,
movement,P1,2,0.1,0.2,2268,0.169035438447,0.110229276896
movement,P1,3,0.2,0.3,2474,0.2421252806,0.206952303961
movement,P1,4,0.3,0.4,869,0.341744272971,0.329113924051
movement,P1,5,0.4,0.5,329,0.442178419418,0.373860182371
movement,P1,6,0.5,0.6,147,0.543049574537,0.52380952381
movement,P1,7,0.6,0.7,92,0.648869882662,0.478260869565
movement,P1,8,0.7,0.8,51,0.739658970402,0.647058823529
movement,P1,9,0.8,0.9,39,0.842525169325,0.692307692308
movement,P1,10,0.9,1,25,0.939209104301,0.48
burst,B0,1,0,0.1,0,,
burst,B0,2,0.1,0.2,81,0.189257726963,0.222222222222
burst,B0,3,0.2,0.3,81,0.280354494759,0.358024691358
burst,B0,4,0.3,0.4,431,0.343793520463,0.366589327146
burst,B0,5,0.4,0.5,298,0.45900400556,0.503355704698
burst,B0,6,0.5,0.6,317,0.544293912867,0.586750788644
burst,B0,7,0.6,0.7,181,0.642503524468,0.662983425414
burst,B0,8,0.7,0.8,96,0.74703842406,0.822916666667
burst,B0,9,0.8,0.9,397,0.873536839246,0.858942065491
burst,B0,10,0.9,1,4412,0.953990663839,0.961468721668
burst,B1,1,0,0.1,19,0.0560681818767,0.105263157895
burst,B1,2,0.1,0.2,57,0.160899447125,0.245614035088
burst,B1,3,0.2,0.3,167,0.263102855024,0.287425149701
burst,B1,4,0.3,0.4,303,0.346492974976,0.402640264026
burst,B1,5,0.4,0.5,314,0.455978266339,0.493630573248
burst,B1,6,0.5,0.6,352,0.545189614031,0.545454545455
burst,B1,7,0.6,0.7,178,0.644864105689,0.713483146067
burst,B1,8,0.7,0.8,104,0.746627144316,0.817307692308
burst,B1,9,0.8,0.9,474,0.873150725135,0.860759493671
burst,B1,10,0.9,1,4326,0.95515899547,0.963938973648
closure,C0,1,0,0.1,0,,
closure,C0,2,0.1,0.2,0,,
closure,C0,3,0.2,0.3,21,0.289401848363,0.333333333333
closure,C0,4,0.3,0.4,1043,0.3653762431,0.354745925216
closure,C0,5,0.4,0.5,577,0.422062955369,0.332755632582
closure,C0,6,0.5,0.6,411,0.564488012386,0.637469586375
closure,C0,7,0.6,0.7,1757,0.655675220861,0.667046101309
closure,C0,8,0.7,0.8,1250,0.73872739539,0.6992
closure,C0,9,0.8,0.9,243,0.841482917807,0.753086419753
closure,C0,10,0.9,1,21,0.909699750714,1
closure,C1,1,0,0.1,0,,
closure,C1,2,0.1,0.2,0,,
closure,C1,3,0.2,0.3,110,0.27993043811,0.163636363636
closure,C1,4,0.3,0.4,932,0.354644483488,0.284334763948
closure,C1,5,0.4,0.5,512,0.44160542648,0.44140625
closure,C1,6,0.5,0.6,456,0.562279297549,0.646929824561
closure,C1,7,0.6,0.7,1762,0.657219698771,0.660045402951
closure,C1,8,0.7,0.8,1233,0.737166706566,0.699107866991
closure,C1,9,0.8,0.9,246,0.83751403362,0.80081300813
closure,C1,10,0.9,1,72,0.93888816986,0.763888888889
direction,D0,1,0,0.1,0,,
direction,D0,2,0.1,0.2,0,,
direction,D0,3,0.2,0.3,0,,
direction,D0,4,0.3,0.4,5,0.356021318534,0.4
direction,D0,5,0.4,0.5,158,0.471909750276,0.53164556962
direction,D0,6,0.5,0.6,946,0.551323868778,0.533826638478
direction,D0,7,0.6,0.7,248,0.628964067754,0.564516129032
direction,D0,8,0.7,0.8,7,0.719638112768,0.428571428571
direction,D0,9,0.8,0.9,0,,
direction,D0,10,0.9,1,0,,
direction,D1,1,0,0.1,0,,
direction,D1,2,0.1,0.2,0,,
direction,D1,3,0.2,0.3,0,,
direction,D1,4,0.3,0.4,6,0.35971196516,0.5
direction,D1,5,0.4,0.5,206,0.471051416666,0.529126213592
direction,D1,6,0.5,0.6,878,0.549977543797,0.543280182232
direction,D1,7,0.6,0.7,264,0.629443208916,0.530303030303
direction,D1,8,0.7,0.8,10,0.717937650724,0.5
direction,D1,9,0.8,0.9,0,,
direction,D1,10,0.9,1,0,,
