scope,slate_id,session,month,decision_ordinal,model,slate_size,spearman,top_one_symbol,top_one_realised_residual_return_bps,top_one_minus_slate_median_bps,top_two_average_minus_slate_median_bps,top_one_delayed_residual_return_bps
slate,2025-01-02|12,2025-01-02,2025-01,12,observable_chain,20,0.0225563909774,QBTS,129.073268602,129.073268602,-114.857728962,252.580418725
slate,2025-01-02|12,2025-01-02,2025-01,12,path_chain,20,-0.178947368421,QBTS,129.073268602,129.073268602,-120.173799811,252.580418725
slate,2025-01-02|36,2025-01-02,2025-01,36,observable_chain,20,0.0917293233083,QBTS,376.894503392,376.894503392,390.731707286,375.062261966
slate,2025-01-02|36,2025-01-02,2025-01,36,path_chain,20,0.141353383459,QBTS,376.894503392,376.894503392,390.731707286,375.062261966
slate,2025-01-03|12,2025-01-03,2025-01,12,observable_chain,20,0.0872180451128,RGTI,25.3114533173,25.3114533173,89.2175721703,-190.710216286
slate,2025-01-03|12,2025-01-03,2025-01,12,path_chain,20,-0.00300751879699,RGTI,25.3114533173,25.3114533173,89.2175721703,-190.710216286
slate,2025-01-03|36,2025-01-03,2025-01,36,observable_chain,20,-0.0571428571429,RIVN,174.533807792,174.533807792,-21.3456577784,158.503535354
slate,2025-01-03|36,2025-01-03,2025-01,36,path_chain,20,-0.0315789473684,WULF,-381.685384195,-381.685384195,-162.624621379,-413.155401927
slate,2025-01-06|12,2025-01-06,2025-01,12,observable_chain,20,-0.508270676692,QBTS,-1008.36537691,-1008.36537691,-884.387010349,-847.99815569
slate,2025-01-06|12,2025-01-06,2025-01,12,path_chain,20,-0.571428571429,QBTS,-1008.36537691,-1008.36537691,-884.387010349,-847.99815569
slate,2025-01-06|36,2025-01-06,2025-01,36,observable_chain,20,0.0751879699248,NVTS,-135.635842897,-135.635842897,84.0713994963,-218.975544379
slate,2025-01-06|36,2025-01-06,2025-01,36,path_chain,20,0.0270676691729,CIFR,237.174668438,237.174668438,50.7694127706,209.095352092
slate,2025-01-07|12,2025-01-07,2025-01,12,observable_chain,20,-0.225563909774,IONQ,-0.624691223408,-0.624691223408,-114.074428238,54.7886212631
slate,2025-01-07|12,2025-01-07,2025-01,12,path_chain,20,-0.243609022556,IONQ,-0.624691223408,-0.624691223408,-114.074428238,54.7886212631
slate,2025-01-07|36,2025-01-07,2025-01,36,observable_chain,20,-0.338345864662,MRNA,161.131545372,161.131545372,-36.1128514522,119.636475338
slate,2025-01-07|36,2025-01-07,2025-01,36,path_chain,20,-0.527819548872,WULF,-147.67202769,-147.67202769,-190.514637983,-87.2132817618
slate,2025-01-08|12,2025-01-08,2025-01,12,observable_chain,20,-0.136842105263,MSTR,-157.315736915,-157.315736915,-206.879643301,-204.585203833
slate,2025-01-08|12,2025-01-08,2025-01,12,path_chain,20,-0.112781954887,MSTR,-157.315736915,-157.315736915,-57.9173764848,-204.585203833
slate,2025-01-08|36,2025-01-08,2025-01,36,observable_chain,20,-0.454135338346,HIMS,-580.566338306,-580.566338306,-319.051928538,-461.885913089
slate,2025-01-08|36,2025-01-08,2025-01,36,path_chain,20,-0.431578947368,SOFI,-57.5375187686,-57.5375187686,-319.051928538,-55.4735362256
slate,2025-01-10|12,2025-01-10,2025-01,12,observable_chain,20,-0.177443609023,RGTI,-333.886702472,-333.886702472,-562.340445028,-376.91020921
slate,2025-01-10|12,2025-01-10,2025-01,12,path_chain,20,-0.135338345865,RGTI,-333.886702472,-333.886702472,-562.340445028,-376.91020921
slate,2025-01-10|36,2025-01-10,2025-01,36,observable_chain,20,-0.487218045113,RGTI,-623.622977139,-623.622977139,-487.724581585,-660.197456579
slate,2025-01-10|36,2025-01-10,2025-01,36,path_chain,20,-0.593984962406,RGTI,-623.622977139,-623.622977139,-487.724581585,-660.197456579
slate,2025-01-13|12,2025-01-13,2025-01,12,observable_chain,20,-0.233082706767,RGTI,-32.8769417118,-32.8769417118,-41.0311143979,8.83645586138
slate,2025-01-13|12,2025-01-13,2025-01,12,path_chain,20,-0.136842105263,RGTI,-32.8769417118,-32.8769417118,-41.0311143979,8.83645586138
slate,2025-01-13|36,2025-01-13,2025-01,36,observable_chain,20,-0.213533834586,RGTI,-686.883062117,-686.883062117,-257.813172672,-769.454933898
slate,2025-01-13|36,2025-01-13,2025-01,36,path_chain,20,-0.251127819549,RGTI,-686.883062117,-686.883062117,-536.195242089,-769.454933898
slate,2025-01-14|12,2025-01-14,2025-01,12,observable_chain,20,0.12030075188,RGTI,84.440545656,84.440545656,207.808526482,563.987320667
slate,2025-01-14|12,2025-01-14,2025-01,12,path_chain,20,-0.0736842105263,RGTI,84.440545656,84.440545656,207.808526482,563.987320667
slate,2025-01-14|36,2025-01-14,2025-01,36,observable_chain,20,0.115789473684,RGTI,1706.99867371,1706.99867371,725.618857547,1568.01385815
slate,2025-01-14|36,2025-01-14,2025-01,36,path_chain,20,-0.363909774436,RGTI,1706.99867371,1706.99867371,725.618857547,1568.01385815
slate,2025-01-15|12,2025-01-15,2025-01,12,observable_chain,20,-0.315789473684,QBTS,-429.651330158,-429.651330158,-452.355109899,-290.207923936
slate,2025-01-15|12,2025-01-15,2025-01,12,path_chain,20,-0.357894736842,QBTS,-429.651330158,-429.651330158,-452.355109899,-290.207923936
slate,2025-01-15|36,2025-01-15,2025-01,36,observable_chain,20,-0.500751879699,IONQ,62.1150807382,62.1150807382,-35.1629012208,120.142461558
slate,2025-01-15|36,2025-01-15,2025-01,36,path_chain,20,-0.404511278195,IONQ,62.1150807382,62.1150807382,-35.1629012208,120.142461558
slate,2025-01-16|12,2025-01-16,2025-01,12,observable_chain,20,0.461654135338,QBTS,660.873785929,660.873785929,484.264084588,707.008484882
slate,2025-01-16|12,2025-01-16,2025-01,12,path_chain,20,0.412030075188,QBTS,660.873785929,660.873785929,501.099042394,707.008484882
slate,2025-01-16|36,2025-01-16,2025-01,36,observable_chain,20,-0.282706766917,RGTI,35.0881808135,35.0881808135,-122.561081279,-85.3489369377
slate,2025-01-16|36,2025-01-16,2025-01,36,path_chain,20,-0.297744360902,RGTI,35.0881808135,35.0881808135,-122.561081279,-85.3489369377
slate,2025-01-17|12,2025-01-17,2025-01,12,observable_chain,20,-0.198496240602,QBTS,-239.025437424,-239.025437424,-170.999147899,-179.038578337
