stage,model,scope_type,scope_value,bin,mean_probability,outcome_rate,rows
direction,D0,checkpoint,12,1,,,0
direction,D0,checkpoint,12,2,,,0
direction,D0,checkpoint,12,3,,,0
direction,D0,checkpoint,12,4,,,0
direction,D0,checkpoint,12,5,0.468203497705,0.58064516129,93
direction,D0,checkpoint,12,6,0.527688979367,0.435897435897,39
direction,D0,checkpoint,12,7,,,0
direction,D0,checkpoint,12,8,,,0
direction,D0,checkpoint,12,9,,,0
direction,D0,checkpoint,12,10,,,0
direction,D1,checkpoint,12,1,,,0
direction,D1,checkpoint,12,2,0.157530932129,1,2
direction,D1,checkpoint,12,3,0.258648604053,0.8,5
direction,D1,checkpoint,12,4,0.356077558213,0.571428571429,35
direction,D1,checkpoint,12,5,0.454970857373,0.560975609756,41
direction,D1,checkpoint,12,6,0.542255108268,0.447368421053,38
direction,D1,checkpoint,12,7,0.652523872562,0.625,8
direction,D1,checkpoint,12,8,0.7322990949,0,3
direction,D1,checkpoint,12,9,,,0
direction,D1,checkpoint,12,10,,,0
direction,D2,checkpoint,12,1,,,0
direction,D2,checkpoint,12,2,0.156815282377,1,7
direction,D2,checkpoint,12,3,0.264818821685,0.684210526316,19
direction,D2,checkpoint,12,4,0.349263605589,0.575757575758,33
direction,D2,checkpoint,12,5,0.449130534539,0.45,20
direction,D2,checkpoint,12,6,0.544400413828,0.458333333333,24
direction,D2,checkpoint,12,7,0.658683104347,0.4375,16
direction,D2,checkpoint,12,8,0.739736774565,0.363636363636,11
direction,D2,checkpoint,12,9,0.84467447964,0.5,2
direction,D2,checkpoint,12,10,,,0
direction,D3,checkpoint,12,1,0.0775829464413,1,3
direction,D3,checkpoint,12,2,0.161158118797,0.777777777778,9
direction,D3,checkpoint,12,3,0.262183163783,0.571428571429,21
direction,D3,checkpoint,12,4,0.348551808103,0.612903225806,31
direction,D3,checkpoint,12,5,0.45295283891,0.428571428571,14
direction,D3,checkpoint,12,6,0.555707836066,0.521739130435,23
direction,D3,checkpoint,12,7,0.652166852193,0.384615384615,13
direction,D3,checkpoint,12,8,0.745062399931,0.333333333333,15
direction,D3,checkpoint,12,9,0.843239136416,0.666666666667,3
direction,D3,checkpoint,12,10,,,0
onset,A0,checkpoint,12,1,,,0
onset,A0,checkpoint,12,2,0.159712135393,0.0673913043478,460
onset,A0,checkpoint,12,3,0.239926247389,0.189349112426,169
onset,A0,checkpoint,12,4,0.345954635981,0.324324324324,74
onset,A0,checkpoint,12,5,0.442686088292,0.423076923077,26
onset,A0,checkpoint,12,6,0.554344538217,0.37037037037,27
onset,A0,checkpoint,12,7,0.653894683746,0.666666666667,18
onset,A0,checkpoint,12,8,0.746052384494,0.571428571429,14
onset,A0,checkpoint,12,9,0.821760312893,0.666666666667,6
onset,A0,checkpoint,12,10,,,0
onset,A1,checkpoint,12,1,0.0900196010574,0.0526315789474,19
onset,A1,checkpoint,12,2,0.152087345262,0.080604534005,397
onset,A1,checkpoint,12,3,0.245544131737,0.160975609756,205
onset,A1,checkpoint,12,4,0.345417192291,0.302631578947,76
onset,A1,checkpoint,12,5,0.447386519032,0.333333333333,33
onset,A1,checkpoint,12,6,0.545243891261,0.434782608696,23
onset,A1,checkpoint,12,7,0.642062563923,0.4,15
onset,A1,checkpoint,12,8,0.745968769508,0.529411764706,17
onset,A1,checkpoint,12,9,0.846678043327,0.6,5
onset,A1,checkpoint,12,10,0.960830476525,1,4
onset,A2,checkpoint,12,1,0.0833877232065,0.0888888888889,45
onset,A2,checkpoint,12,2,0.150740444376,0.0821114369501,341
onset,A2,checkpoint,12,3,0.242062624044,0.145728643216,199
onset,A2,checkpoint,12,4,0.349259056275,0.23595505618,89
onset,A2,checkpoint,12,5,0.441510966138,0.351851851852,54
onset,A2,checkpoint,12,6,0.548707758711,0.272727272727,22
onset,A2,checkpoint,12,7,0.643660246846,0.428571428571,14
onset,A2,checkpoint,12,8,0.737878247032,0.545454545455,11
onset,A2,checkpoint,12,9,0.860138743175,0.727272727273,11
onset,A2,checkpoint,12,10,0.950787156253,0.625,8
onset,A3,checkpoint,12,1,0.0823885038439,0.0845070422535,71
onset,A3,checkpoint,12,2,0.147872437359,0.0869565217391,322
onset,A3,checkpoint,12,3,0.242612269519,0.133333333333,180
onset,A3,checkpoint,12,4,0.344918612932,0.195652173913,92
onset,A3,checkpoint,12,5,0.448455220823,0.425531914894,47
onset,A3,checkpoint,12,6,0.551481954895,0.269230769231,26
onset,A3,checkpoint,12,7,0.636189121273,0.421052631579,19
onset,A3,checkpoint,12,8,0.748032790694,0.4375,16
onset,A3,checkpoint,12,9,0.866737412145,0.875,8
onset,A3,checkpoint,12,10,0.95934564975,0.538461538462,13
direction,D0,checkpoint,6,1,,,0
