symbol,year_month,population_period,session,session_open_utc,session_close_utc,session_open_america_new_york,session_close_america_new_york,expected_minute_count,expected_minute_ordinal_first,expected_minute_ordinal_last,ordinal_basis,bar_start_candidate_observed_minute_count,bar_start_candidate_observed_minute_ordinals,bar_start_candidate_missing_minute_count,bar_start_candidate_missing_minute_ordinals,bar_start_candidate_duplicate_minute_count,bar_start_candidate_off_grid_minute_count,bar_end_candidate_observed_minute_count,bar_end_candidate_observed_minute_ordinals,bar_end_candidate_missing_minute_count,bar_end_candidate_missing_minute_ordinals,bar_end_candidate_duplicate_minute_count,bar_end_candidate_off_grid_minute_count,source_status,source_file_identity,qa_status
AAL,2024-01,development,2024-01-02,2024-01-02T14:30:00+00:00,2024-01-02T21:00:00+00:00,2024-01-02T09:30:00-05:00,2024-01-02T16:00:00-05:00,390,0,389,dual_convention_candidates_pending_empirical_proof,0,,390,0-389,0,0,0,,390,0-389,0,0,missing_source_file,source=eodhd/instrument_type=stock/symbol=AAL/timeframe=1m/data.parquet,source_file_unavailable
AAL,2024-01,development,2024-01-03,2024-01-03T14:30:00+00:00,2024-01-03T21:00:00+00:00,2024-01-03T09:30:00-05:00,2024-01-03T16:00:00-05:00,390,0,389,dual_convention_candidates_pending_empirical_proof,0,,390,0-389,0,0,0,,390,0-389,0,0,missing_source_file,source=eodhd/instrument_type=stock/symbol=AAL/timeframe=1m/data.parquet,source_file_unavailable
AAL,2024-01,development,2024-01-04,2024-01-04T14:30:00+00:00,2024-01-04T21:00:00+00:00,2024-01-04T09:30:00-05:00,2024-01-04T16:00:00-05:00,390,0,389,dual_convention_candidates_pending_empirical_proof,0,,390,0-389,0,0,0,,390,0-389,0,0,missing_source_file,source=eodhd/instrument_type=stock/symbol=AAL/timeframe=1m/data.parquet,source_file_unavailable
AAL,2024-01,development,2024-01-05,2024-01-05T14:30:00+00:00,2024-01-05T21:00:00+00:00,2024-01-05T09:30:00-05:00,2024-01-05T16:00:00-05:00,390,0,389,dual_convention_candidates_pending_empirical_proof,0,,390,0-389,0,0,0,,390,0-389,0,0,missing_source_file,source=eodhd/instrument_type=stock/symbol=AAL/timeframe=1m/data.parquet,source_file_unavailable
AAL,2024-01,development,2024-01-08,2024-01-08T14:30:00+00:00,2024-01-08T21:00:00+00:00,2024-01-08T09:30:00-05:00,2024-01-08T16:00:00-05:00,390,0,389,dual_convention_candidates_pending_empirical_proof,0,,390,0-389,0,0,0,,390,0-389,0,0,missing_source_file,source=eodhd/instrument_type=stock/symbol=AAL/timeframe=1m/data.parquet,source_file_unavailable
AAL,2024-01,development,2024-01-09,2024-01-09T14:30:00+00:00,2024-01-09T21:00:00+00:00,2024-01-09T09:30:00-05:00,2024-01-09T16:00:00-05:00,390,0,389,dual_convention_candidates_pending_empirical_proof,0,,390,0-389,0,0,0,,390,0-389,0,0,missing_source_file,source=eodhd/instrument_type=stock/symbol=AAL/timeframe=1m/data.parquet,source_file_unavailable
AAL,2024-01,development,2024-01-10,2024-01-10T14:30:00+00:00,2024-01-10T21:00:00+00:00,2024-01-10T09:30:00-05:00,2024-01-10T16:00:00-05:00,390,0,389,dual_convention_candidates_pending_empirical_proof,0,,390,0-389,0,0,0,,390,0-389,0,0,missing_source_file,source=eodhd/instrument_type=stock/symbol=AAL/timeframe=1m/data.parquet,source_file_unavailable
AAL,2024-01,development,2024-01-11,2024-01-11T14:30:00+00:00,2024-01-11T21:00:00+00:00,2024-01-11T09:30:00-05:00,2024-01-11T16:00:00-05:00,390,0,389,dual_convention_candidates_pending_empirical_proof,0,,390,0-389,0,0,0,,390,0-389,0,0,missing_source_file,source=eodhd/instrument_type=stock/symbol=AAL/timeframe=1m/data.parquet,source_file_unavailable
AAL,2024-01,development,2024-01-12,2024-01-12T14:30:00+00:00,2024-01-12T21:00:00+00:00,2024-01-12T09:30:00-05:00,2024-01-12T16:00:00-05:00,390,0,389,dual_convention_candidates_pending_empirical_proof,0,,390,0-389,0,0,0,,390,0-389,0,0,missing_source_file,source=eodhd/instrument_type=stock/symbol=AAL/timeframe=1m/data.parquet,source_file_unavailable
AAL,2024-01,development,2024-01-16,2024-01-16T14:30:00+00:00,2024-01-16T21:00:00+00:00,2024-01-16T09:30:00-05:00,2024-01-16T16:00:00-05:00,390,0,389,dual_convention_candidates_pending_empirical_proof,0,,390,0-389,0,0,0,,390,0-389,0,0,missing_source_file,source=eodhd/instrument_type=stock/symbol=AAL/timeframe=1m/data.parquet,source_file_unavailable
AAL,2024-01,development,2024-01-17,2024-01-17T14:30:00+00:00,2024-01-17T21:00:00+00:00,2024-01-17T09:30:00-05:00,2024-01-17T16:00:00-05:00,390,0,389,dual_convention_candidates_pending_empirical_proof,0,,390,0-389,0,0,0,,390,0-389,0,0,missing_source_file,source=eodhd/instrument_type=stock/symbol=AAL/timeframe=1m/data.parquet,source_file_unavailable
AAL,2024-01,development,2024-01-18,2024-01-18T14:30:00+00:00,2024-01-18T21:00:00+00:00,2024-01-18T09:30:00-05:00,2024-01-18T16:00:00-05:00,390,0,389,dual_convention_candidates_pending_empirical_proof,0,,390,0-389,0,0,0,,390,0-389,0,0,missing_source_file,source=eodhd/instrument_type=stock/symbol=AAL/timeframe=1m/data.parquet,source_file_unavailable
AAL,2024-01,development,2024-01-19,2024-01-19T14:30:00+00:00,2024-01-19T21:00:00+00:00,2024-01-19T09:30:00-05:00,2024-01-19T16:00:00-05:00,390,0,389,dual_convention_candidates_pending_empirical_proof,0,,390,0-389,0,0,0,,390,0-389,0,0,missing_source_file,source=eodhd/instrument_type=stock/symbol=AAL/timeframe=1m/data.parquet,source_file_unavailable
AAL,2024-01,development,2024-01-22,2024-01-22T14:30:00+00:00,2024-01-22T21:00:00+00:00,2024-01-22T09:30:00-05:00,2024-01-22T16:00:00-05:00,390,0,389,dual_convention_candidates_pending_empirical_proof,0,,390,0-389,0,0,0,,390,0-389,0,0,missing_source_file,source=eodhd/instrument_type=stock/symbol=AAL/timeframe=1m/data.parquet,source_file_unavailable
AAL,2024-01,development,2024-01-23,2024-01-23T14:30:00+00:00,2024-01-23T21:00:00+00:00,2024-01-23T09:30:00-05:00,2024-01-23T16:00:00-05:00,390,0,389,dual_convention_candidates_pending_empirical_proof,0,,390,0-389,0,0,0,,390,0-389,0,0,missing_source_file,source=eodhd/instrument_type=stock/symbol=AAL/timeframe=1m/data.parquet,source_file_unavailable
AAL,2024-01,development,2024-01-24,2024-01-24T14:30:00+00:00,2024-01-24T21:00:00+00:00,2024-01-24T09:30:00-05:00,2024-01-24T16:00:00-05:00,390,0,389,dual_convention_candidates_pending_empirical_proof,0,,390,0-389,0,0,0,,390,0-389,0,0,missing_source_file,source=eodhd/instrument_type=stock/symbol=AAL/timeframe=1m/data.parquet,source_file_unavailable
AAL,2024-01,development,2024-01-25,2024-01-25T14:30:00+00:00,2024-01-25T21:00:00+00:00,2024-01-25T09:30:00-05:00,2024-01-25T16:00:00-05:00,390,0,389,dual_convention_candidates_pending_empirical_proof,0,,390,0-389,0,0,0,,390,0-389,0,0,missing_source_file,source=eodhd/instrument_type=stock/symbol=AAL/timeframe=1m/data.parquet,source_file_unavailable
AAL,2024-01,development,2024-01-26,2024-01-26T14:30:00+00:00,2024-01-26T21:00:00+00:00,2024-01-26T09:30:00-05:00,2024-01-26T16:00:00-05:00,390,0,389,dual_convention_candidates_pending_empirical_proof,0,,390,0-389,0,0,0,,390,0-389,0,0,missing_source_file,source=eodhd/instrument_type=stock/symbol=AAL/timeframe=1m/data.parquet,source_file_unavailable
AAL,2024-01,development,2024-01-29,2024-01-29T14:30:00+00:00,2024-01-29T21:00:00+00:00,2024-01-29T09:30:00-05:00,2024-01-29T16:00:00-05:00,390,0,389,dual_convention_candidates_pending_empirical_proof,0,,390,0-389,0,0,0,,390,0-389,0,0,missing_source_file,source=eodhd/instrument_type=stock/symbol=AAL/timeframe=1m/data.parquet,source_file_unavailable
AAL,2024-01,development,2024-01-30,2024-01-30T14:30:00+00:00,2024-01-30T21:00:00+00:00,2024-01-30T09:30:00-05:00,2024-01-30T16:00:00-05:00,390,0,389,dual_convention_candidates_pending_empirical_proof,0,,390,0-389,0,0,0,,390,0-389,0,0,missing_source_file,source=eodhd/instrument_type=stock/symbol=AAL/timeframe=1m/data.parquet,source_file_unavailable
AAL,2024-01,development,2024-01-31,2024-01-31T14:30:00+00:00,2024-01-31T21:00:00+00:00,2024-01-31T09:30:00-05:00,2024-01-31T16:00:00-05:00,390,0,389,dual_convention_candidates_pending_empirical_proof,0,,390,0-389,0,0,0,,390,0-389,0,0,missing_source_file,source=eodhd/instrument_type=stock/symbol=AAL/timeframe=1m/data.parquet,source_file_unavailable
AAL,2024-02,development,2024-02-01,2024-02-01T14:30:00+00:00,2024-02-01T21:00:00+00:00,2024-02-01T09:30:00-05:00,2024-02-01T16:00:00-05:00,390,0,389,dual_convention_candidates_pending_empirical_proof,0,,390,0-389,0,0,0,,390,0-389,0,0,missing_source_file,source=eodhd/instrument_type=stock/symbol=AAL/timeframe=1m/data.parquet,source_file_unavailable
AAL,2024-02,development,2024-02-02,2024-02-02T14:30:00+00:00,2024-02-02T21:00:00+00:00,2024-02-02T09:30:00-05:00,2024-02-02T16:00:00-05:00,390,0,389,dual_convention_candidates_pending_empirical_proof,0,,390,0-389,0,0,0,,390,0-389,0,0,missing_source_file,source=eodhd/instrument_type=stock/symbol=AAL/timeframe=1m/data.parquet,source_file_unavailable
AAL,2024-02,development,2024-02-05,2024-02-05T14:30:00+00:00,2024-02-05T21:00:00+00:00,2024-02-05T09:30:00-05:00,2024-02-05T16:00:00-05:00,390,0,389,dual_convention_candidates_pending_empirical_proof,0,,390,0-389,0,0,0,,390,0-389,0,0,missing_source_file,source=eodhd/instrument_type=stock/symbol=AAL/timeframe=1m/data.parquet,source_file_unavailable
