record_type,label,scope,row_count,session_count,stock_count,movement_rate,mean_absolute_remaining_movement_bps,up_rate_among_large_moves,up_large_move_count,down_large_move_count,mean_raw_remaining_return_bps,mean_cohort_relative_remaining_return_bps,represented_months,largest_stock,largest_stock_share
label_summary,CALM,pooled,1527,151,20,0.1008513425016372,162.56808711497808,0.57792207792207795,89,65,-0.59058063353718404,9.3362357058248868,8,AAL,0.14210870988867061
label_month_support,CALM,2025-01,121,20,13,0.11570247933884298,167.94860475458225,0.8571428571428571,,,-19.069211727214746,74.670653064124394,,,
label_month_support,CALM,2025-02,152,19,14,0.15789473684210525,200.02242016757432,0.54166666666666663,,,-77.006935410184425,-14.573631662993256,,,
label_month_support,CALM,2025-03,166,20,16,0.12650602409638553,163.0123974528322,0.61904761904761907,,,-27.418760639146694,12.56481254674231,,,
label_month_support,CALM,2025-04,132,15,18,0.098484848484848481,176.98668534842133,0.61538461538461542,,,99.565527769850632,18.937440963077677,,,
label_month_support,CALM,2025-05,228,20,16,0.052631578947368418,128.96382464874131,0.5,,,6.8462825256806337,-5.3891097855667036,,,
label_month_support,CALM,2025-06,253,20,14,0.071146245059288543,164.83205909651025,0.55555555555555558,,,27.441605393524188,23.012500766550492,,,
label_month_support,CALM,2025-07,265,21,18,0.12452830188679245,171.99001918221637,0.48484848484848486,,,-30.033891911438079,-4.7720405130552495,,,
label_month_support,CALM,2025-08,210,16,18,0.090476190476190474,144.81124517150741,0.57894736842105265,,,18.927521669152814,-2.2756242949684955,,,
label_summary,TENSE,pooled,2224,156,20,0.18705035971223022,215.14382537154586,0.57451923076923073,239,177,21.986464467226739,21.892769507645514,8,MSTR,0.082733812949640287
label_month_support,TENSE,2025-01,228,20,20,0.22368421052631579,239.6363969788361,0.50980392156862742,,,-54.712971478402658,3.3315655032458378,,,
label_month_support,TENSE,2025-02,248,19,20,0.23387096774193547,240.56735889387147,0.58620689655172409,,,-42.501779940584804,32.690827972298976,,,
label_month_support,TENSE,2025-03,251,21,20,0.16334661354581673,209.13974403523065,0.48780487804878048,,,21.88435288525222,-11.549583025334673,,,
label_month_support,TENSE,2025-04,197,19,20,0.21827411167512689,231.57400551524265,0.48837209302325579,,,197.06992890237359,33.894323657849625,,,
label_month_support,TENSE,2025-05,325,20,20,0.16615384615384615,181.92175477862054,0.53703703703703709,,,-5.1858329859507366,0.16312646378968845,,,
label_month_support,TENSE,2025-06,379,20,20,0.19525065963060687,228.37405256115429,0.58108108108108103,,,36.670966501396194,37.011438233664265,,,
label_month_support,TENSE,2025-07,361,21,20,0.16343490304709141,206.88369239874666,0.67796610169491522,,,24.084346638058456,43.779764562612286,,,
label_month_support,TENSE,2025-08,235,16,20,0.15319148936170213,194.4874897465568,0.72222222222222221,,,28.467223870437994,26.210699972351541,,,
label_summary,CONFLICTED,pooled,2128,156,20,0.25375939849624063,256.82985722931204,0.54074074074074074,292,248,23.606484101790798,21.563234241508226,8,HIMS,0.071428571428571425
label_month_support,CONFLICTED,2025-01,327,20,20,0.28440366972477066,293.9210232054516,0.41935483870967744,,,-49.932152488293461,-7.604201278191618,,,
label_month_support,CONFLICTED,2025-02,276,19,19,0.28260869565217389,261.51550520984904,0.58974358974358976,,,-71.158162176692358,31.979340622661681,,,
label_month_support,CONFLICTED,2025-03,260,20,20,0.23461538461538461,254.79617378789251,0.54098360655737709,,,56.420537330112083,9.6457914344361626,,,
label_month_support,CONFLICTED,2025-04,230,20,20,0.22173913043478261,218.5928534409133,0.45098039215686275,,,162.71842610478564,22.492177453008178,,,
label_month_support,CONFLICTED,2025-05,267,20,20,0.24344569288389514,246.38108567649348,0.52307692307692311,,,-3.3401510617346224,2.9863765426396141,,,
label_month_support,CONFLICTED,2025-06,298,20,20,0.32214765100671139,297.31925739817751,0.58333333333333337,,,56.088406213351163,53.16092589679328,,,
label_month_support,CONFLICTED,2025-07,276,21,20,0.20652173913043478,228.64188351589007,0.63157894736842102,,,33.966785007524123,43.471246285715189,,,
label_month_support,CONFLICTED,2025-08,194,16,20,0.20103092783505155,227.99006314920939,0.64102564102564108,,,45.92850362344268,16.640975545936609,,,
label_summary,BULLISH_PRESSURE,pooled,1139,145,20,0.24758560140474101,250.66303899899765,0.61702127659574468,174,108,55.369894721527011,40.951291853550174,8,HIMS,0.071992976294995611
label_month_support,BULLISH_PRESSURE,2025-01,169,19,20,0.35502958579881655,316.61602727702274,0.48333333333333334,,,19.009932483213269,21.290615378608926,,,
label_month_support,BULLISH_PRESSURE,2025-02,162,16,20,0.20987654320987653,220.10206869120569,0.70588235294117652,,,27.950434817001621,57.447130208952615,,,
label_month_support,BULLISH_PRESSURE,2025-03,135,19,20,0.18518518518518517,210.15716422023488,0.71999999999999997,,,98.038406898330493,29.012450204758775,,,
label_month_support,BULLISH_PRESSURE,2025-04,153,19,20,0.24183006535947713,241.21735163633446,0.54054054054054057,,,120.62689244660521,15.461574444093154,,,
label_month_support,BULLISH_PRESSURE,2025-05,138,19,20,0.28985507246376813,292.14851384948173,0.80000000000000004,,,156.31741303133558,132.33219364590431,,,
label_month_support,BULLISH_PRESSURE,2025-06,143,19,20,0.20979020979020979,243.37124619206858,0.59999999999999998,,,59.292494277136697,50.535445368770731,,,
label_month_support,BULLISH_PRESSURE,2025-07,136,20,20,0.25,233.40806873596981,0.61764705882352944,,,-55.926529159050887,7.9141854845985602,,,
label_month_support,BULLISH_PRESSURE,2025-08,103,14,20,0.21359223300970873,234.96121599212731,0.54545454545454541,,,11.552814251192306,8.6595147960710168,,,
label_summary,BEARISH_PRESSURE,pooled,1390,149,20,0.19568345323741007,219.95163599113994,0.53308823529411764,145,127,-2.6810710325231319,-2.3426214307382711,8,AAOI,0.063309352517985612
label_month_support,BEARISH_PRESSURE,2025-01,117,17,20,0.26495726495726496,279.78171573900511,0.45161290322580644,,,-22.817279487687102,-21.723158969386624,,,
label_month_support,BEARISH_PRESSURE,2025-02,154,16,20,0.22727272727272727,240.58178046114827,0.54285714285714282,,,-9.8413916665808703,8.4916252234217975,,,
label_month_support,BEARISH_PRESSURE,2025-03,213,21,20,0.20657276995305165,213.56965196960397,0.43181818181818182,,,-129.83038494487209,-40.172495990009459,,,
label_month_support,BEARISH_PRESSURE,2025-04,182,18,20,0.19780219780219779,235.2483415557848,0.41666666666666669,,,21.366708699873357,-23.923346582997617,,,
label_month_support,BEARISH_PRESSURE,2025-05,191,20,20,0.14659685863874344,192.77218904187399,0.5357142857142857,,,37.464739753561915,6.2209762918865819,,,
label_month_support,BEARISH_PRESSURE,2025-06,160,20,20,0.17499999999999999,217.21160194005887,0.5,,,-27.333237565874317,-13.849700510608425,,,
label_month_support,BEARISH_PRESSURE,2025-07,191,21,20,0.193717277486911,212.81110823605152,0.59459459459459463,,,28.668667498731619,8.8668239193597351,,,
label_month_support,BEARISH_PRESSURE,2025-08,182,16,20,0.18131868131868131,194.63142292325506,0.81818181818181823,,,87.722392949111651,56.168288415450363,,,
label_summary,UPWARD_PRESSURE_EXHAUSTING,pooled,1054,154,20,0.21347248576850095,229.41437255307903,0.52000000000000002,117,108,20.994779324538822,24.374735430976227,8,RIVN,0.074952561669829221
label_month_support,UPWARD_PRESSURE_EXHAUSTING,2025-01,122,19,20,0.29508196721311475,275.48682689439175,0.58333333333333337,,,12.611641365065376,58.941731951222806,,,
label_month_support,UPWARD_PRESSURE_EXHAUSTING,2025-02,121,18,20,0.20661157024793389,219.57663244074547,0.56000000000000005,,,-8.9476058642908622,44.955692309559993,,,
label_month_support,UPWARD_PRESSURE_EXHAUSTING,2025-03,149,21,19,0.20134228187919462,218.81332324885858,0.56666666666666665,,,20.231126270992032,17.418784708510419,,,
label_month_support,UPWARD_PRESSURE_EXHAUSTING,2025-04,127,20,20,0.27559055118110237,243.40955413245109,0.42857142857142855,,,152.8892519101621,1.7124495692033677,,,
label_month_support,UPWARD_PRESSURE_EXHAUSTING,2025-05,133,20,20,0.22556390977443608,227.23176701754923,0.5,,,0.96901506631967005,6.5386859112043263,,,
label_month_support,UPWARD_PRESSURE_EXHAUSTING,2025-06,147,20,20,0.19727891156462585,240.46469505253893,0.51724137931034486,,,38.801123638412513,54.250045738783712,,,
label_month_support,UPWARD_PRESSURE_EXHAUSTING,2025-07,159,21,20,0.15094339622641509,211.77059700245289,0.54166666666666663,,,-39.290885731140335,24.30803360982247,,,
