scope_type,scope_value,target,model,bin,lower_bound,upper_bound,row_count,mean_probability,observed_rate
pooled,all,large_remaining_move,P0,1,0,0.10000000000000001,0,,
pooled,all,large_remaining_move,P0,2,0.10000000000000001,0.20000000000000001,0,,
pooled,all,large_remaining_move,P0,3,0.20000000000000001,0.29999999999999999,6262,0.25080219577932439,0.20903864580006387
pooled,all,large_remaining_move,P0,4,0.29999999999999999,0.40000000000000002,0,,
pooled,all,large_remaining_move,P0,5,0.40000000000000002,0.5,0,,
pooled,all,large_remaining_move,P0,6,0.5,0.59999999999999998,0,,
pooled,all,large_remaining_move,P0,7,0.59999999999999998,0.69999999999999996,0,,
pooled,all,large_remaining_move,P0,8,0.69999999999999996,0.80000000000000004,0,,
pooled,all,large_remaining_move,P0,9,0.80000000000000004,0.90000000000000002,0,,
pooled,all,large_remaining_move,P0,10,0.90000000000000002,1,0,,
pooled,all,large_remaining_move,P1,1,0,0.10000000000000001,0,,
pooled,all,large_remaining_move,P1,2,0.10000000000000001,0.20000000000000001,2066,0.17180539038735451,0.1132623426911907
pooled,all,large_remaining_move,P1,3,0.20000000000000001,0.29999999999999999,2609,0.24173111339608885,0.20275967803756229
pooled,all,large_remaining_move,P1,4,0.29999999999999999,0.40000000000000002,922,0.33960274697240367,0.26030368763557482
pooled,all,large_remaining_move,P1,5,0.40000000000000002,0.5,312,0.44204549975520424,0.38141025641025639
pooled,all,large_remaining_move,P1,6,0.5,0.59999999999999998,169,0.54533687828743538,0.45562130177514792
pooled,all,large_remaining_move,P1,7,0.59999999999999998,0.69999999999999996,80,0.64494482885359738,0.59999999999999998
pooled,all,large_remaining_move,P1,8,0.69999999999999996,0.80000000000000004,47,0.74812334254408142,0.53191489361702127
pooled,all,large_remaining_move,P1,9,0.80000000000000004,0.90000000000000002,33,0.84518394699048283,0.78787878787878785
pooled,all,large_remaining_move,P1,10,0.90000000000000002,1,24,0.94737027166412668,0.45833333333333331
pooled,all,large_remaining_move,P2,1,0,0.10000000000000001,183,0.087287188113053166,0.11475409836065574
pooled,all,large_remaining_move,P2,2,0.10000000000000001,0.20000000000000001,2280,0.15559287031472385,0.1206140350877193
pooled,all,large_remaining_move,P2,3,0.20000000000000001,0.29999999999999999,2136,0.2451216107500723,0.19897003745318351
pooled,all,large_remaining_move,P2,4,0.29999999999999999,0.40000000000000002,931,0.34129155222723023,0.2781954887218045
pooled,all,large_remaining_move,P2,5,0.40000000000000002,0.5,399,0.44261267369569429,0.39849624060150374
pooled,all,large_remaining_move,P2,6,0.5,0.59999999999999998,185,0.54223635122021518,0.44864864864864867
pooled,all,large_remaining_move,P2,7,0.59999999999999998,0.69999999999999996,85,0.64377480602684711,0.56470588235294117
pooled,all,large_remaining_move,P2,8,0.69999999999999996,0.80000000000000004,35,0.74646421056064793,0.74285714285714288
pooled,all,large_remaining_move,P2,9,0.80000000000000004,0.90000000000000002,23,0.84201118142585374,0.47826086956521741
pooled,all,large_remaining_move,P2,10,0.90000000000000002,1,5,0.95433342180628544,0.40000000000000002
pooled,all,large_remaining_move,P3,1,0,0.10000000000000001,183,0.087300004005912604,0.087431693989071038
pooled,all,large_remaining_move,P3,2,0.10000000000000001,0.20000000000000001,2346,0.15481379444424528,0.12617220801364024
pooled,all,large_remaining_move,P3,3,0.20000000000000001,0.29999999999999999,2067,0.24479459994500535,0.20125786163522014
pooled,all,large_remaining_move,P3,4,0.29999999999999999,0.40000000000000002,910,0.3431011510282384,0.27472527472527475
