scope_type,scope_value,target,model,brier_score,log_loss,auc,calibration_intercept,calibration_slope,expected_calibration_error,base_rate,row_count,session_count,stock_count
month,2025-01,large_remaining_move,P0,0.19248114549171647,0.57327105998100303,0.50649688149688155,13.871702246783197,13.631815841427205,0.009197804220675676,0.26000000000000001,800,20,20
month,2025-01,large_remaining_move,P1,0.17292620174441523,0.53163398247933069,0.70378280925155923,-0.33639976336212907,0.93931486928729713,0.059916678785368993,0.26000000000000001,800,20,20
month,2025-01,large_remaining_move,P2,0.17303260743184901,0.52742225352716687,0.70672264812889818,-0.22179841140459347,1.0622390971067714,0.052381092359904388,0.26000000000000001,800,20,20
month,2025-01,large_remaining_move,P3,0.17340050799921072,0.52850683568674117,0.70566690488565487,-0.23855274326101586,1.0395880098641441,0.051256728250137072,0.26000000000000001,800,20,20
month,2025-01,up_given_large_move,D0,0.25474273630777999,0.70266043759973773,0.56085343228200379,-1.0434007426049701,4.4069543691944917,0.081204452201673716,0.47115384615384615,208,20,20
month,2025-01,up_given_large_move,D1,0.25693465286297273,0.70752519636535294,0.51614100185528755,-0.19280256781285443,0.37397976226306312,0.096594068359166757,0.47115384615384615,208,20,20
month,2025-01,up_given_large_move,D2,0.25368234753433633,0.70225820526123595,0.55584415584415592,-0.20567590203906846,0.48949870626821279,0.071401368330267015,0.47115384615384615,208,20,20
month,2025-01,up_given_large_move,D3,0.25611722377080959,0.70816047355392953,0.54025974025974022,-0.18580178571496608,0.3688215841430601,0.084312623074766613,0.47115384615384615,208,20,20
month,2025-02,large_remaining_move,P0,0.17569477984171195,0.53641361741756277,0.5037573168802405,7.3975666463051617,7.8831677679636485,0.024486406305640168,0.22631578947368422,760,19,20
month,2025-02,large_remaining_move,P1,0.17824674774947438,0.53949071848825614,0.60345475399462112,-0.69529994324309952,0.57835466082135567,0.059546019484842984,0.22631578947368422,760,19,20
month,2025-02,large_remaining_move,P2,0.18027933241768138,0.54591394443662034,0.58895942097769338,-0.78840106579632885,0.45033671841443462,0.062474609166702257,0.22631578947368422,760,19,20
