record_type,draw,metric,value,interval_90_lower,interval_90_upper,interval_95_lower,interval_95_upper
draw,0,D2_minus_D1_brier_improvement,-0.0046424317907600432,,,,
draw,1,D2_minus_D1_brier_improvement,-0.0024308136352928778,,,,
draw,2,D2_minus_D1_brier_improvement,-0.0040435912843578836,,,,
draw,3,D2_minus_D1_brier_improvement,-0.0024130246529064925,,,,
draw,4,D2_minus_D1_brier_improvement,-0.0041468251304883907,,,,
draw,5,D2_minus_D1_brier_improvement,-0.0014251490670431632,,,,
draw,6,D2_minus_D1_brier_improvement,-0.0055629177621573656,,,,
draw,7,D2_minus_D1_brier_improvement,-0.0054971277796589113,,,,
draw,8,D2_minus_D1_brier_improvement,-0.0045366379666394174,,,,
draw,9,D2_minus_D1_brier_improvement,-0.0012597624183645351,,,,
draw,10,D2_minus_D1_brier_improvement,-0.00056046743072407645,,,,
draw,11,D2_minus_D1_brier_improvement,-0.0027106898664013834,,,,
draw,12,D2_minus_D1_brier_improvement,-0.0027583551408282281,,,,
draw,13,D2_minus_D1_brier_improvement,-0.0036753557828769767,,,,
draw,14,D2_minus_D1_brier_improvement,-0.0030266448090942866,,,,
draw,15,D2_minus_D1_brier_improvement,-0.0033963353720895262,,,,
draw,16,D2_minus_D1_brier_improvement,-0.0028960941968911025,,,,
draw,17,D2_minus_D1_brier_improvement,-0.006029625208436612,,,,
draw,18,D2_minus_D1_brier_improvement,-0.002203467958609262,,,,
draw,19,D2_minus_D1_brier_improvement,-0.0048850713490258824,,,,
draw,20,D2_minus_D1_brier_improvement,-0.0062871359958438788,,,,
draw,21,D2_minus_D1_brier_improvement,-0.0051093876716370445,,,,
draw,22,D2_minus_D1_brier_improvement,-0.0053660841452078945,,,,
draw,23,D2_minus_D1_brier_improvement,-0.0037659021073075671,,,,
draw,24,D2_minus_D1_brier_improvement,-0.0042914425617958107,,,,
draw,25,D2_minus_D1_brier_improvement,-0.0068717531498501128,,,,
draw,26,D2_minus_D1_brier_improvement,-0.002877355276177912,,,,
draw,27,D2_minus_D1_brier_improvement,-0.00025236590935789893,,,,
draw,28,D2_minus_D1_brier_improvement,-0.00044801798811722193,,,,
draw,29,D2_minus_D1_brier_improvement,-0.0028793180048049538,,,,
draw,30,D2_minus_D1_brier_improvement,-0.001914545701146575,,,,
draw,31,D2_minus_D1_brier_improvement,-0.0024888852747746437,,,,
draw,32,D2_minus_D1_brier_improvement,-0.006193588211905271,,,,
draw,33,D2_minus_D1_brier_improvement,-0.0043771098792925178,,,,
draw,34,D2_minus_D1_brier_improvement,-0.0056095791495873182,,,,
draw,35,D2_minus_D1_brier_improvement,-0.001731426440434114,,,,
draw,36,D2_minus_D1_brier_improvement,-0.0032952972897691835,,,,
draw,37,D2_minus_D1_brier_improvement,-0.0037415251547640582,,,,
draw,38,D2_minus_D1_brier_improvement,-0.0014478398072020893,,,,
draw,39,D2_minus_D1_brier_improvement,-0.0010058783672272364,,,,
draw,40,D2_minus_D1_brier_improvement,-0.002097890495915633,,,,
draw,41,D2_minus_D1_brier_improvement,-0.0067974419533135821,,,,
draw,42,D2_minus_D1_brier_improvement,-0.0056642506029971895,,,,
draw,43,D2_minus_D1_brier_improvement,-0.0045305483430432836,,,,
draw,44,D2_minus_D1_brier_improvement,-0.0003163146223448543,,,,
draw,45,D2_minus_D1_brier_improvement,-0.0037659230335826688,,,,
draw,46,D2_minus_D1_brier_improvement,-1.626609302574078e-05,,,,
draw,47,D2_minus_D1_brier_improvement,-0.0028480389559599195,,,,
draw,48,D2_minus_D1_brier_improvement,-0.0048826946446826336,,,,
draw,49,D2_minus_D1_brier_improvement,-0.0024854541585019874,,,,
draw,50,D2_minus_D1_brier_improvement,-0.0044433238191540214,,,,
draw,51,D2_minus_D1_brier_improvement,0.0011993659248471233,,,,
draw,52,D2_minus_D1_brier_improvement,-0.0049650215098553663,,,,
draw,53,D2_minus_D1_brier_improvement,-0.0059199763723423726,,,,
draw,54,D2_minus_D1_brier_improvement,-0.006639770158300029,,,,
draw,55,D2_minus_D1_brier_improvement,-7.221766351706016e-06,,,,
draw,56,D2_minus_D1_brier_improvement,-0.0029177272455161996,,,,
draw,57,D2_minus_D1_brier_improvement,-0.0018872337359239211,,,,
draw,58,D2_minus_D1_brier_improvement,-0.0044134005242865704,,,,
draw,59,D2_minus_D1_brier_improvement,-0.005116748679338895,,,,
draw,60,D2_minus_D1_brier_improvement,-0.0065020580674783057,,,,
draw,61,D2_minus_D1_brier_improvement,-0.0059940572155888772,,,,
draw,62,D2_minus_D1_brier_improvement,-0.0018729000306771104,,,,
draw,63,D2_minus_D1_brier_improvement,0.00049186539185952505,,,,
draw,64,D2_minus_D1_brier_improvement,-0.0022005764198639866,,,,
draw,65,D2_minus_D1_brier_improvement,-0.0032993399155007708,,,,
draw,66,D2_minus_D1_brier_improvement,-0.0019157331513380005,,,,
draw,67,D2_minus_D1_brier_improvement,-0.0025362661669183217,,,,
draw,68,D2_minus_D1_brier_improvement,-0.0046343986501692358,,,,
draw,69,D2_minus_D1_brier_improvement,0.00076216082029711973,,,,
draw,70,D2_minus_D1_brier_improvement,-0.0031182006432996512,,,,
draw,71,D2_minus_D1_brier_improvement,-0.0028325543921075003,,,,
draw,72,D2_minus_D1_brier_improvement,-0.0018478029981540967,,,,
draw,73,D2_minus_D1_brier_improvement,-0.0060344769197919756,,,,
draw,74,D2_minus_D1_brier_improvement,-0.0038702638989882021,,,,
draw,75,D2_minus_D1_brier_improvement,-0.0030991654254718393,,,,
draw,76,D2_minus_D1_brier_improvement,-0.0012771216471773594,,,,
draw,77,D2_minus_D1_brier_improvement,-0.00011007360545878253,,,,
draw,78,D2_minus_D1_brier_improvement,-0.00064850396522023179,,,,
draw,79,D2_minus_D1_brier_improvement,-0.0020550626838902741,,,,
draw,80,D2_minus_D1_brier_improvement,-0.0064259539233303964,,,,
draw,81,D2_minus_D1_brier_improvement,-0.0015212976536156664,,,,
