diagnostic_type,target,model,feature,value,feature_2,checkpoint,quintile,row_count,movement_rate,mean_absolute_future_movement_bps,direction_rate_among_large_moves,threshold_q20,threshold_q40,threshold_q60,threshold_q80,original_brier,permuted_brier,permutation
standardised_model_coefficient,movement,P0,checkpoint_60m,0.0019065691722095031,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P1,checkpoint_60m,0.059161763935595094,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P1,opening_gap_bps,0.12560215026048105,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P1,open_to_decision_raw_return_bps,0.14300916392878518,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P1,open_to_decision_cohort_relative_return_bps,-0.13901712777971048,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P1,latest_one_bar_return_bps,-0.0013878079107977844,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P1,latest_three_bar_return_bps,0.0013484652167514591,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P1,opening_realized_volatility_bps,-0.061566722982340824,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P1,opening_high_low_range_bps,0.073532570264718336,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P1,current_true_range_bps,0.081935623270854172,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P1,mean_completed_bar_true_range_bps,0.37957171766563713,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P1,close_location_within_opening_range,0.050333968769802069,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P1,distance_from_opening_high_bps,0.050096852654307737,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P1,distance_from_opening_low_bps,0.074443578465822433,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P1,positive_close_fraction,-0.0089671309993586846,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P1,directional_close_persistence_ratio,0.012149402267439449,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P1,historical_activity_proxy_shock,0.12124207928307658,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P1,cross_sectional_dispersion_bps,-0.015088539556091386,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P2,checkpoint_60m,0.058177030475714597,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P2,opening_gap_bps,0.10390330189160034,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P2,open_to_decision_raw_return_bps,0.19389565357322933,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P2,open_to_decision_cohort_relative_return_bps,-0.042592115660136209,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P2,latest_one_bar_return_bps,-0.0055107108017946795,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P2,latest_three_bar_return_bps,-0.0083072359367621484,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P2,opening_realized_volatility_bps,0.030355028517542577,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P2,opening_high_low_range_bps,-0.040983120853902197,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P2,current_true_range_bps,0.021967184662556958,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P2,mean_completed_bar_true_range_bps,0.055939796429176909,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P2,close_location_within_opening_range,0.047437712992947828,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P2,distance_from_opening_high_bps,-0.037297437752300384,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P2,distance_from_opening_low_bps,-0.066497447815600352,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P2,positive_close_fraction,0.033762730027752125,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P2,directional_close_persistence_ratio,0.039789194382602519,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P2,historical_activity_proxy_shock,-0.36897791021822807,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P2,cross_sectional_dispersion_bps,0.028574422856781065,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P2,arousal,0.94825063429442957,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P2,conviction,-0.069170696863902884,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P2,frustration,-0.071211656442970533,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P2,tension,0.13042640038551165,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P2,signed_pressure,-0.13679029249930719,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P2,pressure_magnitude,0.071240393337009753,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P2,exhaustion_magnitude,0.034893658150437663,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P2,signed_exhaustion,-0.047354355934538475,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P2,independence,0.12300541678207658,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P2,signed_independence,-0.01825282052461976,,,,,,,,,,,,,,
