symbol,present_in_safe_raw_manifest,raw_file_hash,data_qa_only,used_in_observable_model_training,used_in_feature_selection,used_in_threshold_selection,used_in_directional_outcome_analysis,used_in_post_hoc_tail_inspection,used_in_any_price_or_payoff_report,used_only_in_structural_nonprice_research,exposure_evidence_paths,exposure_status,eligible_for_cross_stock_holdout,exclusion_reason,vendor_qa_status,vendor_qa_issue_codes,bar_audit_passed,bar_audit_issue_codes,safe_raw_file
AAL,true,e071e75a021f207c380a86017b660c020d0a41f2f3bd480ef5dfb2fdc5561169,false,true,false,true,true,true,true,false,data/reports/audits/AAL_5m_audit.json|data/reports/research/20260630115359_vwap_reclaim_v2_intraday_session_flat_AAL_5m.json|data/reports/vendor_qa/AAL_5m_eodhd_qa.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/chain_ranking_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/direction_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/model_coefficients.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/movement_thresholds.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,pass,,true,,data/raw/source=eodhd/endpoint=intraday/symbol=AAL/interval=5m/2024-01-01_2025-08-23.json
AAOI,true,1512166ffa12441550c08c0296c2017f34c43608c233bfe72429a079bc8dee61,false,true,false,true,true,true,true,false,data/reports/audits/AAOI_5m_audit.json|data/reports/research/20260630112300_vwap_reclaim_v2_intraday_session_flat_AAOI_5m.json|data/reports/vendor_qa/AAOI_5m_eodhd_qa.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/chain_ranking_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/direction_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/model_coefficients.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/movement_thresholds.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,warning,validation_warnings,false,large_price_jump,data/raw/source=eodhd/endpoint=intraday/symbol=AAOI/interval=5m/2024-01-01_2025-08-23.json
AMAT,true,692fb165ba3131531a31b256b7b94df4f6a1538532c32263fdee4c3c32539b11,false,false,false,false,true,false,true,false,data/reports/audits/AMAT_5m_audit.json|data/reports/research/20260629134558_vwap_reclaim_rejection_intraday_session_flat_v1_AMAT.US_5m.json|data/reports/vendor_qa/AMAT_5m_eodhd_qa.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,pass,,true,,data/raw/source=eodhd/endpoint=intraday/symbol=AMAT/interval=5m/2024-01-01_2025-08-23.json
APLD,true,44b68a5fd4dc898eb33cc0d3f63eae3aa424e4606b2c3087bbd1c32c94d94883,false,true,false,true,true,true,true,false,data/reports/audits/APLD_5m_audit.json|data/reports/research/20260630114600_vwap_reclaim_v2_intraday_session_flat_APLD_5m.json|data/reports/vendor_qa/APLD_5m_eodhd_qa.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/chain_ranking_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/direction_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/model_coefficients.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/movement_thresholds.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,warning,validation_warnings,false,large_price_jump,data/raw/source=eodhd/endpoint=intraday/symbol=APLD/interval=5m/2024-01-01_2025-08-23.json
ASTS,true,f8c9170676cc882457cf11ab5e175b4f7275f969976bb331cee45b9db698eb13,false,true,false,true,true,true,true,false,data/reports/audits/ASTS_5m_audit.json|data/reports/research/20260630113030_vwap_reclaim_v2_intraday_session_flat_ASTS_5m.json|data/reports/vendor_qa/ASTS_5m_eodhd_qa.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/chain_ranking_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/direction_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/model_coefficients.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/movement_thresholds.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,warning,validation_warnings,false,large_price_jump,data/raw/source=eodhd/endpoint=intraday/symbol=ASTS/interval=5m/2024-01-01_2025-08-23.json
AXTI,true,9cca5ecaa3e27893ed3ce2a552f5fca425f76e89722c6b2b499a4b77fe8c15ff,false,false,false,false,true,false,true,false,data/reports/audits/AXTI_5m_audit.json|data/reports/research/20260630111804_vwap_reclaim_v2_intraday_session_flat_AXTI_5m.json|data/reports/vendor_qa/AXTI_5m_eodhd_qa.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,warning,validation_warnings,false,large_price_jump|timestamp_gap,data/raw/source=eodhd/endpoint=intraday/symbol=AXTI/interval=5m/2024-01-01_2025-08-23.json
BE,true,716df205009207cc600880d35f1e2051a64ede659cabcd7e6ab90501a7d0751f,false,false,false,false,true,false,true,false,data/reports/audits/BE_5m_audit.json|data/reports/research/20260630113322_vwap_reclaim_v2_intraday_session_flat_BE_5m.json|data/reports/vendor_qa/BE_5m_eodhd_qa.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,warning,validation_warnings,false,large_price_jump,data/raw/source=eodhd/endpoint=intraday/symbol=BE/interval=5m/2024-01-01_2025-08-23.json
BMNR,true,6092d16a8406fe198417dc8b0a31c02e027016042d5a09dde6836b9a967d44b7,false,false,false,false,true,false,true,false,data/reports/audits/BMNR_5m_audit.json|data/reports/research/active_liquidation_midcap_failure_precursors_v0/active_liquidation_midcap_failure_precursors_v0_20260701T192220Z/active_liquidation_midcap_trades.csv|data/reports/vendor_qa/BMNR_5m_eodhd_qa.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,pass,,true,,data/raw/source=eodhd/endpoint=intraday/symbol=BMNR/interval=5m/2024-01-01_2025-08-23.json
CIFR,true,59276ed5e2ca881e6425c6992cb38abf131a76330ed4b30c10908183fdd1c63c,false,true,false,true,true,true,true,false,data/reports/audits/CIFR_5m_audit.json|data/reports/research/20260630113538_vwap_reclaim_v2_intraday_session_flat_CIFR_5m.json|data/reports/vendor_qa/CIFR_5m_eodhd_qa.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/chain_ranking_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/direction_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/model_coefficients.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/movement_thresholds.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,warning,validation_warnings,false,large_price_jump,data/raw/source=eodhd/endpoint=intraday/symbol=CIFR/interval=5m/2024-01-01_2025-08-23.json
CRCL,true,63af1147b423aba1470d9618a42d8cb53f0d9ebdc593605fc19dbf1e5d0c7e63,true,false,false,false,false,false,false,false,data/reports/audits/CRCL_5m_audit.json|data/reports/research|data/reports/vendor_qa/CRCL_5m_eodhd_qa.json,clean_data_qa_only,false,vendor_qa_or_bar_audit_not_passed,warning,validation_warnings,false,large_price_jump,data/raw/source=eodhd/endpoint=intraday/symbol=CRCL/interval=5m/2024-01-01_2025-08-23.json
