population,scope_type,scope_value,target,model,bin,lower_bound_inclusive,upper_bound_exclusive_except_last,rows,mean_probability,observed_rate
primary_high_movement,checkpoint,12,directional_onset,A0,1,0,0.1,0,,
primary_high_movement,checkpoint,12,directional_onset,A0,2,0.1,0.2,0,,
primary_high_movement,checkpoint,12,directional_onset,A0,3,0.2,0.3,0,,
primary_high_movement,checkpoint,12,directional_onset,A0,4,0.3,0.4,235,0.376450829834,0.263829787234
primary_high_movement,checkpoint,12,directional_onset,A0,5,0.4,0.5,273,0.440299520454,0.395604395604
primary_high_movement,checkpoint,12,directional_onset,A0,6,0.5,0.6,121,0.543717843995,0.438016528926
primary_high_movement,checkpoint,12,directional_onset,A0,7,0.6,0.7,71,0.648676752253,0.492957746479
primary_high_movement,checkpoint,12,directional_onset,A0,8,0.7,0.8,34,0.740513962308,0.705882352941
primary_high_movement,checkpoint,12,directional_onset,A0,9,0.8,0.9,43,0.845492049472,0.488372093023
primary_high_movement,checkpoint,12,directional_onset,A0,10,0.9,1,17,0.924463390054,1
primary_high_movement,checkpoint,12,directional_onset,A1,1,0,0.1,0,,
primary_high_movement,checkpoint,12,directional_onset,A1,2,0.1,0.2,0,,
primary_high_movement,checkpoint,12,directional_onset,A1,3,0.2,0.3,7,0.29369722175,0.428571428571
primary_high_movement,checkpoint,12,directional_onset,A1,4,0.3,0.4,240,0.362099783258,0.291666666667
primary_high_movement,checkpoint,12,directional_onset,A1,5,0.4,0.5,256,0.442699736887,0.359375
primary_high_movement,checkpoint,12,directional_onset,A1,6,0.5,0.6,100,0.551985990302,0.43
primary_high_movement,checkpoint,12,directional_onset,A1,7,0.6,0.7,82,0.649575586258,0.487804878049
primary_high_movement,checkpoint,12,directional_onset,A1,8,0.7,0.8,44,0.746327633119,0.704545454545
primary_high_movement,checkpoint,12,directional_onset,A1,9,0.8,0.9,38,0.850372565387,0.5
primary_high_movement,checkpoint,12,directional_onset,A1,10,0.9,1,27,0.939679617342,0.814814814815
primary_high_movement,checkpoint,12,directional_onset,A2,1,0,0.1,0,,
primary_high_movement,checkpoint,12,directional_onset,A2,2,0.1,0.2,1,0.189734473875,1
primary_high_movement,checkpoint,12,directional_onset,A2,3,0.2,0.3,48,0.266407476328,0.229166666667
primary_high_movement,checkpoint,12,directional_onset,A2,4,0.3,0.4,190,0.354269178857,0.294736842105
primary_high_movement,checkpoint,12,directional_onset,A2,5,0.4,0.5,210,0.448541978446,0.361904761905
primary_high_movement,checkpoint,12,directional_onset,A2,6,0.5,0.6,150,0.544545665866,0.406666666667
primary_high_movement,checkpoint,12,directional_onset,A2,7,0.6,0.7,82,0.647612282215,0.5
primary_high_movement,checkpoint,12,directional_onset,A2,8,0.7,0.8,55,0.742000901926,0.654545454545
primary_high_movement,checkpoint,12,directional_onset,A2,9,0.8,0.9,34,0.85153229114,0.5
primary_high_movement,checkpoint,12,directional_onset,A2,10,0.9,1,24,0.94521616419,0.875
primary_high_movement,checkpoint,12,directional_onset,A3,1,0,0.1,0,,
primary_high_movement,checkpoint,12,directional_onset,A3,2,0.1,0.2,5,0.176712843382,0
primary_high_movement,checkpoint,12,directional_onset,A3,3,0.2,0.3,67,0.264175810799,0.164179104478
primary_high_movement,checkpoint,12,directional_onset,A3,4,0.3,0.4,172,0.351431638557,0.302325581395
primary_high_movement,checkpoint,12,directional_onset,A3,5,0.4,0.5,179,0.451577580683,0.368715083799
primary_high_movement,checkpoint,12,directional_onset,A3,6,0.5,0.6,152,0.546631125477,0.427631578947
primary_high_movement,checkpoint,12,directional_onset,A3,7,0.6,0.7,95,0.649319949631,0.526315789474
primary_high_movement,checkpoint,12,directional_onset,A3,8,0.7,0.8,59,0.742662769892,0.559322033898
primary_high_movement,checkpoint,12,directional_onset,A3,9,0.8,0.9,33,0.847044357664,0.606060606061
primary_high_movement,checkpoint,12,directional_onset,A3,10,0.9,1,32,0.940332637285,0.71875
primary_high_movement,checkpoint,12,up_given_onset,D0,1,0,0.1,0,,
primary_high_movement,checkpoint,12,up_given_onset,D0,2,0.1,0.2,0,,
primary_high_movement,checkpoint,12,up_given_onset,D0,3,0.2,0.3,0,,
primary_high_movement,checkpoint,12,up_given_onset,D0,4,0.3,0.4,0,,
primary_high_movement,checkpoint,12,up_given_onset,D0,5,0.4,0.5,0,,
primary_high_movement,checkpoint,12,up_given_onset,D0,6,0.5,0.6,320,0.521844103016,0.453125
primary_high_movement,checkpoint,12,up_given_onset,D0,7,0.6,0.7,0,,
primary_high_movement,checkpoint,12,up_given_onset,D0,8,0.7,0.8,0,,
primary_high_movement,checkpoint,12,up_given_onset,D0,9,0.8,0.9,0,,
primary_high_movement,checkpoint,12,up_given_onset,D0,10,0.9,1,0,,
primary_high_movement,checkpoint,12,up_given_onset,D1,1,0,0.1,0,,
primary_high_movement,checkpoint,12,up_given_onset,D1,2,0.1,0.2,0,,
primary_high_movement,checkpoint,12,up_given_onset,D1,3,0.2,0.3,0,,
primary_high_movement,checkpoint,12,up_given_onset,D1,4,0.3,0.4,6,0.371129672273,0.666666666667
primary_high_movement,checkpoint,12,up_given_onset,D1,5,0.4,0.5,92,0.464776927459,0.445652173913
primary_high_movement,checkpoint,12,up_given_onset,D1,6,0.5,0.6,198,0.54445835871,0.449494949495
