population,scope_type,scope_value,target,model,probability_column,brier_score,log_loss,auc,calibration_intercept,calibration_slope,expected_calibration_error,base_rate,rows,sessions,stocks
primary_high_movement,checkpoint,12,directional_onset,A0,p_onset__A0,0.237811960534,0.671562346054,0.635647415612,-0.429293979626,0.707828142351,0.101173019954,0.403022670025,794,147,20
primary_high_movement,checkpoint,12,directional_onset,A1,p_onset__A1,0.238079461842,0.674705378687,0.63151371308,-0.449188551992,0.642531088209,0.104744231972,0.403022670025,794,147,20
primary_high_movement,checkpoint,12,directional_onset,A2,p_onset__A2,0.236719825615,0.668748163924,0.643400580169,-0.452617056588,0.684995506937,0.104957400898,0.403022670025,794,147,20
primary_high_movement,checkpoint,12,directional_onset,A3,p_onset__A3,0.238189821855,0.67497389655,0.651153744726,-0.471080171562,0.637068729607,0.108936410859,0.403022670025,794,147,20
primary_high_movement,checkpoint,12,up_given_onset,D0,p_up_given_onset__D0,0.254161107808,0.70149705959,0.441497536946,0.211621263657,-4.61677840632,0.0687191030159,0.453125,320,123,20
primary_high_movement,checkpoint,12,up_given_onset,D1,p_up_given_onset__D1,0.253753753961,0.700930448735,0.535054187192,-0.228239184408,0.385461813315,0.0833356481163,0.453125,320,123,20
primary_high_movement,checkpoint,12,up_given_onset,D2,p_up_given_onset__D2,0.281155669686,0.764415244557,0.44997044335,-0.152757662758,-0.317273221191,0.133792903329,0.453125,320,123,20
primary_high_movement,checkpoint,12,up_given_onset,D3,p_up_given_onset__D3,0.293107508036,0.793227341616,0.436137931034,-0.156524834056,-0.375458346795,0.176222675477,0.453125,320,123,20
primary_high_movement,checkpoint,6,directional_onset,A0,p_onset__A0,0.229608264817,0.652468623196,0.678547245306,-0.252215326785,0.915439675161,0.0619197914371,0.471279373368,766,152,20
primary_high_movement,checkpoint,6,directional_onset,A1,p_onset__A1,0.231520942226,0.658193085159,0.674450258199,-0.305608308662,0.825333702161,0.0741973724873,0.471279373368,766,152,20
primary_high_movement,checkpoint,6,directional_onset,A2,p_onset__A2,0.230426546623,0.654515731645,0.674279265415,-0.307379255361,0.84251811416,0.0762792702563,0.471279373368,766,152,20
primary_high_movement,checkpoint,6,directional_onset,A3,p_onset__A3,0.232757660199,0.660796456943,0.671187715878,-0.313004599057,0.766521151896,0.0982283925051,0.471279373368,766,152,20
primary_high_movement,checkpoint,6,up_given_onset,D0,p_up_given_onset__D0,0.254297300724,0.701756242381,0.447422360248,-0.111448371258,-3.40677747067,0.078148040763,0.554016620499,361,131,20
primary_high_movement,checkpoint,6,up_given_onset,D1,p_up_given_onset__D1,0.258037164553,0.710051365583,0.534782608696,0.22284360894,0.0740299083434,0.108218292406,0.554016620499,361,131,20
primary_high_movement,checkpoint,6,up_given_onset,D2,p_up_given_onset__D2,0.266477688021,0.733584968679,0.54102484472,0.228233137632,0.190011516785,0.107707071663,0.554016620499,361,131,20
primary_high_movement,checkpoint,6,up_given_onset,D3,p_up_given_onset__D3,0.273990033343,0.755749406895,0.536894409938,0.220607236772,0.15070108932,0.13253424582,0.554016620499,361,131,20
secondary_all_rows,checkpoint,12,directional_onset,A0,p_onset__A0,0.153331069289,0.48625635644,0.753045547897,-0.564661851506,1.31368099096,0.132292278872,0.194488945851,3121,157,20
