record_type,deleted_symbol,model,comparison,metric,scope_type,scope_value,main_value,deletion_value,same_sign,passes
checkpoint_increment,QBTS,not_applicable,A2_minus_A1,brier_score,checkpoint,12,,0.000679406326498,True,True
checkpoint_increment,QBTS,not_applicable,A2_minus_A1,brier_score,checkpoint,6,,0.00321633000546,True,True
checkpoint_increment,QBTS,not_applicable,A2_minus_A1,log_loss,checkpoint,12,,0.00157284119256,True,True
checkpoint_increment,QBTS,not_applicable,A2_minus_A1,log_loss,checkpoint,6,,0.00810492496135,True,True
checkpoint_increment,QBTS,not_applicable,D2_minus_D1,brier_score,checkpoint,12,,-0.0179839227424,True,False
checkpoint_increment,QBTS,not_applicable,D2_minus_D1,brier_score,checkpoint,6,,-0.0100213935696,True,False
checkpoint_increment,QBTS,not_applicable,D2_minus_D1,log_loss,checkpoint,12,,-0.0450137717538,True,False
checkpoint_increment,QBTS,not_applicable,D2_minus_D1,log_loss,checkpoint,6,,-0.0268428327825,True,False
economic_reference,QBTS,confirmed,not_applicable,mean_signed_return_after_friction_bps,friction_bps,0,,32.9688206724,True,True
economic_reference,QBTS,pressure,not_applicable,mean_signed_return_after_friction_bps,friction_bps,0,,26.6620602386,True,True
economic_reference,QBTS,readiness,not_applicable,mean_signed_return_after_friction_bps,friction_bps,0,,41.900063356,True,True
economic_reference,QBTS,confirmed,not_applicable,mean_signed_return_after_friction_bps,friction_bps,10,,22.9688206724,True,True
economic_reference,QBTS,pressure,not_applicable,mean_signed_return_after_friction_bps,friction_bps,10,,16.6620602386,True,True
economic_reference,QBTS,readiness,not_applicable,mean_signed_return_after_friction_bps,friction_bps,10,,31.900063356,True,True
economic_reference,QBTS,confirmed,not_applicable,mean_signed_return_after_friction_bps,friction_bps,20,,12.9688206724,True,True
economic_reference,QBTS,pressure,not_applicable,mean_signed_return_after_friction_bps,friction_bps,20,,6.66206023859,True,True
economic_reference,QBTS,readiness,not_applicable,mean_signed_return_after_friction_bps,friction_bps,20,,21.900063356,True,True
increment,QBTS,not_applicable,A2_minus_A1_brier,brier,pooled,all,0.00122939627995,0.00193051699611,True,True
increment,QBTS,not_applicable,A2_minus_A1_log_loss,loss,pooled,all,0.00483774443215,0.00479420719805,True,True
increment,QBTS,not_applicable,A3_minus_A2_brier,brier,pooled,all,-0.00189282693197,-0.0031189757517,True,True
increment,QBTS,not_applicable,A3_minus_A2_log_loss,loss,pooled,all,-0.00625273543842,-0.00887618742167,True,True
increment,QBTS,not_applicable,D2_minus_D1_brier,brier,pooled,all,-0.0173504287875,-0.0136680407208,True,True
increment,QBTS,not_applicable,D2_minus_D1_log_loss,loss,pooled,all,-0.0423065570939,-0.0351646864795,True,True
increment,QBTS,not_applicable,D3_minus_D2_brier,brier,pooled,all,-0.00959845070952,-0.012007991678,True,True
increment,QBTS,not_applicable,D3_minus_D2_log_loss,loss,pooled,all,-0.0252881545591,-0.0315602887508,True,True
model_metric,QBTS,A0,not_applicable,auc,pooled,all,,0.653848281968,True,True
model_metric,QBTS,A1,not_applicable,auc,pooled,all,,0.660734882889,True,True
model_metric,QBTS,A2,not_applicable,auc,pooled,all,,0.66869618513,True,True
model_metric,QBTS,A3,not_applicable,auc,pooled,all,,0.66248632682,True,True
model_metric,QBTS,D0,not_applicable,auc,pooled,all,,0.417777568421,True,True
model_metric,QBTS,D1,not_applicable,auc,pooled,all,,0.501236516086,True,True
model_metric,QBTS,D2,not_applicable,auc,pooled,all,,0.506971595459,True,True
model_metric,QBTS,D3,not_applicable,auc,pooled,all,,0.496926374299,True,True
model_metric,QBTS,A0,not_applicable,brier_score,pooled,all,,0.234946700533,True,True
model_metric,QBTS,A1,not_applicable,brier_score,pooled,all,,0.233837599541,True,True
model_metric,QBTS,A2,not_applicable,brier_score,pooled,all,,0.231907082545,True,True
model_metric,QBTS,A3,not_applicable,brier_score,pooled,all,,0.235026058296,True,True
model_metric,QBTS,D0,not_applicable,brier_score,pooled,all,,0.254491338567,True,True
model_metric,QBTS,D1,not_applicable,brier_score,pooled,all,,0.256724919232,True,True
model_metric,QBTS,D2,not_applicable,brier_score,pooled,all,,0.270392959952,True,True
model_metric,QBTS,D3,not_applicable,brier_score,pooled,all,,0.28240095163,True,True
model_metric,QBTS,A0,not_applicable,log_loss,pooled,all,,0.664201429011,True,True
model_metric,QBTS,A1,not_applicable,log_loss,pooled,all,,0.662628298942,True,True
model_metric,QBTS,A2,not_applicable,log_loss,pooled,all,,0.657834091744,True,True
model_metric,QBTS,A3,not_applicable,log_loss,pooled,all,,0.666710279166,True,True
model_metric,QBTS,D0,not_applicable,log_loss,pooled,all,,0.70215475568,True,True
model_metric,QBTS,D1,not_applicable,log_loss,pooled,all,,0.707187704495,True,True
model_metric,QBTS,D2,not_applicable,log_loss,pooled,all,,0.742352390975,True,True
model_metric,QBTS,D3,not_applicable,log_loss,pooled,all,,0.773912679725,True,True
stress_summary,QBTS,not_applicable,all_principal_increments,stress_passes,pooled,all,,0,True,False
