record_type,draw,metric,value,lower_90,upper_90,lower_95,upper_95
draw,0,A2_minus_A1_brier_improvement,0.000779073114301,,,,
draw,1,A2_minus_A1_brier_improvement,0.00174087536086,,,,
draw,2,A2_minus_A1_brier_improvement,0.00145913667402,,,,
draw,3,A2_minus_A1_brier_improvement,0.00144317111847,,,,
draw,4,A2_minus_A1_brier_improvement,-0.000539882527043,,,,
draw,5,A2_minus_A1_brier_improvement,-0.00149382134309,,,,
draw,6,A2_minus_A1_brier_improvement,0.000139925082235,,,,
draw,7,A2_minus_A1_brier_improvement,-0.000878782667695,,,,
draw,8,A2_minus_A1_brier_improvement,0.000427059584744,,,,
draw,9,A2_minus_A1_brier_improvement,0.000666150694048,,,,
draw,10,A2_minus_A1_brier_improvement,0.00154132713025,,,,
draw,11,A2_minus_A1_brier_improvement,0.00254118716277,,,,
draw,12,A2_minus_A1_brier_improvement,0.00182343543987,,,,
draw,13,A2_minus_A1_brier_improvement,0.00140337748374,,,,
draw,14,A2_minus_A1_brier_improvement,-0.000499335263328,,,,
draw,15,A2_minus_A1_brier_improvement,-0.000573486862817,,,,
draw,16,A2_minus_A1_brier_improvement,-0.000704483468856,,,,
draw,17,A2_minus_A1_brier_improvement,0.0028242965436,,,,
draw,18,A2_minus_A1_brier_improvement,0.000250724899271,,,,
draw,19,A2_minus_A1_brier_improvement,0.0014684913411,,,,
draw,20,A2_minus_A1_brier_improvement,0.00134184582678,,,,
draw,21,A2_minus_A1_brier_improvement,0.00261749054371,,,,
draw,22,A2_minus_A1_brier_improvement,0.000791207946328,,,,
draw,23,A2_minus_A1_brier_improvement,0.00217790445889,,,,
draw,24,A2_minus_A1_brier_improvement,-0.00104963276362,,,,
draw,25,A2_minus_A1_brier_improvement,0.00353636750413,,,,
draw,26,A2_minus_A1_brier_improvement,0.000726026287287,,,,
draw,27,A2_minus_A1_brier_improvement,-2.04380535548e-05,,,,
draw,28,A2_minus_A1_brier_improvement,-5.26668550668e-05,,,,
draw,29,A2_minus_A1_brier_improvement,0.00237137798476,,,,
draw,30,A2_minus_A1_brier_improvement,-9.89704129349e-05,,,,
draw,31,A2_minus_A1_brier_improvement,-0.000630653414494,,,,
draw,32,A2_minus_A1_brier_improvement,0.000753912725411,,,,
draw,33,A2_minus_A1_brier_improvement,-0.000404888779911,,,,
draw,34,A2_minus_A1_brier_improvement,0.000845187590051,,,,
draw,35,A2_minus_A1_brier_improvement,0.000351970781582,,,,
draw,36,A2_minus_A1_brier_improvement,-0.000614985310729,,,,
draw,37,A2_minus_A1_brier_improvement,0.00361764077655,,,,
draw,38,A2_minus_A1_brier_improvement,0.000224305084016,,,,
draw,39,A2_minus_A1_brier_improvement,0.00334792724172,,,,
draw,40,A2_minus_A1_brier_improvement,0.0026326440147,,,,
draw,41,A2_minus_A1_brier_improvement,0.00172607907638,,,,
draw,42,A2_minus_A1_brier_improvement,0.00502516237752,,,,
draw,43,A2_minus_A1_brier_improvement,0.000400144370318,,,,
draw,44,A2_minus_A1_brier_improvement,0.000822241619378,,,,
draw,45,A2_minus_A1_brier_improvement,0.000333665834532,,,,
draw,46,A2_minus_A1_brier_improvement,0.00332776021385,,,,
draw,47,A2_minus_A1_brier_improvement,0.00380131221564,,,,
draw,48,A2_minus_A1_brier_improvement,-0.00144753454689,,,,
draw,49,A2_minus_A1_brier_improvement,0.00317327066074,,,,
draw,50,A2_minus_A1_brier_improvement,0.000836266234183,,,,
draw,51,A2_minus_A1_brier_improvement,0.00283850129566,,,,
draw,52,A2_minus_A1_brier_improvement,0.0029439099927,,,,
draw,53,A2_minus_A1_brier_improvement,-0.000868536984848,,,,
draw,54,A2_minus_A1_brier_improvement,0.00205477054333,,,,
draw,55,A2_minus_A1_brier_improvement,0.0018385635616,,,,
