admitted_slate_type,candidate,horizon,friction_bps,mean_signed_gross_return_bps,mean_signed_return_after_friction_bps,median_signed_return_after_friction_bps,positive_after_friction_rate,mean_signed_cohort_relative_return_bps,selected_rows,sessions,stocks,slates,slate_fraction
singleton,confirmed,primary_30m_close_t_plus_8,0,41.1226891668,41.1226891668,18.283367145,0.545454545455,27.7368674026,33,26,14,33,0.110367892977
singleton,highest_relative_momentum,primary_30m_close_t_plus_8,0,-26.652770542,-26.652770542,-64.1701964067,0.363636363636,-20.8151079702,33,26,14,33,0.110367892977
singleton,pressure,primary_30m_close_t_plus_8,0,35.4833420377,35.4833420377,18.283367145,0.545454545455,18.8841802169,33,26,14,33,0.110367892977
singleton,random_within_slate,primary_30m_close_t_plus_8,0,-41.7394902525,-41.7394902525,-21.8430052628,0.424242424242,-45.2410292867,33,26,14,33,0.110367892977
singleton,readiness,primary_30m_close_t_plus_8,0,37.1693135019,37.1693135019,21.4368651796,0.545454545455,41.9410503888,33,26,14,33,0.110367892977
singleton,strongest_reversal,primary_30m_close_t_plus_8,0,26.652770542,26.652770542,64.1701964067,0.636363636364,20.8151079702,33,26,14,33,0.110367892977
singleton,confirmed,primary_30m_close_t_plus_8,10,41.1226891668,31.1226891668,8.28336714504,0.545454545455,27.7368674026,33,26,14,33,0.110367892977
singleton,highest_relative_momentum,primary_30m_close_t_plus_8,10,-26.652770542,-36.652770542,-74.1701964067,0.363636363636,-20.8151079702,33,26,14,33,0.110367892977
singleton,pressure,primary_30m_close_t_plus_8,10,35.4833420377,25.4833420377,8.28336714504,0.545454545455,18.8841802169,33,26,14,33,0.110367892977
singleton,random_within_slate,primary_30m_close_t_plus_8,10,-41.7394902525,-51.7394902525,-31.8430052628,0.424242424242,-45.2410292867,33,26,14,33,0.110367892977
singleton,readiness,primary_30m_close_t_plus_8,10,37.1693135019,27.1693135019,11.4368651796,0.545454545455,41.9410503888,33,26,14,33,0.110367892977
singleton,strongest_reversal,primary_30m_close_t_plus_8,10,26.652770542,16.652770542,54.1701964067,0.636363636364,20.8151079702,33,26,14,33,0.110367892977
singleton,confirmed,primary_30m_close_t_plus_8,20,41.1226891668,21.1226891668,-1.71663285496,0.484848484848,27.7368674026,33,26,14,33,0.110367892977
singleton,highest_relative_momentum,primary_30m_close_t_plus_8,20,-26.652770542,-46.652770542,-84.1701964067,0.333333333333,-20.8151079702,33,26,14,33,0.110367892977
singleton,pressure,primary_30m_close_t_plus_8,20,35.4833420377,15.4833420377,-1.71663285496,0.484848484848,18.8841802169,33,26,14,33,0.110367892977
singleton,random_within_slate,primary_30m_close_t_plus_8,20,-41.7394902525,-61.7394902525,-41.8430052628,0.424242424242,-45.2410292867,33,26,14,33,0.110367892977
singleton,readiness,primary_30m_close_t_plus_8,20,37.1693135019,17.1693135019,1.43686517957,0.515151515152,41.9410503888,33,26,14,33,0.110367892977
singleton,strongest_reversal,primary_30m_close_t_plus_8,20,26.652770542,6.65277054202,44.1701964067,0.606060606061,20.8151079702,33,26,14,33,0.110367892977
