population,candidate,symbol,rows,share,maximum_allowed_share,passes
primary_high_movement_rows,not_applicable,AAL,7,0.00448717948718,0.1,True
primary_high_movement_rows,not_applicable,AAOI,118,0.075641025641,0.1,True
primary_high_movement_rows,not_applicable,APLD,120,0.0769230769231,0.1,True
primary_high_movement_rows,not_applicable,ASTS,79,0.050641025641,0.1,True
primary_high_movement_rows,not_applicable,CIFR,97,0.0621794871795,0.1,True
primary_high_movement_rows,not_applicable,HIMS,124,0.0794871794872,0.1,True
primary_high_movement_rows,not_applicable,IONQ,115,0.0737179487179,0.1,True
primary_high_movement_rows,not_applicable,IREN,73,0.0467948717949,0.1,True
primary_high_movement_rows,not_applicable,MARA,34,0.0217948717949,0.1,True
primary_high_movement_rows,not_applicable,MP,77,0.049358974359,0.1,True
primary_high_movement_rows,not_applicable,MRNA,33,0.0211538461538,0.1,True
primary_high_movement_rows,not_applicable,MSTR,28,0.0179487179487,0.1,True
primary_high_movement_rows,not_applicable,NVTS,105,0.0673076923077,0.1,True
primary_high_movement_rows,not_applicable,QBTS,171,0.109615384615,0.1,False
primary_high_movement_rows,not_applicable,RGTI,139,0.0891025641026,0.1,True
primary_high_movement_rows,not_applicable,RIOT,45,0.0288461538462,0.1,True
primary_high_movement_rows,not_applicable,RIVN,9,0.00576923076923,0.1,True
primary_high_movement_rows,not_applicable,SMCI,71,0.0455128205128,0.1,True
primary_high_movement_rows,not_applicable,SOFI,17,0.0108974358974,0.1,True
primary_high_movement_rows,not_applicable,WULF,98,0.0628205128205,0.1,True
