record_type,draw,metric,value,real_value,null_90th_percentile,real_percentile_under_null
draw,0,movement_M2_minus_M1_brier_improvement,-0.000786050715968,-0.000980693941384,,
draw,0,movement_M3_minus_M2_brier_improvement,-0.000894585277104,-0.000781293526861,,
draw,0,direction_M2_minus_M1_brier_improvement,-0.0063300058127,9.30998956193e-05,,
draw,0,direction_M3_minus_M2_brier_improvement,-0.00235652407062,-0.00236751462572,,
draw,1,movement_M2_minus_M1_brier_improvement,-0.000603158909217,-0.000980693941384,,
draw,1,movement_M3_minus_M2_brier_improvement,-0.00122791629067,-0.000781293526861,,
draw,1,direction_M2_minus_M1_brier_improvement,-0.00225130157274,9.30998956193e-05,,
draw,1,direction_M3_minus_M2_brier_improvement,-0.00442563834526,-0.00236751462572,,
draw,2,movement_M2_minus_M1_brier_improvement,-0.000674906887603,-0.000980693941384,,
draw,2,movement_M3_minus_M2_brier_improvement,-0.000740940645868,-0.000781293526861,,
draw,2,direction_M2_minus_M1_brier_improvement,-0.00260266331307,9.30998956193e-05,,
draw,2,direction_M3_minus_M2_brier_improvement,-0.00743014002814,-0.00236751462572,,
draw,3,movement_M2_minus_M1_brier_improvement,-0.00110210835693,-0.000980693941384,,
draw,3,movement_M3_minus_M2_brier_improvement,-0.00073067010883,-0.000781293526861,,
draw,3,direction_M2_minus_M1_brier_improvement,-0.00662066390672,9.30998956193e-05,,
draw,3,direction_M3_minus_M2_brier_improvement,-0.00582622047255,-0.00236751462572,,
draw,4,movement_M2_minus_M1_brier_improvement,-0.000509909633659,-0.000980693941384,,
draw,4,movement_M3_minus_M2_brier_improvement,-0.000133490836513,-0.000781293526861,,
draw,4,direction_M2_minus_M1_brier_improvement,-0.00578303768034,9.30998956193e-05,,
draw,4,direction_M3_minus_M2_brier_improvement,-0.0072084888069,-0.00236751462572,,
draw,5,movement_M2_minus_M1_brier_improvement,-0.0013311090627,-0.000980693941384,,
draw,5,movement_M3_minus_M2_brier_improvement,-0.000507861168564,-0.000781293526861,,
draw,5,direction_M2_minus_M1_brier_improvement,-0.00628618560438,9.30998956193e-05,,
draw,5,direction_M3_minus_M2_brier_improvement,-0.0019325323504,-0.00236751462572,,
draw,6,movement_M2_minus_M1_brier_improvement,-0.000420306307283,-0.000980693941384,,
draw,6,movement_M3_minus_M2_brier_improvement,1.1563737927e-05,-0.000781293526861,,
draw,6,direction_M2_minus_M1_brier_improvement,-0.00284858946764,9.30998956193e-05,,
draw,6,direction_M3_minus_M2_brier_improvement,-0.00328613731695,-0.00236751462572,,
draw,7,movement_M2_minus_M1_brier_improvement,-0.00147189276672,-0.000980693941384,,
draw,7,movement_M3_minus_M2_brier_improvement,-0.000289161321403,-0.000781293526861,,
draw,7,direction_M2_minus_M1_brier_improvement,-0.00574943007013,9.30998956193e-05,,
draw,7,direction_M3_minus_M2_brier_improvement,-0.00543298043748,-0.00236751462572,,
draw,8,movement_M2_minus_M1_brier_improvement,-0.000660056717479,-0.000980693941384,,
draw,8,movement_M3_minus_M2_brier_improvement,-0.000594943337541,-0.000781293526861,,
draw,8,direction_M2_minus_M1_brier_improvement,-0.00507132195616,9.30998956193e-05,,
draw,8,direction_M3_minus_M2_brier_improvement,-0.00609957995493,-0.00236751462572,,
draw,9,movement_M2_minus_M1_brier_improvement,-0.000157897544736,-0.000980693941384,,
draw,9,movement_M3_minus_M2_brier_improvement,-0.000141107674329,-0.000781293526861,,
draw,9,direction_M2_minus_M1_brier_improvement,-0.00604625677674,9.30998956193e-05,,
draw,9,direction_M3_minus_M2_brier_improvement,-0.00199320127877,-0.00236751462572,,
draw,10,movement_M2_minus_M1_brier_improvement,-0.000608236694956,-0.000980693941384,,
draw,10,movement_M3_minus_M2_brier_improvement,-0.00018165772338,-0.000781293526861,,
draw,10,direction_M2_minus_M1_brier_improvement,-0.00963664800637,9.30998956193e-05,,
draw,10,direction_M3_minus_M2_brier_improvement,-0.0115864888978,-0.00236751462572,,
draw,11,movement_M2_minus_M1_brier_improvement,-0.000591943070574,-0.000980693941384,,
draw,11,movement_M3_minus_M2_brier_improvement,-0.000731881175669,-0.000781293526861,,
draw,11,direction_M2_minus_M1_brier_improvement,-0.00177795403465,9.30998956193e-05,,
draw,11,direction_M3_minus_M2_brier_improvement,-0.00539326086345,-0.00236751462572,,
draw,12,movement_M2_minus_M1_brier_improvement,-0.00139145889325,-0.000980693941384,,
draw,12,movement_M3_minus_M2_brier_improvement,-1.47775779258e-06,-0.000781293526861,,
draw,12,direction_M2_minus_M1_brier_improvement,-0.00364637046449,9.30998956193e-05,,
draw,12,direction_M3_minus_M2_brier_improvement,-0.00425254794342,-0.00236751462572,,
draw,13,movement_M2_minus_M1_brier_improvement,-0.00179143994729,-0.000980693941384,,
draw,13,movement_M3_minus_M2_brier_improvement,-0.00117547132575,-0.000781293526861,,
draw,13,direction_M2_minus_M1_brier_improvement,-0.00745192655438,9.30998956193e-05,,
draw,13,direction_M3_minus_M2_brier_improvement,-0.00327007448567,-0.00236751462572,,
draw,14,movement_M2_minus_M1_brier_improvement,-0.000551650474724,-0.000980693941384,,
draw,14,movement_M3_minus_M2_brier_improvement,-6.71110589204e-06,-0.000781293526861,,
draw,14,direction_M2_minus_M1_brier_improvement,-0.00395616620517,9.30998956193e-05,,
draw,14,direction_M3_minus_M2_brier_improvement,-0.0062994605526,-0.00236751462572,,
draw,15,movement_M2_minus_M1_brier_improvement,-0.000480641768421,-0.000980693941384,,
draw,15,movement_M3_minus_M2_brier_improvement,-0.000532254433201,-0.000781293526861,,
draw,15,direction_M2_minus_M1_brier_improvement,-0.00587036246235,9.30998956193e-05,,
draw,15,direction_M3_minus_M2_brier_improvement,-0.00660510167037,-0.00236751462572,,
draw,16,movement_M2_minus_M1_brier_improvement,-0.000314276709741,-0.000980693941384,,
draw,16,movement_M3_minus_M2_brier_improvement,-0.000124964864928,-0.000781293526861,,
draw,16,direction_M2_minus_M1_brier_improvement,-0.00457587922767,9.30998956193e-05,,
draw,16,direction_M3_minus_M2_brier_improvement,-0.00469916302854,-0.00236751462572,,
draw,17,movement_M2_minus_M1_brier_improvement,-0.000942975761654,-0.000980693941384,,
draw,17,movement_M3_minus_M2_brier_improvement,-0.000440129075863,-0.000781293526861,,
draw,17,direction_M2_minus_M1_brier_improvement,-0.00301132285738,9.30998956193e-05,,
draw,17,direction_M3_minus_M2_brier_improvement,-0.00410261991503,-0.00236751462572,,
draw,18,movement_M2_minus_M1_brier_improvement,-0.000811332813075,-0.000980693941384,,
draw,18,movement_M3_minus_M2_brier_improvement,-3.18200132212e-05,-0.000781293526861,,
draw,18,direction_M2_minus_M1_brier_improvement,-0.00512743799383,9.30998956193e-05,,
draw,18,direction_M3_minus_M2_brier_improvement,-0.00554388962016,-0.00236751462572,,
draw,19,movement_M2_minus_M1_brier_improvement,-0.00102143189439,-0.000980693941384,,
draw,19,movement_M3_minus_M2_brier_improvement,-0.000459262709793,-0.000781293526861,,
draw,19,direction_M2_minus_M1_brier_improvement,-0.00150282518419,9.30998956193e-05,,
draw,19,direction_M3_minus_M2_brier_improvement,-0.0016848237338,-0.00236751462572,,
draw,20,movement_M2_minus_M1_brier_improvement,-0.000542593311927,-0.000980693941384,,
draw,20,movement_M3_minus_M2_brier_improvement,-0.000495652275896,-0.000781293526861,,
draw,20,direction_M2_minus_M1_brier_improvement,-0.00377139963171,9.30998956193e-05,,
draw,20,direction_M3_minus_M2_brier_improvement,-0.00486913661277,-0.00236751462572,,
draw,21,movement_M2_minus_M1_brier_improvement,-0.00115151547306,-0.000980693941384,,
draw,21,movement_M3_minus_M2_brier_improvement,-0.000316254440495,-0.000781293526861,,
draw,21,direction_M2_minus_M1_brier_improvement,-0.00564781984702,9.30998956193e-05,,
draw,21,direction_M3_minus_M2_brier_improvement,-0.0042941818718,-0.00236751462572,,
draw,22,movement_M2_minus_M1_brier_improvement,-0.000619987928285,-0.000980693941384,,
draw,22,movement_M3_minus_M2_brier_improvement,-0.00064023212983,-0.000781293526861,,
draw,22,direction_M2_minus_M1_brier_improvement,-0.00545614709227,9.30998956193e-05,,
draw,22,direction_M3_minus_M2_brier_improvement,-0.00482426237519,-0.00236751462572,,
draw,23,movement_M2_minus_M1_brier_improvement,-0.00103654773426,-0.000980693941384,,
draw,23,movement_M3_minus_M2_brier_improvement,-0.0006123269565,-0.000781293526861,,
draw,23,direction_M2_minus_M1_brier_improvement,-0.00640018872639,9.30998956193e-05,,
draw,23,direction_M3_minus_M2_brier_improvement,-0.00533869895544,-0.00236751462572,,
draw,24,movement_M2_minus_M1_brier_improvement,-0.000955633707817,-0.000980693941384,,
draw,24,movement_M3_minus_M2_brier_improvement,-0.000648976632181,-0.000781293526861,,
draw,24,direction_M2_minus_M1_brier_improvement,-0.00946720171755,9.30998956193e-05,,
draw,24,direction_M3_minus_M2_brier_improvement,-0.00338787559494,-0.00236751462572,,
draw,25,movement_M2_minus_M1_brier_improvement,-0.000353893326666,-0.000980693941384,,
draw,25,movement_M3_minus_M2_brier_improvement,-0.000417127591114,-0.000781293526861,,
draw,25,direction_M2_minus_M1_brier_improvement,-0.00465896317953,9.30998956193e-05,,
draw,25,direction_M3_minus_M2_brier_improvement,-0.00695334178166,-0.00236751462572,,
draw,26,movement_M2_minus_M1_brier_improvement,-0.000668478397312,-0.000980693941384,,
draw,26,movement_M3_minus_M2_brier_improvement,-0.000831229678514,-0.000781293526861,,
draw,26,direction_M2_minus_M1_brier_improvement,-0.00336482105108,9.30998956193e-05,,
draw,26,direction_M3_minus_M2_brier_improvement,-0.00186231428301,-0.00236751462572,,
draw,27,movement_M2_minus_M1_brier_improvement,-0.000569284157473,-0.000980693941384,,
draw,27,movement_M3_minus_M2_brier_improvement,-0.00067262274509,-0.000781293526861,,
draw,27,direction_M2_minus_M1_brier_improvement,-0.003437056883,9.30998956193e-05,,
draw,27,direction_M3_minus_M2_brier_improvement,0.000177536886636,-0.00236751462572,,
draw,28,movement_M2_minus_M1_brier_improvement,-0.000800966898511,-0.000980693941384,,
draw,28,movement_M3_minus_M2_brier_improvement,-0.000777987842743,-0.000781293526861,,
draw,28,direction_M2_minus_M1_brier_improvement,-0.00579677749968,9.30998956193e-05,,
draw,28,direction_M3_minus_M2_brier_improvement,-0.00689734554849,-0.00236751462572,,
draw,29,movement_M2_minus_M1_brier_improvement,-0.000716414756893,-0.000980693941384,,
draw,29,movement_M3_minus_M2_brier_improvement,-0.000187728131105,-0.000781293526861,,
draw,29,direction_M2_minus_M1_brier_improvement,-0.00436437241594,9.30998956193e-05,,
draw,29,direction_M3_minus_M2_brier_improvement,-0.000673816948589,-0.00236751462572,,
draw,30,movement_M2_minus_M1_brier_improvement,-0.000541522572622,-0.000980693941384,,
draw,30,movement_M3_minus_M2_brier_improvement,-0.000780578131891,-0.000781293526861,,
draw,30,direction_M2_minus_M1_brier_improvement,-0.00463068915265,9.30998956193e-05,,
draw,30,direction_M3_minus_M2_brier_improvement,-0.00284398125943,-0.00236751462572,,
draw,31,movement_M2_minus_M1_brier_improvement,-0.000439975488335,-0.000980693941384,,
draw,31,movement_M3_minus_M2_brier_improvement,-0.000819234163188,-0.000781293526861,,
draw,31,direction_M2_minus_M1_brier_improvement,-0.00613676515798,9.30998956193e-05,,
draw,31,direction_M3_minus_M2_brier_improvement,-0.00764036941111,-0.00236751462572,,
draw,32,movement_M2_minus_M1_brier_improvement,-0.00046431343808,-0.000980693941384,,
draw,32,movement_M3_minus_M2_brier_improvement,-0.000964287692113,-0.000781293526861,,
draw,32,direction_M2_minus_M1_brier_improvement,-0.00511310726264,9.30998956193e-05,,
draw,32,direction_M3_minus_M2_brier_improvement,-0.00455555325793,-0.00236751462572,,
draw,33,movement_M2_minus_M1_brier_improvement,-0.00016576597873,-0.000980693941384,,
draw,33,movement_M3_minus_M2_brier_improvement,3.61319806398e-05,-0.000781293526861,,
draw,33,direction_M2_minus_M1_brier_improvement,-0.00692637804609,9.30998956193e-05,,
draw,33,direction_M3_minus_M2_brier_improvement,-0.00184168663758,-0.00236751462572,,
draw,34,movement_M2_minus_M1_brier_improvement,-0.000864996205031,-0.000980693941384,,
draw,34,movement_M3_minus_M2_brier_improvement,-0.000346287306907,-0.000781293526861,,
draw,34,direction_M2_minus_M1_brier_improvement,-0.00465663067514,9.30998956193e-05,,
draw,34,direction_M3_minus_M2_brier_improvement,-0.00478208492356,-0.00236751462572,,
draw,35,movement_M2_minus_M1_brier_improvement,-8.83871756846e-06,-0.000980693941384,,
draw,35,movement_M3_minus_M2_brier_improvement,-0.000390351014644,-0.000781293526861,,
draw,35,direction_M2_minus_M1_brier_improvement,-0.00537853813606,9.30998956193e-05,,
draw,35,direction_M3_minus_M2_brier_improvement,-0.0100749935725,-0.00236751462572,,
draw,36,movement_M2_minus_M1_brier_improvement,-0.000792282986119,-0.000980693941384,,
draw,36,movement_M3_minus_M2_brier_improvement,-0.0004084729986,-0.000781293526861,,
draw,36,direction_M2_minus_M1_brier_improvement,-0.00409074844962,9.30998956193e-05,,
draw,36,direction_M3_minus_M2_brier_improvement,-0.00343238404985,-0.00236751462572,,
draw,37,movement_M2_minus_M1_brier_improvement,-0.000602005876437,-0.000980693941384,,
draw,37,movement_M3_minus_M2_brier_improvement,-0.000447058356823,-0.000781293526861,,
draw,37,direction_M2_minus_M1_brier_improvement,-0.00367527373076,9.30998956193e-05,,
draw,37,direction_M3_minus_M2_brier_improvement,-0.00617368761275,-0.00236751462572,,
draw,38,movement_M2_minus_M1_brier_improvement,-0.000537230426786,-0.000980693941384,,
draw,38,movement_M3_minus_M2_brier_improvement,-0.00101603372274,-0.000781293526861,,
draw,38,direction_M2_minus_M1_brier_improvement,-0.00564163658554,9.30998956193e-05,,
draw,38,direction_M3_minus_M2_brier_improvement,-0.00262919843621,-0.00236751462572,,
draw,39,movement_M2_minus_M1_brier_improvement,-0.000798715161982,-0.000980693941384,,
draw,39,movement_M3_minus_M2_brier_improvement,-0.000600617168014,-0.000781293526861,,
draw,39,direction_M2_minus_M1_brier_improvement,-0.00352728676453,9.30998956193e-05,,
draw,39,direction_M3_minus_M2_brier_improvement,-0.0032982313042,-0.00236751462572,,
draw,40,movement_M2_minus_M1_brier_improvement,-0.00134981745787,-0.000980693941384,,
draw,40,movement_M3_minus_M2_brier_improvement,-0.000619027891152,-0.000781293526861,,
draw,40,direction_M2_minus_M1_brier_improvement,-0.00554884018462,9.30998956193e-05,,
draw,40,direction_M3_minus_M2_brier_improvement,-0.00612601308034,-0.00236751462572,,
draw,41,movement_M2_minus_M1_brier_improvement,-0.0012666937676,-0.000980693941384,,
draw,41,movement_M3_minus_M2_brier_improvement,-0.000410231116736,-0.000781293526861,,
draw,41,direction_M2_minus_M1_brier_improvement,-0.000387565501785,9.30998956193e-05,,
draw,41,direction_M3_minus_M2_brier_improvement,-0.00305791374381,-0.00236751462572,,
draw,42,movement_M2_minus_M1_brier_improvement,-0.000361061839131,-0.000980693941384,,
draw,42,movement_M3_minus_M2_brier_improvement,-0.000295046291891,-0.000781293526861,,
draw,42,direction_M2_minus_M1_brier_improvement,-0.00572426513394,9.30998956193e-05,,
draw,42,direction_M3_minus_M2_brier_improvement,-0.00534394100016,-0.00236751462572,,
draw,43,movement_M2_minus_M1_brier_improvement,-0.000424903013137,-0.000980693941384,,
draw,43,movement_M3_minus_M2_brier_improvement,-0.000153949920939,-0.000781293526861,,
draw,43,direction_M2_minus_M1_brier_improvement,-0.00391870458089,9.30998956193e-05,,
draw,43,direction_M3_minus_M2_brier_improvement,-0.00416589668476,-0.00236751462572,,
draw,44,movement_M2_minus_M1_brier_improvement,-0.00062063342644,-0.000980693941384,,
draw,44,movement_M3_minus_M2_brier_improvement,-0.000742170790646,-0.000781293526861,,
draw,44,direction_M2_minus_M1_brier_improvement,-0.00499205186646,9.30998956193e-05,,
draw,44,direction_M3_minus_M2_brier_improvement,-0.00159195961513,-0.00236751462572,,
draw,45,movement_M2_minus_M1_brier_improvement,-0.000440896434302,-0.000980693941384,,
draw,45,movement_M3_minus_M2_brier_improvement,-0.000807757125117,-0.000781293526861,,
draw,45,direction_M2_minus_M1_brier_improvement,-0.00292403464532,9.30998956193e-05,,
draw,45,direction_M3_minus_M2_brier_improvement,-0.00347017436564,-0.00236751462572,,
draw,46,movement_M2_minus_M1_brier_improvement,-0.000709515945665,-0.000980693941384,,
draw,46,movement_M3_minus_M2_brier_improvement,-0.000407394404876,-0.000781293526861,,
draw,46,direction_M2_minus_M1_brier_improvement,-0.00289308415199,9.30998956193e-05,,
draw,46,direction_M3_minus_M2_brier_improvement,-0.00253914204343,-0.00236751462572,,
draw,47,movement_M2_minus_M1_brier_improvement,-0.000939444807758,-0.000980693941384,,
draw,47,movement_M3_minus_M2_brier_improvement,-0.000195144101534,-0.000781293526861,,
draw,47,direction_M2_minus_M1_brier_improvement,-0.00402010572769,9.30998956193e-05,,
draw,47,direction_M3_minus_M2_brier_improvement,-0.00415288658343,-0.00236751462572,,
draw,48,movement_M2_minus_M1_brier_improvement,-0.000789456557582,-0.000980693941384,,
draw,48,movement_M3_minus_M2_brier_improvement,-0.000552273430011,-0.000781293526861,,
draw,48,direction_M2_minus_M1_brier_improvement,0.00033987250703,9.30998956193e-05,,
draw,48,direction_M3_minus_M2_brier_improvement,-0.00418141185925,-0.00236751462572,,
draw,49,movement_M2_minus_M1_brier_improvement,-0.00158365946983,-0.000980693941384,,
draw,49,movement_M3_minus_M2_brier_improvement,-0.00116140338903,-0.000781293526861,,
draw,49,direction_M2_minus_M1_brier_improvement,-0.00285099826003,9.30998956193e-05,,
draw,49,direction_M3_minus_M2_brier_improvement,-0.00385335486752,-0.00236751462572,,
draw,50,movement_M2_minus_M1_brier_improvement,-0.000139484376725,-0.000980693941384,,
draw,50,movement_M3_minus_M2_brier_improvement,-0.000523425644901,-0.000781293526861,,
draw,50,direction_M2_minus_M1_brier_improvement,-0.00442581334441,9.30998956193e-05,,
draw,50,direction_M3_minus_M2_brier_improvement,-0.00430900848804,-0.00236751462572,,
draw,51,movement_M2_minus_M1_brier_improvement,-0.000766933694408,-0.000980693941384,,
draw,51,movement_M3_minus_M2_brier_improvement,-0.000252572523896,-0.000781293526861,,
draw,51,direction_M2_minus_M1_brier_improvement,-0.00407582229379,9.30998956193e-05,,
draw,51,direction_M3_minus_M2_brier_improvement,-0.00650191450172,-0.00236751462572,,
draw,52,movement_M2_minus_M1_brier_improvement,-0.000823237658636,-0.000980693941384,,
draw,52,movement_M3_minus_M2_brier_improvement,-0.000636007458213,-0.000781293526861,,
draw,52,direction_M2_minus_M1_brier_improvement,-0.00687309077787,9.30998956193e-05,,
draw,52,direction_M3_minus_M2_brier_improvement,-0.00537811288014,-0.00236751462572,,
draw,53,movement_M2_minus_M1_brier_improvement,-0.000801326444027,-0.000980693941384,,
draw,53,movement_M3_minus_M2_brier_improvement,-0.000108981315002,-0.000781293526861,,
draw,53,direction_M2_minus_M1_brier_improvement,-0.0089370424931,9.30998956193e-05,,
draw,53,direction_M3_minus_M2_brier_improvement,-0.003984601222,-0.00236751462572,,
draw,54,movement_M2_minus_M1_brier_improvement,-7.42838780924e-05,-0.000980693941384,,
draw,54,movement_M3_minus_M2_brier_improvement,-0.00075405255997,-0.000781293526861,,
draw,54,direction_M2_minus_M1_brier_improvement,-0.00193181490557,9.30998956193e-05,,
draw,54,direction_M3_minus_M2_brier_improvement,-0.00258807084112,-0.00236751462572,,
draw,55,movement_M2_minus_M1_brier_improvement,-0.000357225554854,-0.000980693941384,,
draw,55,movement_M3_minus_M2_brier_improvement,-2.21238100745e-05,-0.000781293526861,,
draw,55,direction_M2_minus_M1_brier_improvement,-0.00489850952742,9.30998956193e-05,,
draw,55,direction_M3_minus_M2_brier_improvement,-0.000473379561509,-0.00236751462572,,
draw,56,movement_M2_minus_M1_brier_improvement,-0.000408846206985,-0.000980693941384,,
draw,56,movement_M3_minus_M2_brier_improvement,-0.00137640458555,-0.000781293526861,,
draw,56,direction_M2_minus_M1_brier_improvement,-0.00641741199054,9.30998956193e-05,,
draw,56,direction_M3_minus_M2_brier_improvement,-0.00235118259885,-0.00236751462572,,
draw,57,movement_M2_minus_M1_brier_improvement,-0.000758757853756,-0.000980693941384,,
draw,57,movement_M3_minus_M2_brier_improvement,-0.00116464150403,-0.000781293526861,,
draw,57,direction_M2_minus_M1_brier_improvement,-0.00805508627761,9.30998956193e-05,,
draw,57,direction_M3_minus_M2_brier_improvement,-0.00144523839543,-0.00236751462572,,
draw,58,movement_M2_minus_M1_brier_improvement,-0.000604083479707,-0.000980693941384,,
draw,58,movement_M3_minus_M2_brier_improvement,-0.000306768003555,-0.000781293526861,,
