dimension,value,row_count,share,gate,passes
stock_row_share,AAL,314,0.0499363867684,0.1,True
stock_row_share,AAOI,316,0.0502544529262,0.1,True
stock_row_share,APLD,314,0.0499363867684,0.1,True
stock_row_share,ASTS,314,0.0499363867684,0.1,True
stock_row_share,CIFR,314,0.0499363867684,0.1,True
stock_row_share,HIMS,316,0.0502544529262,0.1,True
stock_row_share,IONQ,312,0.0496183206107,0.1,True
stock_row_share,IREN,314,0.0499363867684,0.1,True
stock_row_share,MARA,316,0.0502544529262,0.1,True
stock_row_share,MP,316,0.0502544529262,0.1,True
stock_row_share,MRNA,316,0.0502544529262,0.1,True
stock_row_share,MSTR,316,0.0502544529262,0.1,True
stock_row_share,NVTS,312,0.0496183206107,0.1,True
stock_row_share,QBTS,314,0.0499363867684,0.1,True
stock_row_share,RGTI,316,0.0502544529262,0.1,True
stock_row_share,RIOT,312,0.0496183206107,0.1,True
stock_row_share,RIVN,314,0.0499363867684,0.1,True
stock_row_share,SMCI,316,0.0502544529262,0.1,True
stock_row_share,SOFI,314,0.0499363867684,0.1,True
stock_row_share,WULF,312,0.0496183206107,0.1,True
current_state_row_share,0,61,0.0097010178117,0.4,True
current_state_row_share,1,260,0.0413486005089,0.4,True
current_state_row_share,2,387,0.0615458015267,0.4,True
current_state_row_share,3,350,0.0556615776081,0.4,True
current_state_row_share,4,433,0.0688613231552,0.4,True
current_state_row_share,5,2331,0.37070610687,0.4,True
current_state_row_share,6,1813,0.28832697201,0.4,True
current_state_row_share,7,653,0.103848600509,0.4,True
opening_short_closure_support,all,1238,0.196882951654,100,True
primary_support,all,6288,1,,True
