symbol,con_id,original_opening_bars,recheck_complete,recheck_opening_bars,available_minutes_utc,checked_at_utc,broker_error
000670,29317607,,False,3,2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:01:57.093770+00:00,
000950,18380122,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:10.844141+00:00,
0010F0,870490679,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:02.399670+00:00,
0011A0,856650405,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:01.880240+00:00,
001210,17382291,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:10.191175+00:00,
001230,17382294,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:01:59.317798+00:00,
0015N0,852103814,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:01.448089+00:00,
002880,839403514,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:11.522017+00:00,
002990,17382389,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:09.592084+00:00,
003200,29317598,,False,3,2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:14.895762+00:00,
003280,839404608,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:14.939650+00:00,
003350,839404294,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:09.611490+00:00,
003490,17382432,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:15.138974+00:00,
003620,17382449,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:13.451469+00:00,
005160,852101290,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:01:55.953264+00:00,
005930,17382528,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:13.691064+00:00,
005935,36834736,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:15.618475+00:00,
007540,839405062,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:01.184902+00:00,
009190,839405079,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:08.873293+00:00,
010170,348719557,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:14.173543+00:00,
010580,839403441,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:01:59.335762+00:00,
011390,839404555,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:12.268489+00:00,
011790,17382739,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:16.341762+00:00,
012320,839404570,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:03.439259+00:00,
014950,852100915,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:02.654245+00:00,
014990,52335129,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:08.411445+00:00,
015590,52335132,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:03.591974+00:00,
0155E0,897059965,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:12.043185+00:00,
