at_utc,market,scan_code,stock_type_filter,row_count,precision_warnings,api_events
2026-09-14T11:14:53.337217+00:00,LSE,HOT_BY_VOLUME,CORP,50,[],[]
2026-09-14T11:14:54.261613+00:00,LSE,HOT_BY_VOLUME,,50,[],"[{""request_id"": 1, ""code"": 162, ""message"": ""Historical Market Data Service error message:API scanner subscription cancelled: 1"", ""con_id"": null, ""symbol"": null, ""exchange"": null}]"
2026-09-14T11:14:56.666848+00:00,LSE,TOP_OPEN_PERC_GAIN,CORP,50,[],"[{""request_id"": 2, ""code"": 162, ""message"": ""Historical Market Data Service error message:API scanner subscription cancelled: 2"", ""con_id"": null, ""symbol"": null, ""exchange"": null}]"
2026-09-14T11:14:57.153828+00:00,LSE,TOP_OPEN_PERC_GAIN,,50,[],"[{""request_id"": 3, ""code"": 162, ""message"": ""Historical Market Data Service error message:API scanner subscription cancelled: 3"", ""con_id"": null, ""symbol"": null, ""exchange"": null}, {""request_id"": -1, ""code"": 2106, ""message"": ""HMDS data farm connection is OK:ushmds"", ""con_id"": null, ""symbol"": null, ""exchange"": null}]"
2026-09-14T11:14:58.202941+00:00,LSE,TOP_OPEN_PERC_LOSE,CORP,50,[],"[{""request_id"": 4, ""code"": 162, ""message"": ""Historical Market Data Service error message:API scanner subscription cancelled: 4"", ""con_id"": null, ""symbol"": null, ""exchange"": null}]"
2026-09-14T11:14:58.846768+00:00,LSE,TOP_OPEN_PERC_LOSE,,50,[],"[{""request_id"": 5, ""code"": 162, ""message"": ""Historical Market Data Service error message:API scanner subscription cancelled: 5"", ""con_id"": null, ""symbol"": null, ""exchange"": null}]"
2026-09-14T11:14:59.763734+00:00,LSE,TOP_TRADE_RATE,CORP,50,[],"[{""request_id"": 6, ""code"": 162, ""message"": ""Historical Market Data Service error message:API scanner subscription cancelled: 6"", ""con_id"": null, ""symbol"": null, ""exchange"": null}]"
2026-09-14T11:15:00.298424+00:00,LSE,TOP_TRADE_RATE,,50,[],"[{""request_id"": 7, ""code"": 162, ""message"": ""Historical Market Data Service error message:API scanner subscription cancelled: 7"", ""con_id"": null, ""symbol"": null, ""exchange"": null}]"
2026-09-14T11:15:01.044649+00:00,LSE,TOP_VOLUME_RATE,CORP,50,[],"[{""request_id"": 8, ""code"": 162, ""message"": ""Historical Market Data Service error message:API scanner subscription cancelled: 8"", ""con_id"": null, ""symbol"": null, ""exchange"": null}]"
2026-09-14T11:15:02.441004+00:00,LSE,TOP_VOLUME_RATE,,50,[],"[{""request_id"": 9, ""code"": 162, ""message"": ""Historical Market Data Service error message:API scanner subscription cancelled: 9"", ""con_id"": null, ""symbol"": null, ""exchange"": null}]"
