symbol,period,required_rows,valid_pair_rows,coverage,status
AAL,development,1611,0,0.0,blocked_missing_eodhd_api_token
AAL,assessment,1342,0,0.0,blocked_missing_eodhd_api_token
AAOI,development,2754,0,0.0,blocked_missing_eodhd_api_token
AAOI,assessment,1841,0,0.0,blocked_missing_eodhd_api_token
APLD,development,2705,0,0.0,blocked_missing_eodhd_api_token
APLD,assessment,1580,0,0.0,blocked_missing_eodhd_api_token
ASTS,development,2882,0,0.0,blocked_missing_eodhd_api_token
ASTS,assessment,1860,0,0.0,blocked_missing_eodhd_api_token
CIFR,development,3070,0,0.0,blocked_missing_eodhd_api_token
CIFR,assessment,1617,0,0.0,blocked_missing_eodhd_api_token
HIMS,development,2519,0,0.0,blocked_missing_eodhd_api_token
HIMS,assessment,1707,0,0.0,blocked_missing_eodhd_api_token
IONQ,development,2532,0,0.0,blocked_missing_eodhd_api_token
IONQ,assessment,1830,0,0.0,blocked_missing_eodhd_api_token
IREN,development,2818,0,0.0,blocked_missing_eodhd_api_token
IREN,assessment,1910,0,0.0,blocked_missing_eodhd_api_token
MARA,development,3158,0,0.0,blocked_missing_eodhd_api_token
MARA,assessment,1909,0,0.0,blocked_missing_eodhd_api_token
MP,development,2141,0,0.0,blocked_missing_eodhd_api_token
MP,assessment,1595,0,0.0,blocked_missing_eodhd_api_token
MRNA,development,2210,0,0.0,blocked_missing_eodhd_api_token
MRNA,assessment,1554,0,0.0,blocked_missing_eodhd_api_token
MSTR,development,2708,0,0.0,blocked_missing_eodhd_api_token
MSTR,assessment,1512,0,0.0,blocked_missing_eodhd_api_token
NVTS,development,2563,0,0.0,blocked_missing_eodhd_api_token
NVTS,assessment,1817,0,0.0,blocked_missing_eodhd_api_token
QBTS,development,2821,0,0.0,blocked_missing_eodhd_api_token
QBTS,assessment,1826,0,0.0,blocked_missing_eodhd_api_token
RGTI,development,2856,0,0.0,blocked_missing_eodhd_api_token
RGTI,assessment,1898,0,0.0,blocked_missing_eodhd_api_token
RIOT,development,2933,0,0.0,blocked_missing_eodhd_api_token
RIOT,assessment,1853,0,0.0,blocked_missing_eodhd_api_token
RIVN,development,2561,0,0.0,blocked_missing_eodhd_api_token
RIVN,assessment,1643,0,0.0,blocked_missing_eodhd_api_token
SMCI,development,2704,0,0.0,blocked_missing_eodhd_api_token
SMCI,assessment,1816,0,0.0,blocked_missing_eodhd_api_token
SOFI,development,2166,0,0.0,blocked_missing_eodhd_api_token
SOFI,assessment,1726,0,0.0,blocked_missing_eodhd_api_token
WULF,development,3154,0,0.0,blocked_missing_eodhd_api_token
WULF,assessment,1741,0,0.0,blocked_missing_eodhd_api_token
