statistic,confidence,point_estimate,lower,upper,draws,fixed_prediction,whole_session_resampling,shared_session_draws,coarse_quick_screen_diagnostic
G1_minus_G0_log_loss_improvement,0.8,-0.0017231295429708249,-0.0019432397831230853,-0.0006638676213294947,10,True,True,True,True
G1_minus_G0_log_loss_improvement,0.9,-0.0017231295429708249,-0.002178397716709984,-0.0006527869853285962,10,True,True,True,True
G1_minus_G0_log_loss_improvement,0.95,-0.0017231295429708249,-0.002295976683503434,-0.0006472466673281468,10,True,True,True,True
G1_minus_G0_brier_improvement,0.8,-0.0007416084033993742,-0.0008118217783081084,-0.00032245476772712613,10,True,True,True,True
G1_minus_G0_brier_improvement,0.9,-0.0007416084033993742,-0.0008990932311037953,-0.00029889438543697917,10,True,True,True,True
G1_minus_G0_brier_improvement,0.95,-0.0007416084033993742,-0.0009427289575016386,-0.0002871141942919056,10,True,True,True,True
G1_minus_G0_auc_improvement,0.8,-0.006711907764606506,-0.00808515868254559,-0.0007224485193453762,10,True,True,True,True
G1_minus_G0_auc_improvement,0.9,-0.006711907764606506,-0.008666811382138723,-2.9242616459392284e-05,10,True,True,True,True
G1_minus_G0_auc_improvement,0.95,-0.006711907764606506,-0.00895763773193529,0.00031736033498360236,10,True,True,True,True
G1_minus_G0_average_precision_improvement,0.8,-0.002553858276892862,-0.006832930926262487,0.002264367013950463,10,True,True,True,True
G1_minus_G0_average_precision_improvement,0.9,-0.002553858276892862,-0.007324800899109344,0.002806159995298245,10,True,True,True,True
G1_minus_G0_average_precision_improvement,0.95,-0.002553858276892862,-0.0075707358855327716,0.0030770564859721383,10,True,True,True,True
G1_minus_G0_top_decile_precision_improvement,0.8,-0.010121869125442329,-0.022159797357187195,0.0005602239117097489,10,True,True,True,True
G1_minus_G0_top_decile_precision_improvement,0.9,-0.010121869125442329,-0.02250714943960149,0.0028749923564929977,10,True,True,True,True
G1_minus_G0_top_decile_precision_improvement,0.95,-0.010121869125442329,-0.02268082548080864,0.004032376578884631,10,True,True,True,True
G2_minus_G1_log_loss_improvement,0.8,0.014958998220991337,0.011838258775655874,0.016432753316523264,10,True,True,True,True
G2_minus_G1_log_loss_improvement,0.9,0.014958998220991337,0.010971570360910487,0.016660143768917217,10,True,True,True,True
G2_minus_G1_log_loss_improvement,0.95,0.014958998220991337,0.010538226153537795,0.016773838995114195,10,True,True,True,True
G2_minus_G1_brier_improvement,0.8,0.006398105389909259,0.0050630486839778775,0.007004096046470917,10,True,True,True,True
G2_minus_G1_brier_improvement,0.9,0.006398105389909259,0.004644414666005689,0.007085963174091168,10,True,True,True,True
G2_minus_G1_brier_improvement,0.95,0.006398105389909259,0.004435097657019595,0.0071268967379012945,10,True,True,True,True
G2_minus_G1_auc_improvement,0.8,0.053710668356286906,0.041450458152972235,0.05566125422994326,10,True,True,True,True
G2_minus_G1_auc_improvement,0.9,0.053710668356286906,0.04043782484144738,0.05645771799674763,10,True,True,True,True
G2_minus_G1_auc_improvement,0.95,0.053710668356286906,0.03993150818568495,0.056855949880149824,10,True,True,True,True
G2_minus_G1_average_precision_improvement,0.8,0.05579824966387781,0.04544085729793207,0.06094546997467556,10,True,True,True,True
G2_minus_G1_average_precision_improvement,0.9,0.05579824966387781,0.044017024220119855,0.06270057779670671,10,True,True,True,True
G2_minus_G1_average_precision_improvement,0.95,0.05579824966387781,0.04330510768121375,0.06357813170772231,10,True,True,True,True
G2_minus_G1_top_decile_precision_improvement,0.8,0.06347268479698148,0.033211379325597375,0.07303836648978648,10,True,True,True,True
G2_minus_G1_top_decile_precision_improvement,0.9,0.06347268479698148,0.030749461885709654,0.08474774817094026,10,True,True,True,True
G2_minus_G1_top_decile_precision_improvement,0.95,0.06347268479698148,0.029518503165765795,0.0906024390115172,10,True,True,True,True
G3_minus_G2_log_loss_improvement,0.8,0.0013890058082642875,0.0007801606426092399,0.0017218900129080449,10,True,True,True,True
G3_minus_G2_log_loss_improvement,0.9,0.0013890058082642875,0.0006719557540725951,0.0018667542759874419,10,True,True,True,True
G3_minus_G2_log_loss_improvement,0.95,0.0013890058082642875,0.0006178533098042728,0.001939186407527141,10,True,True,True,True
G3_minus_G2_brier_improvement,0.8,0.0004830165625318572,0.0002427743825213324,0.0006712959092807585,10,True,True,True,True
G3_minus_G2_brier_improvement,0.9,0.0004830165625318572,0.00016958927883912176,0.0007267207774794045,10,True,True,True,True
G3_minus_G2_brier_improvement,0.95,0.0004830165625318572,0.0001329967269980165,0.0007544332115787277,10,True,True,True,True
G3_minus_G2_auc_improvement,0.8,-0.0031792479903478554,-0.004178081920876375,-0.0017375495460836834,10,True,True,True,True
G3_minus_G2_auc_improvement,0.9,-0.0031792479903478554,-0.004212704161890762,-0.001504592255629406,10,True,True,True,True
G3_minus_G2_auc_improvement,0.95,-0.0031792479903478554,-0.004230015282397956,-0.0013881136104022666,10,True,True,True,True
G3_minus_G2_average_precision_improvement,0.8,-0.0034284882526482985,-0.00819823781610991,-0.0008806592145644842,10,True,True,True,True
G3_minus_G2_average_precision_improvement,0.9,-0.0034284882526482985,-0.008512185585218357,0.0005211134561671461,10,True,True,True,True
G3_minus_G2_average_precision_improvement,0.95,-0.0034284882526482985,-0.008669159469772581,0.0012219997915329666,10,True,True,True,True
G3_minus_G2_top_decile_precision_improvement,0.8,-0.015408292344028296,-0.023753329100674476,-0.0036326579493048535,10,True,True,True,True
G3_minus_G2_top_decile_precision_improvement,0.9,-0.015408292344028296,-0.027604046134981974,-0.0009453271949510351,10,True,True,True,True
G3_minus_G2_top_decile_precision_improvement,0.95,-0.015408292344028296,-0.02952940465213572,0.0003983381822258846,10,True,True,True,True
G4_minus_G3_log_loss_improvement,0.8,-0.00014218982227975907,-0.0002967178387733083,0.00013577696747141258,10,True,True,True,True
G4_minus_G3_log_loss_improvement,0.9,-0.00014218982227975907,-0.00031854020079187805,0.0002370770631614225,10,True,True,True,True
G4_minus_G3_log_loss_improvement,0.95,-0.00014218982227975907,-0.0003294513818011629,0.0002877271110064279,10,True,True,True,True
G4_minus_G3_brier_improvement,0.8,-6.570775298445075e-05,-0.0001238456035545954,6.977430639887314e-05,10,True,True,True,True
G4_minus_G3_brier_improvement,0.9,-6.570775298445075e-05,-0.00013486584620035213,9.757383369889121e-05,10,True,True,True,True
G4_minus_G3_brier_improvement,0.95,-6.570775298445075e-05,-0.0001403759675232305,0.00011147359734890036,10,True,True,True,True
G4_minus_G3_auc_improvement,0.8,-0.000606737529085799,-0.0010154342962337525,0.0003301926275819044,10,True,True,True,True
G4_minus_G3_auc_improvement,0.9,-0.000606737529085799,-0.0010893557521232723,0.00047221963397840424,10,True,True,True,True
G4_minus_G3_auc_improvement,0.95,-0.000606737529085799,-0.001126316480068032,0.0005432331371766548,10,True,True,True,True
G4_minus_G3_average_precision_improvement,0.8,-0.0004921338376412399,-0.0008284448666056045,0.0005335730170002827,10,True,True,True,True
