comparison,earlier_model,later_model,scope,group,rows,sessions,stocks,positive_outcomes,earlier_log_loss,later_log_loss,earlier_brier,later_brier,earlier_auc,later_auc,earlier_average_precision,later_average_precision,log_loss_improvement,brier_improvement,auc_improvement,average_precision_improvement,expected_calibration_error_improvement,top_decile_precision_improvement,top_quintile_precision_improvement,mean_realised_class_probability_improvement
G1-G0,G0,G1,checkpoint_group,early_6_14,3908,154,20,1479,0.6556694754612258,0.6587888145722737,0.2315505832033751,0.2329572647650134,0.5452036306084189,0.5317300451041765,0.42072824326234787,0.4170735863390615,-0.003119339111047892,-0.0014066815616383122,-0.01347358550424238,-0.00365465692328637,-0.011147207108713184,-0.011711358565044017,-0.003580223378704561,-0.0012286349181118705
G2-G1,G1,G2,checkpoint_group,early_6_14,3908,154,20,1479,0.6587888145722737,0.6413670832439513,0.2329572647650134,0.22496335425857508,0.5317300451041765,0.6185473867363351,0.4170735863390615,0.47481014805221794,0.017421731328322365,0.007993910506438329,0.0868173416321586,0.05773656171315644,-0.0023909729903745652,0.06525269208373152,0.06094236392202512,0.00905791430005043
G3-G2,G2,G3,checkpoint_group,early_6_14,3908,154,20,1479,0.6413670832439513,0.6407878719805084,0.22496335425857508,0.22478389685503447,0.6185473867363351,0.6159004577916056,0.47481014805221794,0.4713005648213875,0.000579211263442958,0.00017945740354061157,-0.0026469289447295097,-0.0035095832308304487,0.005613986294965748,-0.01891164858879074,-0.002718260017484375,0.0023204055990554417
G4-G3,G3,G4,checkpoint_group,early_6_14,3908,154,20,1479,0.6407878719805084,0.6408260173383664,0.22478389685503447,0.2248080437217637,0.6159004577916056,0.6154055262484521,0.4713005648213875,0.471546959866967,-3.814535785806594e-05,-2.414686672921884e-05,-0.0004949315431534984,0.000246395045579495,-0.003857100448384748,0.0023275775270950594,-0.004509418762584316,0.00020913378465647892
G1-G0,G0,G1,checkpoint_group,middle_16_24,3283,153,20,834,0.5700505700122248,0.570321202600551,0.19078462106311797,0.1908579920781165,0.5393529578916764,0.544802401958139,0.27762838475920076,0.2942145621115265,-0.00027063258832615844,-7.337101499851895e-05,0.005449444066462639,0.01658617735232576,-0.0020071192278188835,0.1006180072129027,-0.043005941592295205,-0.0003170956785035761
G2-G1,G1,G2,checkpoint_group,middle_16_24,3283,153,20,834,0.570321202600551,0.5555128306355713,0.1908579920781165,0.18465930503290695,0.544802401958139,0.6216804124688886,0.2942145621115265,0.3732912779752636,0.014808371964979639,0.006198687045209539,0.0768780105107496,0.0790767158637371,-0.007932358727873776,-0.00489052309431276,0.0945522485851128,0.007912738032343714
G3-G2,G2,G3,checkpoint_group,middle_16_24,3283,153,20,834,0.5555128306355713,0.5529487264147058,0.18465930503290695,0.18366896883825365,0.6216804124688886,0.6169217129175014,0.3732912779752636,0.3699790707435802,0.002564104220865504,0.0009903361946533018,-0.004758699551387191,-0.003312207231683406,0.010281067213329581,-0.006158568024021649,-0.02293374655869268,0.005195660178998307
G4-G3,G3,G4,checkpoint_group,middle_16_24,3283,153,20,834,0.5529487264147058,0.5531160450179357,0.18366896883825365,0.18376895458917608,0.6169217129175014,0.6163939660121867,0.3699790707435802,0.3683753507091048,-0.00016731860322982683,-9.998575092243223e-05,-0.0005277469053147632,-0.0016037200344753977,-0.00020787788422511888,-0.0049881094502916,0.005524229649179646,6.140033789137078e-05
G1-G0,G0,G1,checkpoint_group,late_26_34,3074,152,20,608,0.4992789173729696,0.5004305742122724,0.15915022642554405,0.15959443876857707,0.5364374340726891,0.5329642297744484,0.22498652958703558,0.22471488560017466,-0.0011516568393028503,-0.00044421234303301804,-0.0034732042982407174,-0.0002716439868609144,-0.0013889867901547212,,,-0.0007293860565907861
G2-G1,G1,G2,checkpoint_group,late_26_34,3074,152,20,608,0.5004305742122724,0.4890471735250371,0.15959443876857707,0.15540484323465528,0.5329642297744484,0.6016596486469523,0.22471488560017466,0.29292487555155755,0.011383400687235312,0.004189595533921786,0.06869541887250397,0.06820998995138289,-0.00357178335603775,,-0.31329713642571483,0.005843028181468091
G3-G2,G2,G3,checkpoint_group,late_26_34,3074,152,20,608,0.4890471735250371,0.4876809224932393,0.15540484323465528,0.1550015079682906,0.6016596486469523,0.5944003770127905,0.29292487555155755,0.2862469467829955,0.0013662510317978271,0.000403335266364685,-0.007259271634161846,-0.006677928768562047,0.009456478890512904,0.038391731888473,0.016391986339870268,0.005323211529599359
G4-G3,G3,G4,checkpoint_group,late_26_34,3074,152,20,608,0.4876809224932393,0.4879541918412714,0.1550015079682906,0.1550937654057672,0.5944003770127905,0.5911330937526861,0.2862469467829955,0.2855887286638356,-0.00027326934803212355,-9.225743747659498e-05,-0.003267283260104392,-0.0006582181191598924,0.00040988082167021933,-0.009285744954002806,-0.013454555098489418,0.00013415479349687676
G1-G0,G0,G1,prior_close_atm_iv,low,6665,144,20,1919,0.590433566569325,0.5920545912158333,0.2009305108849799,0.20162805460456623,0.605664805366305,0.6011427074123268,0.37475494719883284,0.37090418048826496,-0.0016210246465082623,-0.0006975437195863299,-0.004522097953978177,-0.0038507667105678878,-0.0028257530834893962,-0.011104783971866261,0.000978888333462935,-0.0012656660340980563
G2-G1,G1,G2,prior_close_atm_iv,low,6665,144,20,1919,0.5920545912158333,0.5761262751022365,0.20162805460456623,0.1946413498433162,0.6011427074123268,0.6548921649726209,0.37090418048826496,0.43353203288222636,0.015928316113596797,0.006986704761250018,0.053749457560294145,0.0626278523939614,-0.005357603967062981,0.08726419209983227,0.07719501523647454,0.01014446611162223
G3-G2,G2,G3,prior_close_atm_iv,low,6665,144,20,1919,0.5761262751022365,0.5752479968204609,0.1946413498433162,0.1943822368527307,0.6548921649726209,0.6502152958182796,0.43353203288222636,0.42699197223423346,0.0008782782817755574,0.0002591129905855083,-0.00467686915434129,-0.006540060647992896,0.007623222889779235,-0.02806956728715926,-0.005138700882082903,0.003721046035221609
G4-G3,G3,G4,prior_close_atm_iv,low,6665,144,20,1919,0.5752479968204609,0.5753942905179074,0.1943822368527307,0.1944452115582582,0.6502152958182796,0.6502703242975302,0.42699197223423346,0.4267502798172899,-0.00014629369744645349,-6.297470552749096e-05,5.502847925054066e-05,-0.00024169241694355081,-0.0017168639042432696,0.0062141040127708935,-0.002335871164927339,-0.00011994745234422677
G1-G0,G0,G1,prior_close_atm_iv,high,3600,124,18,1002,0.5788286691868495,0.5807551416133,0.19580858728927159,0.19663795093435474,0.622855802849682,0.6118629993530376,0.386220318200823,0.3854068730350372,-0.0019264724264504984,-0.0008293636450831532,-0.010992803496644443,-0.0008134451657857977,-0.000435107174149775,-0.006617423184428095,-0.020083634732359024,7.272089486909383e-05
G2-G1,G1,G2,prior_close_atm_iv,high,3600,124,18,1002,0.5807551416133,0.5677265492995609,0.19663795093435474,0.19141204685436575,0.6118629993530376,0.665067131565549,0.3854068730350372,0.42881339646185235,0.013028592313739096,0.005225904079988991,0.05320413221251141,0.04340652342681517,-0.02242583763469075,0.012898890628560034,0.029688662400264076,0.003190550278936999
