comparison,earlier_model,later_model,scope,group,rows,sessions,stocks,positive_outcomes,earlier_log_loss,later_log_loss,earlier_brier,later_brier,earlier_auc,later_auc,earlier_average_precision,later_average_precision,log_loss_improvement,brier_improvement,auc_improvement,average_precision_improvement,expected_calibration_error_improvement,top_decile_precision_improvement,top_quintile_precision_improvement,mean_realised_class_probability_improvement
G1-G0,G0,G1,route_state,BROAD_CONFLICT,2132,146,20,413,0.5112204942110304,0.5134272817451845,0.1640925653512577,0.16499803151444742,0.5849340461813782,0.5718621163711474,0.2516070904979575,0.25036125954615734,-0.002206787534154042,-0.0009054661631897054,-0.013071929810230865,-0.001245830951800142,-0.0009217945173786435,0.04609552937715977,-0.001821958207223917,-0.0010230327511271398
G2-G1,G1,G2,route_state,BROAD_CONFLICT,2132,146,20,413,0.5134272817451845,0.49940632037720334,0.16499803151444742,0.15944089156736374,0.5718621163711474,0.5807361070986994,0.25036125954615734,0.26397403151439536,0.014020961367981144,0.005557139947083678,0.008873990727552017,0.013612771968238013,0.027025795711403358,0.17148480946114608,0.06791971852203771,0.01760390169138404
G3-G2,G2,G3,route_state,BROAD_CONFLICT,2132,146,20,413,0.49940632037720334,0.5022603667682133,0.15944089156736374,0.16062090199647908,0.5807361070986994,0.5733916000501673,0.26397403151439536,0.259664518298784,-0.0028540463910099456,-0.0011800104291153357,-0.007344507048532067,-0.004309513215611349,-0.005134306132008604,-0.05626372832548865,0.045487894231723,-0.003219052332774419
G4-G3,G3,G4,route_state,BROAD_CONFLICT,2132,146,20,413,0.5022603667682133,0.5023688891771232,0.16062090199647908,0.16059297570802228,0.5733916000501673,0.5711145253828322,0.259664518298784,0.258309199970784,-0.00010852240890990572,2.7926288456797677e-05,-0.002277074667335066,-0.0013553183280000103,0.0013703685839234758,-0.05569696424050913,0.005170051249487162,0.000411573218804806
G1-G0,G0,G1,route_state,LOW_ROUTE_SUPPORT,2883,152,20,660,0.5367333416165448,0.5356333572217369,0.175873562098792,0.17541005135119006,0.5713272785116645,0.5812557218213839,0.26934228643574165,0.28736231846677895,0.0010999843948079624,0.0004635107476019529,0.009928443309719315,0.018020032031037303,-0.003206393571508051,0.04608122123778041,-0.00848817389530343,-0.00028098741113058434
G2-G1,G1,G2,route_state,LOW_ROUTE_SUPPORT,2883,152,20,660,0.5356333572217369,0.5089042465424998,0.17541005135119006,0.1639221014810211,0.5812557218213839,0.6424125988908329,0.28736231846677895,0.3840001836194483,0.02672911067923711,0.011487949870168962,0.061156877069449056,0.09663786515266937,0.00701178854887298,0.1704853653754071,0.19829017928240233,0.021980228961327564
G3-G2,G2,G3,route_state,LOW_ROUTE_SUPPORT,2883,152,20,660,0.5089042465424998,0.5011989031648282,0.1639221014810211,0.16095169849549348,0.6424125988908329,0.6417468869074614,0.3840001836194483,0.38463967418489814,0.007705343377671592,0.002970402985527615,-0.0006657119833715086,0.0006394905654498184,0.022411283740505827,0.010011099608117413,0.02634332621158131,0.01303480595535722
G4-G3,G3,G4,route_state,LOW_ROUTE_SUPPORT,2883,152,20,660,0.5011989031648282,0.5009815783536671,0.16095169849549348,0.1608858155355408,0.6417468869074614,0.6416204307477862,0.38463967418489814,0.3846953208236906,0.00021732481116110147,6.588295995269e-05,-0.0001264561596752145,5.564663879248366e-05,0.00019233098337000792,-0.0020259304441284653,0.0010488607665741778,0.0003213318033737922
G1-G0,G0,G1,route_state,OTHER,4999,154,20,1759,0.6411236540841826,0.6445237967653866,0.2246989761345639,0.226209273012586,0.5716796553667435,0.560600741945647,0.42248705586776514,0.4081269191230287,-0.0034001426812040325,-0.0015102968780220938,-0.011078913421096459,-0.014360136744736463,-0.007854513075279169,-0.023197667768167285,-0.005032880939830897,-0.0012118773733506005
G2-G1,G1,G2,route_state,OTHER,4999,154,20,1759,0.6445237967653866,0.6360559276847406,0.226209273012586,0.2224869877953963,0.560600741945647,0.6055220727640556,0.4081269191230287,0.44064735241236086,0.008467869080646007,0.0037222852171897025,0.044921330818408545,0.032520433289332185,-0.009538386969114684,0.034284242216200966,0.03752264653494031,-0.004196908434823121
G3-G2,G2,G3,route_state,OTHER,4999,154,20,1759,0.6360559276847406,0.6359555172425412,0.2224869877953963,0.22247711494415673,0.6055220727640556,0.601921207725963,0.44064735241236086,0.4325446481029482,0.00010041044219943895,9.872851239572933e-06,-0.0036008650380925378,-0.008102704309412678,0.008610033769763902,-0.0178136619926626,-0.0027728473006743415,0.0028302260052200934
G4-G3,G3,G4,route_state,OTHER,4999,154,20,1759,0.6359555172425412,0.6361913402702095,0.22247711494415673,0.22259814171073583,0.601921207725963,0.6010585365042828,0.4325446481029482,0.4327802814123976,-0.00023582302766833596,-0.00012102676657910205,-0.0008626712216802668,0.0002356333094494234,0.003466744894773187,0.0031258511406990763,-0.003465841980219042,-1.2654097127140496e-05
G1-G0,G0,G1,route_state,NARROWING,251,92,20,89,0.6717707994715991,0.6677069378051234,0.23945375345747316,0.23707762441539987,0.579153639170227,0.5812624617187309,0.497849353187677,0.5541873127528305,0.004063861666475765,0.002376129042073294,0.0021088225485038636,0.05633795956515353,0.021678124079641092,0.00200540259671822,-0.002592567299809334,0.0025336906568003137
G2-G1,G1,G2,route_state,NARROWING,251,92,20,89,0.6677069378051234,0.646238219215516,0.23707762441539987,0.22692097951378454,0.5812624617187309,0.6416889388573247,0.5541873127528305,0.6017864660220882,0.021468718589607305,0.01015664490161533,0.06042647713859384,0.04759915326925768,-0.042961729675200525,0.06787251414328244,0.06654869167286487,0.0090053904882893
G3-G2,G2,G3,route_state,NARROWING,251,92,20,89,0.646238219215516,0.6530120677574428,0.22692097951378454,0.23034856880431254,0.6416889388573247,0.636671243870582,0.6017864660220882,0.5979536304607227,-0.0067738485419267525,-0.003427589290527999,-0.005017694986742649,-0.0038328355613654885,0.01899091568350811,-0.1050976959015823,-0.12490961312552562,-0.010726835870266571
