period,month,rows,sessions,stocks,months,positive_movement_exceeds_iv_outcomes,negative_movement_remains_below_iv_outcomes,maximum_stock_share,maximum_month_share,maximum_session_share,remains_below_iv_rate,movement_exceeds_iv_rate,mean_absolute_movement,median_absolute_movement,mean_iv_expectation,median_iv_expectation,mean_iv_residual,median_iv_residual,trimmed_mean_iv_residual_10_percent,mean_terminal_iv_ratio,median_terminal_iv_ratio,absolute_movement_p90,absolute_movement_p95,absolute_movement_p99,maximum_absolute_movement,mean_maximum_absolute_excursion,median_maximum_absolute_excursion,mean_excursion_sigma_ratio,terminal_above_1_0x_iv_expected_rate,excursion_above_1_0x_iv_sigma_rate,terminal_above_1_25x_iv_expected_rate,excursion_above_1_25x_iv_sigma_rate,terminal_above_1_5x_iv_expected_rate,excursion_above_1_5x_iv_sigma_rate,terminal_above_2_0x_iv_expected_rate,excursion_above_2_0x_iv_sigma_rate,surprise_1_5_sigma_rate,surprise_2_0_sigma_rate,npv_lift,relative_surprise_1_5_sigma_reduction,relative_surprise_2_0_sigma_reduction
assessment,2025-01,57,13,7,1,2,55,0.47368421052631576,1.0,0.22807017543859648,0.9649122807017544,0.03508771929824561,0.003558060263323668,0.0025031302181184757,0.012056536312581497,0.012199750903773487,-0.008498476049257827,-0.009522851537516851,-0.00907686586194086,0.31838366922774464,0.2435665644235622,0.006795724883993012,0.009842705931676016,0.018906347033686835,0.019117559934479056,0.006572444250289994,0.00568922963010653,0.46288817791264475,0.03508771929824561,0.052631578947368425,0.03508771929824561,0.03508771929824561,0.03508771929824561,0.03508771929824561,0.03508771929824561,0.0,0.03508771929824561,0.0,0.23248109509511128,0.7463684035016216,1.0
assessment,2025-02,89,15,11,1,11,78,0.20224719101123595,1.0,0.19101123595505617,0.8764044943820225,0.12359550561797755,0.005256366685618368,0.003675895150943604,0.010569188972176237,0.008900549491829089,-0.0053128222865578695,-0.004960106012150391,-0.005214166270134044,0.5119491752160378,0.4210681242829271,0.01222808425973247,0.015909184756350895,0.018679773108284708,0.018823367740139235,0.007720937851601451,0.005873732227724078,0.6047717885060959,0.12359550561797755,0.08988764044943823,0.04494382022471911,0.04494382022471911,0.03370786516853933,0.04494382022471911,0.0,0.011235955056179777,0.04494382022471911,0.011235955056179777,0.1439733087753794,0.675123573024549,0.7868304510444314
assessment,2025-03,57,16,11,1,10,47,0.19298245614035087,1.0,0.14035087719298245,0.8245614035087718,0.17543859649122806,0.006672044945939797,0.005167504642410553,0.011962503910286445,0.011659084045556725,-0.0052904589643466456,-0.0055937349571737365,-0.005689278188775832,0.5815173951041032,0.4332433829460754,0.012653078516196953,0.019069106491737563,0.03241100610530178,0.033168144968806525,0.009771075648375732,0.0073313746142950696,0.6815747690656938,0.17543859649122806,0.14035087719298245,0.08771929824561403,0.12280701754385966,0.052631578947368425,0.08771929824561403,0.017543859649122806,0.052631578947368425,0.08771929824561403,0.052631578947368425,0.09213021790212872,0.365921008754054,0.0014689548923364493
assessment,2025-04,45,9,8,1,6,39,0.3333333333333333,1.0,0.2,0.8666666666666666,0.13333333333333328,0.004439011460306325,0.0027449796982132054,0.010628339617446973,0.010509242860306309,-0.00618932815714065,-0.006683391781319917,-0.00671803300618297,0.4163165232359407,0.26767123442830537,0.011866689583225298,0.013648902602652219,0.02037041960727104,0.02037041960727104,0.007782829384057676,0.006450411286037135,0.5740132384468437,0.13333333333333328,0.1333333333333333,0.08888888888888886,0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.13423548106002348,1.0,1.0
assessment,2025-05,93,17,15,1,9,84,0.25806451612903225,1.0,0.13978494623655913,0.903225806451613,0.09677419354838712,0.00423720923966986,0.0028964540811927063,0.010410443081459454,0.010333784882617008,-0.006173233841789599,-0.006002667071674073,-0.006577684269465659,0.4513778040770973,0.2766960426245901,0.010659810491366885,0.011871112939802687,0.01898430601303769,0.02197890671877534,0.006814492922298033,0.005994023940210407,0.5644881240454686,0.09677419354838712,0.09677419354838712,0.09677419354838712,0.0860215053763441,0.06451612903225808,0.05376344086021506,0.021505376344086027,0.021505376344086027,0.05376344086021506,0.021505376344086027,0.17079462084496988,0.6113709408492588,0.5919980675904171
assessment,2025-06,99,18,12,1,13,86,0.31313131313131315,1.0,0.15151515151515152,0.8686868686868687,0.13131313131313135,0.003249575434590889,0.002271281886606097,0.006375331632641997,0.005470740315593492,-0.0031257561980511093,-0.0037489825735736587,-0.0035307822595036435,0.5261726901123145,0.381657835320298,0.00665872935743548,0.010088702569001701,0.020760631520426558,0.021870737857788525,0.005075569856204694,0.0038482959525638367,0.6533503029833524,0.13131313131313135,0.10101010101010102,0.08080808080808083,0.08080808080808083,0.06060606060606062,0.05050505050505051,0.03030303030303031,0.03030303030303031,0.05050505050505051,0.03030303030303031,0.13625568308022562,0.6349242171614249,0.425088186150133
assessment,2025-07,161,19,15,1,10,151,0.2360248447204969,1.0,0.16770186335403728,0.9378881987577641,0.06211180124223604,0.003670418233477654,0.003204362513163365,0.009203936649636268,0.008891678021047046,-0.005533518416158615,-0.00587903816152595,-0.005563183038161879,0.435441118709701,0.38025722544146784,0.0076229330556627055,0.008239829552497966,0.0120926104034426,0.014717043326109102,0.005822898365885499,0.005033214239837625,0.5326476641226581,0.06211180124223604,0.062111801242236024,0.04347826086956522,0.03726708074534162,0.006211180124223603,0.006211180124223603,0.0,0.0,0.006211180124223603,0.0,0.20545701315112097,0.9551024813651938,1.0
assessment,2025-08,139,16,15,1,12,127,0.17985611510791366,1.0,0.18705035971223022,0.9136690647482013,0.08633093525179858,0.00398422914707403,0.0031495460098124707,0.009933487243153056,0.010526000082894608,-0.005949258096079027,-0.005862614103704685,-0.0060977157479738,0.41478358898872103,0.3337301642348849,0.007930925683684115,0.008937313576682591,0.01567379549009986,0.023173942565135948,0.006488782607379559,0.005971709431017005,0.5429931536434772,0.08633093525179858,0.07913669064748202,0.04316546762589929,0.014388489208633094,0.014388489208633094,0.0,0.0,0.0,0.0,0.0,0.1812378791415582,1.0,1.0
stress,2025-09,343,16,20,1,46,297,0.13702623906705538,1.0,0.11370262390670553,0.8658892128279884,0.13411078717201166,0.003872358837808778,0.0032378153517973562,0.0074911567176084645,0.00684581828681025,-0.003618797879799685,-0.0038859433097534614,-0.0036773505348512933,0.533109763623272,0.43362676495643115,0.008305710920374057,0.00971053374912321,0.01470107285211259,0.02339047838967922,0.006030076754212294,0.005347676878312148,0.6519904832517157,0.13411078717201166,0.1078717201166181,0.07288629737609331,0.04664723032069972,0.029154518950437323,0.026239067055393594,0.005830903790087464,0.002915451895043732,0.026239067055393594,0.002915451895043732,0.1308576280985183,0.8028434251058914,0.9425941575641381
stress,2025-10,529,18,19,1,32,497,0.13799621928166353,1.0,0.1342155009451796,0.9395085066162571,0.06049149338374291,0.004629796629152929,0.0033931046343649417,0.010869351716567761,0.010239155860941877,-0.006239555087414833,-0.006144662282108512,-0.006299567332796607,0.421674458823012,0.34317935595885163,0.009904249594452859,0.012896420134099551,0.02135211251118602,0.04082746771308721,0.007284617075425136,0.006082370720569462,0.5384166074692445,0.06049149338374291,0.06427221172022685,0.02835538752362949,0.026465028355387523,0.013232514177693762,0.00945179584120983,0.005671077504725898,0.003780718336483932,0.00945179584120983,0.003780718336483932,0.204476921886787,0.9289805658594,0.9255568848563304
