period,decile,rows,sessions,stocks,candidate_weight,mean_probability,movement_exceeds_iv_rate,movement_remains_below_iv_rate,mean_terminal_iv_residual,median_terminal_iv_residual,mean_maximum_excursion,surprise_1_5_sigma_rate
assessment,1,740,123,20,49.33333333333333,0.11378282981265042,0.09864864864864867,0.9013513513513515,-0.005592884050811417,-0.005576454074799081,0.006681929867797806,0.029729729729729735
assessment,2,1144,145,20,76.26666666666665,0.15268984462687235,0.1363636363636364,0.8636363636363638,-0.004153507097255121,-0.0045033526982618454,0.007382590856244195,0.03146853146853148
assessment,3,1298,145,20,86.53333333333333,0.18121280684014446,0.15947611710323575,0.8405238828967643,-0.0036187411483052023,-0.0041330890929970575,0.007945644402580136,0.044684129429892146
assessment,4,1393,150,20,92.86666666666665,0.20774524202635755,0.18808327351040924,0.811916726489591,-0.003366227080557846,-0.0038354834236397706,0.008600726604727863,0.0531227566403446
assessment,5,1437,150,20,95.8,0.23494444105101814,0.21224773834377178,0.7877522616562282,-0.0030345070894793724,-0.003525657162374137,0.009076432658106615,0.07724425887265138
assessment,6,1468,151,20,97.86666666666666,0.26438679370630863,0.25000000000000006,0.7500000000000001,-0.002644270250361929,-0.0032079811171008147,0.009551305199147878,0.09945504087193462
assessment,7,1555,150,20,103.74285714285713,0.2970128487645272,0.26475718351234745,0.7352428164876526,-0.002227586660858648,-0.0030119932743690324,0.010300497974255678,0.11438538510970349
assessment,8,1584,150,20,105.78571428571428,0.33783813013235964,0.3183434616250282,0.6816565383749719,-0.0014447413570876024,-0.0027333645319330985,0.011351939528000586,0.14944857078550533
assessment,9,1568,148,20,104.87142857142857,0.3915841179611776,0.3955864323661627,0.6044135676338374,-0.00034929342495578115,-0.0016757458618472487,0.013163908102849392,0.2352994596558144
assessment,10,1727,146,20,115.93333333333332,0.51630655978574,0.47104247104247104,0.528957528957529,0.0016521375340761448,-0.0005294155905387545,0.016649924345423683,0.39994249568717666
stress,1,1426,63,20,95.06666666666666,0.11447469928359502,0.08485273492286115,0.9151472650771388,-0.00494157021493227,-0.004707072484970976,0.00642902226275889,0.011921458625525946
stress,2,1684,67,20,112.27142857142857,0.15237576944633927,0.1413665860796539,0.858633413920346,-0.004076021639594116,-0.0042723897345080366,0.007567549068713733,0.030919964372057514
stress,3,1788,68,20,119.2142857142857,0.18068448525736186,0.17000199720391457,0.8299980027960856,-0.003713407482230691,-0.004138065377049282,0.008129588431386125,0.04194128220491313
stress,4,1835,68,20,122.57142857142856,0.20760980264466355,0.18374125874125877,0.8162587412587412,-0.0033613188321059287,-0.003924491355078409,0.008611010111836683,0.050553613053613056
stress,5,1796,67,20,120.02023809523808,0.23519133170958012,0.23345269151036038,0.7665473084896396,-0.002974975528904832,-0.0035630848936327353,0.009501982528533308,0.07728855252586371
stress,6,1785,67,20,118.99999999999999,0.2640161031687225,0.25266106442577035,0.7473389355742298,-0.0026954131489878752,-0.0034268305970786054,0.010157854404248743,0.09019607843137256
stress,7,1930,67,20,129.3345238095238,0.29737961283375874,0.29379573831913697,0.7062042616808631,-0.001920083750981458,-0.002984332470839867,0.011125538174921408,0.13985659047074134
stress,8,1880,67,20,127.11309523809521,0.3380621396724573,0.3494638258019199,0.6505361741980802,-0.0011480740705844897,-0.0024013262990876917,0.012433831922218145,0.1841910559587919
stress,9,1887,67,20,127.475,0.3922851255311392,0.3753677191606198,0.6246322808393802,-0.00062983407686021,-0.001990871572862986,0.013815342512007297,0.23056808524547298
stress,10,2125,67,20,141.93333333333334,0.5153239476177562,0.4692343823391263,0.5307656176608735,0.0016668096777490515,-0.0005700518036473885,0.017635173575384647,0.38656646312822923
