period,row_id,stock,session,checkpoint,atm_iv,M1C_probability,M0_probability,direction,maximum_excursion,terminal_return,move_reversed,extreme_surprise_mover,recent_high_m1c_episode_previous_60m,market_movement_context_available,market_movement_unusually_large,excursion_sigma_ratio_15m
assessment,ASTS|2025-01-02|34,ASTS,2025-01-02,34,0.8705499999999999,0.13241332415457166,0.15150260248277927,down,0.020497233673211886,-0.019117559934479056,False,False,False,True,True,1.905848947666415
assessment,IREN|2025-06-16|34,IREN,2025-06-16,34,0.84745,0.12894400962917457,0.18601715975632582,up,0.022650009278482267,0.021870737857788525,False,True,False,True,False,2.1634220139353744
assessment,MARA|2025-06-26|34,MARA,2025-06-26,34,0.59295,0.1250060710273612,0.18510666920005525,up,0.0330062986471992,0.019605214720314967,False,True,False,True,False,4.505735521601209
assessment,MSTR|2025-02-12|34,MSTR,2025-02-12,34,0.68605,0.127793825760598,0.1391492281767927,up,0.01513354364081957,0.007343459364661079,True,False,False,True,False,1.7855491492100657
assessment,RGTI|2025-06-27|32,RGTI,2025-06-27,32,0.77605,0.10614888281152964,0.15846505497063665,up,0.01594373968285427,0.013568249084617073,False,False,False,True,False,1.6629815693481649
assessment,RIOT|2025-07-10|34,RIOT,2025-07-10,34,0.7837000000000001,0.13073447983255174,0.1525917192245138,up,0.01786124156574484,0.014717043326109102,False,False,False,True,False,1.8447976712420648
assessment,SMCI|2025-05-30|34,SMCI,2025-05-30,34,0.7674000000000001,0.12100187018822603,0.18210789326870871,down,0.018301453746444443,-0.014236038409057433,False,False,False,True,True,1.930415242321103
assessment,SOFI|2025-02-11|28,SOFI,2025-02-11,28,0.5192,0.13454933184206416,0.16375705697293935,down,0.010806845487063479,-0.009793093042962865,False,False,False,True,False,1.6848110515752226
assessment,WULF|2025-03-05|28,WULF,2025-03-05,28,1.2855500000000002,0.1205594669275051,0.1482883102242753,up,0.03246581041584771,0.012829830390646127,True,True,False,True,True,2.0442039348307053
assessment,WULF|2025-03-07|34,WULF,2025-03-07,34,1.30605,0.12735625799372738,0.12777826542728096,up,0.034557250636619255,0.033168144968806525,False,True,False,True,True,2.1417379084257275
stress,AAOI|2025-10-28|24,AAOI,2025-10-28,24,1.5807,0.13501420748739262,0.1672437175697626,up,0.044878325771219245,0.04082746771308721,False,True,False,True,False,2.2981275962260344
stress,APLD|2025-09-09|34,APLD,2025-09-09,34,0.77335,0.13576631430095265,0.14271024055745815,up,0.020690324998058097,0.016929062100447975,False,True,False,True,False,2.1655996220409834
stress,IONQ|2025-12-10|34,IONQ,2025-12-10,34,0.942,0.12946711928909424,0.14258089350822703,down,0.019802646425782687,-0.01590780216424156,False,False,False,True,False,1.701607044361486
stress,MRNA|2025-12-31|24,MRNA,2025-12-31,24,0.45399999999999996,0.13064868551774622,0.22306107883497803,down,0.008681448745654111,-0.007581537452397579,False,False,False,True,False,1.5478301322738532
stress,MSTR|2025-09-16|26,MSTR,2025-09-16,26,0.49445,0.12532943541966501,0.1958148543249267,up,0.011838115461186254,0.009296942485527843,False,False,False,True,False,1.9379703780437911
stress,MSTR|2025-09-24|26,MSTR,2025-09-24,26,0.51515,0.12560639387876946,0.18334779873871868,down,0.01116254357121365,-0.007153041540421031,False,False,False,True,False,1.7539467630832684
stress,MSTR|2025-09-24|32,MSTR,2025-09-24,32,0.51515,0.11771660880035047,0.1529801170205456,up,0.00993270497051322,0.009185934701390916,False,False,False,True,False,1.5607048358243143
stress,RIVN|2025-09-11|34,RIVN,2025-09-11,34,0.58235,0.1312521738596084,0.12597859111606574,down,0.01141683470987852,-0.009338203097989403,False,False,False,True,False,1.58689641128903
stress,SMCI|2025-09-30|34,SMCI,2025-09-30,34,0.60605,0.13251724835747783,0.15839277352802134,up,0.013622782333784311,0.009659861223680542,False,False,False,True,False,1.8194675157650877
stress,SOFI|2025-09-24|24,SOFI,2025-09-24,24,0.6279,0.12881577728921306,0.16593847474870452,down,0.014140604650151515,-0.01249555348735535,False,False,False,True,False,1.8229067013475428
stress,SOFI|2025-10-14|32,SOFI,2025-10-14,32,0.70885,0.12274249718247585,0.11532226186829236,up,0.014447556747714987,0.011178986441007484,False,False,False,True,True,1.6497837045163435
