period,representation,dimension,entity,count,share,rows,sessions,stocks,remains_below_iv_rate,mean_iv_residual,median_iv_residual,breach_1_5_sigma_rate,breach_2_0_sigma_rate,surprise_1_5_count,surprise_1_5_share,surprise_2_0_count,surprise_2_0_share
assessment,raw_checkpoint_rows,all,all,740,1.0,740,123,20,0.9013513513513514,-0.005592884050811417,-0.005576454074799016,0.02972972972972973,0.012162162162162163,22,0.02972972972972973,9,0.012162162162162163
assessment,raw_checkpoint_rows,month,2025-01,57,0.07702702702702703,57,13,7,0.9649122807017543,-0.008498476049257827,-0.009522851537516853,0.03508771929824561,0.0,2,0.03508771929824561,0,0.0
assessment,raw_checkpoint_rows,month,2025-02,89,0.12027027027027028,89,15,11,0.8764044943820226,-0.005312822286557871,-0.004960106012150391,0.04494382022471911,0.011235955056179777,4,0.0449438202247191,1,0.011235955056179775
assessment,raw_checkpoint_rows,month,2025-03,57,0.07702702702702703,57,16,11,0.8245614035087718,-0.0052904589643466456,-0.005593734957173737,0.08771929824561403,0.05263157894736842,5,0.08771929824561403,3,0.05263157894736842
assessment,raw_checkpoint_rows,month,2025-04,45,0.060810810810810814,45,9,8,0.8666666666666667,-0.006189328157140651,-0.006683391781319917,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,month,2025-05,93,0.12567567567567567,93,17,15,0.9032258064516129,-0.0061732338417895966,-0.0060026670716740674,0.053763440860215055,0.021505376344086023,5,0.053763440860215055,2,0.021505376344086023
assessment,raw_checkpoint_rows,month,2025-06,99,0.13378378378378378,99,18,12,0.8686868686868685,-0.003125756198051107,-0.0037489825735736574,0.0505050505050505,0.030303030303030297,5,0.050505050505050504,3,0.030303030303030304
assessment,raw_checkpoint_rows,month,2025-07,161,0.21756756756756757,161,19,15,0.937888198757764,-0.005533518416158616,-0.005879038161525953,0.006211180124223604,0.0,1,0.006211180124223602,0,0.0
assessment,raw_checkpoint_rows,month,2025-08,139,0.18783783783783783,139,16,15,0.9136690647482016,-0.005949258096079029,-0.005862614103704687,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,stock,AAL,11,0.014864864864864866,11,7,1,1.0,-0.0037520635550420483,-0.0038213584291487525,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,stock,AAOI,11,0.014864864864864866,11,5,1,1.0,-0.010432127825560186,-0.009844351843303385,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,stock,APLD,47,0.06351351351351352,47,9,1,0.9361702127659575,-0.0077699844750054045,-0.00916974910796882,0.021276595744680847,0.021276595744680847,1,0.02127659574468085,1,0.02127659574468085
assessment,raw_checkpoint_rows,stock,ASTS,74,0.1,74,24,1,0.9594594594594594,-0.008202404713947498,-0.008567709993313103,0.013513513513513514,0.0,1,0.013513513513513514,0,0.0
assessment,raw_checkpoint_rows,stock,CIFR,31,0.041891891891891894,31,14,1,0.8387096774193549,-0.005513567278304017,-0.0054124003645953924,0.03225806451612904,0.0,1,0.03225806451612903,0,0.0
assessment,raw_checkpoint_rows,stock,HIMS,4,0.005405405405405406,4,3,1,0.75,-0.002628342847773643,-0.0063543741242670804,0.25,0.25,1,0.25,1,0.25
assessment,raw_checkpoint_rows,stock,IONQ,33,0.0445945945945946,33,15,1,1.0,-0.008180073905927447,-0.007744707115744099,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,stock,IREN,20,0.02702702702702703,20,13,1,0.95,-0.005545475980473073,-0.005819054181787378,0.04999999999999999,0.04999999999999999,1,0.05,1,0.05
assessment,raw_checkpoint_rows,stock,MARA,32,0.043243243243243246,32,15,1,0.875,-0.0036795033196134375,-0.004467491884670526,0.0625,0.03125,2,0.0625,1,0.03125
assessment,raw_checkpoint_rows,stock,MP,12,0.016216216216216217,12,4,1,1.0,-0.006045095924238435,-0.006339425812595104,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,stock,MRNA,20,0.02702702702702703,20,7,1,0.8999999999999999,-0.0044178221574939945,-0.004981356198085833,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,stock,MSTR,38,0.051351351351351354,38,21,1,0.6842105263157894,-0.0015930867805953298,-0.0020430937670056176,0.07894736842105264,0.0,3,0.07894736842105263,0,0.0
assessment,raw_checkpoint_rows,stock,NVTS,1,0.0013513513513513514,1,1,1,1.0,-0.011945435408021576,-0.011945435408021576,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,stock,QBTS,11,0.014864864864864866,11,6,1,1.0,-0.007274998516714536,-0.007041296182187054,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,stock,RGTI,93,0.12567567567567567,93,31,1,0.9032258064516129,-0.006026367668281764,-0.0069190078588863965,0.010752688172043012,0.0,1,0.010752688172043012,0,0.0
assessment,raw_checkpoint_rows,stock,RIOT,38,0.051351351351351354,38,25,1,0.868421052631579,-0.0037440239916642303,-0.004212491093588074,0.052631578947368425,0.026315789473684213,2,0.05263157894736842,1,0.02631578947368421
assessment,raw_checkpoint_rows,stock,RIVN,83,0.11216216216216217,83,21,1,0.8915662650602411,-0.003590493364906185,-0.003574172006524917,0.01204819277108434,0.0,1,0.012048192771084338,0,0.0
assessment,raw_checkpoint_rows,stock,SMCI,60,0.08108108108108109,60,23,1,0.9000000000000001,-0.006744535061723615,-0.006521051134213028,0.03333333333333333,0.0,2,0.03333333333333333,0,0.0
assessment,raw_checkpoint_rows,stock,SOFI,90,0.12162162162162163,90,27,1,0.8999999999999999,-0.004642656943396348,-0.004650265230471186,0.044444444444444446,0.022222222222222223,4,0.044444444444444446,2,0.022222222222222223
assessment,raw_checkpoint_rows,stock,WULF,31,0.041891891891891894,31,10,1,0.8709677419354839,-0.006253492186459586,-0.008021700683954214,0.06451612903225808,0.06451612903225808,2,0.06451612903225806,2,0.06451612903225806
assessment,raw_checkpoint_rows,session,2025-01-02,4,0.005405405405405406,4,1,2,0.5,0.001780178525031101,0.001597248598833023,0.5,0.0,2,0.5,0,0.0
assessment,raw_checkpoint_rows,session,2025-01-03,1,0.0013513513513513514,1,1,1,1.0,-0.006603306288077152,-0.006603306288077152,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-01-07,1,0.0013513513513513514,1,1,1,1.0,-0.0038550468885271937,-0.0038550468885271937,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-01-08,1,0.0013513513513513514,1,1,1,1.0,-0.0026719659524596824,-0.0026719659524596824,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-01-16,2,0.002702702702702703,2,1,1,1.0,-0.006137211461893654,-0.006137211461893654,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-01-21,1,0.0013513513513513514,1,1,1,1.0,-0.003821358429148752,-0.003821358429148752,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-01-22,1,0.0013513513513513514,1,1,1,1.0,-0.00693489800806658,-0.00693489800806658,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-01-23,9,0.012162162162162163,9,1,1,1.0,-0.009488839456929007,-0.009860808692587776,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-01-24,9,0.012162162162162163,9,1,1,1.0,-0.009267444064751627,-0.00917402982078206,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-01-28,1,0.0013513513513513514,1,1,1,1.0,-0.008668617087867998,-0.008668617087867998,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-01-29,13,0.01756756756756757,13,1,2,1.0,-0.00877638134410204,-0.009942035475320726,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-01-30,12,0.016216216216216217,12,1,1,1.0,-0.01165030883724222,-0.012431455136360015,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-01-31,2,0.002702702702702703,2,1,1,1.0,-0.012000509057263516,-0.012000509057263516,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-02-04,1,0.0013513513513513514,1,1,1,1.0,-0.00187939878996456,-0.00187939878996456,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-02-05,2,0.002702702702702703,2,1,1,1.0,-0.010176655839136272,-0.010176655839136272,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-02-06,1,0.0013513513513513514,1,1,1,1.0,-0.0017499920171318057,-0.0017499920171318057,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-02-10,3,0.004054054054054054,3,1,1,1.0,-0.0026919345438897275,-0.0025878822156024804,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-02-11,4,0.005405405405405406,4,1,2,0.75,-0.0013818657509422844,-0.0018113455389759739,0.25,0.0,1,0.25,0,0.0
assessment,raw_checkpoint_rows,session,2025-02-12,9,0.012162162162162163,9,1,4,0.5555555555555556,-0.0009407953938184464,-0.0016163687830496208,0.33333333333333337,0.11111111111111112,3,0.3333333333333333,1,0.1111111111111111
assessment,raw_checkpoint_rows,session,2025-02-13,5,0.006756756756756757,5,1,3,0.8,-0.0041880894586429586,-0.004616750962197754,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-02-14,4,0.005405405405405406,4,1,3,1.0,-0.004345669143837828,-0.004392667140954927,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-02-18,9,0.012162162162162163,9,1,3,0.8888888888888891,-0.005012462941110588,-0.00596649673186621,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-02-19,17,0.022972972972972974,17,1,5,0.9411764705882353,-0.004412529636126569,-0.0040313347973777594,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-02-20,3,0.004054054054054054,3,1,2,1.0,-0.005788950835886193,-0.005060427828933875,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-02-25,2,0.002702702702702703,2,1,1,1.0,-0.008409003707694325,-0.008409003707694325,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-02-26,9,0.012162162162162163,9,1,2,1.0,-0.011726846533406776,-0.01201274900687166,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-02-27,10,0.013513513513513514,10,1,2,0.8,-0.00473991803093596,-0.005644709230921141,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-02-28,10,0.013513513513513514,10,1,3,0.9,-0.008121410265269628,-0.00997682089895487,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-03-03,8,0.010810810810810811,8,1,2,1.0,-0.013085776035308127,-0.013248344524134453,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-03-05,7,0.00945945945945946,7,1,3,0.4285714285714285,-0.0007707353267535509,0.00015792009747276486,0.4285714285714285,0.2857142857142857,3,0.42857142857142855,2,0.2857142857142857
assessment,raw_checkpoint_rows,session,2025-03-07,1,0.0013513513513513514,1,1,1,0.0,0.02029416228559773,0.02029416228559773,1.0,1.0,1,1.0,1,1.0
assessment,raw_checkpoint_rows,session,2025-03-10,4,0.005405405405405406,4,1,3,1.0,-0.009366382570322653,-0.010374525535921192,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-03-11,3,0.004054054054054054,3,1,2,1.0,-0.008802178965494884,-0.011400539062291992,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-03-12,2,0.002702702702702703,2,1,1,1.0,-0.003960898887145807,-0.003960898887145807,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-03-14,1,0.0013513513513513514,1,1,1,1.0,-0.00966912008076945,-0.00966912008076945,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-03-17,1,0.0013513513513513514,1,1,1,1.0,-0.0025498211696986135,-0.0025498211696986135,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-03-18,7,0.00945945945945946,7,1,3,0.7142857142857143,-0.00357022187985449,-0.0023703801638532583,0.14285714285714285,0.0,1,0.14285714285714285,0,0.0
assessment,raw_checkpoint_rows,session,2025-03-19,4,0.005405405405405406,4,1,1,1.0,-0.0042515442666497495,-0.004317620596516909,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-03-20,4,0.005405405405405406,4,1,2,0.75,-0.0019457134166122277,-0.0036528392278954067,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-03-21,1,0.0013513513513513514,1,1,1,1.0,-0.006614888209102426,-0.006614888209102426,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-03-25,5,0.006756756756756757,5,1,4,0.8,-0.0026937294203652658,-0.0037624108215304876,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-03-27,2,0.002702702702702703,2,1,2,1.0,-0.003759893397259893,-0.003759893397259893,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-03-28,1,0.0013513513513513514,1,1,1,0.0,0.0005240523865195305,0.0005240523865195305,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-03-31,6,0.008108108108108109,6,1,1,1.0,-0.008482717978353897,-0.009118820295418219,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-04-01,1,0.0013513513513513514,1,1,1,0.0,0.0007933539293749001,0.0007933539293749001,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-04-11,2,0.002702702702702703,2,1,2,1.0,-0.008975254309309195,-0.008975254309309195,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-04-14,8,0.010810810810810811,8,1,3,0.875,-0.00811670740458386,-0.009530432590698992,0.0,0.0,0,0.0,0,0.0
assessment,raw_checkpoint_rows,session,2025-04-15,9,0.012162162162162163,9,1,4,1.0,-0.006813310423242785,-0.005702862494092957,0.0,0.0,0,0.0,0,0.0
