period,representation,sigma_threshold,raw_row_count,clustered_event_count,repeated_checkpoint_rows_removed,stocks_represented,months_represented,sessions_represented,checkpoints_represented,raw_maximum_stock_share,raw_maximum_month_share,maximum_stock_share,maximum_month_share,maximum_stock_month_share,maximum_session_share,maximum_checkpoint_share,herfindahl_stock,herfindahl_month,total_adverse_excursion,maximum_stock_adverse_excursion_share,maximum_month_adverse_excursion_share,high_tail_proximity_count,high_tail_proximity_rate
assessment,raw_checkpoint_rows,1.5,22,22,0,13,6,12,3,0.18181818181818182,0.22727272727272727,0.18181818181818182,0.22727272727272727,0.09090909090909091,0.22727272727272727,0.6818181818181818,0.09917355371900827,0.1983471074380165,0.45165764779936896,0.14839350419289105,0.3186738614960981,0,0.0
assessment,raw_checkpoint_rows,2.0,9,9,0,7,4,7,3,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.6666666666666666,0.16049382716049382,0.2839506172839506,0.23624249109991446,0.2837045136986842,0.40846355999495976,0,0.0
assessment,quiet_state_runs,1.5,11,11,0,10,6,10,3,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.6363636363636364,0.10743801652892562,0.20661157024793386,0.246485106613766,0.27191525676027917,0.29048427546874317,0,0.0
assessment,quiet_state_runs,2.0,5,5,0,4,3,5,3,0.4,0.4,0.4,0.4,0.4,0.2,0.6,0.28,0.3600000000000001,0.14794104881762754,0.45303897456539466,0.45303897456539466,0,0.0
assessment,frozen_fresh_quiet_episodes,1.5,10,10,0,9,6,10,3,0.2,0.3,0.2,0.3,0.2,0.1,0.7,0.12000000000000002,0.20000000000000004,0.2212234267742869,0.3029654771637284,0.3236549069533621,0,0.0
assessment,frozen_fresh_quiet_episodes,2.0,4,4,0,3,2,4,2,0.5,0.5,0.5,0.5,0.5,0.25,0.75,0.375,0.5,0.12267936897814842,0.5463270769219972,0.5463270769219972,0,0.0
assessment,one_per_stock_session,1.5,8,8,0,7,6,8,2,0.25,0.25,0.25,0.25,0.25,0.125,0.75,0.15625,0.1875,0.1901461434506131,0.3524818323221736,0.3524818323221736,0,0.0
assessment,one_per_stock_session,2.0,4,4,0,3,2,4,2,0.5,0.5,0.5,0.5,0.5,0.25,0.75,0.375,0.5,0.12267936897814842,0.5463270769219972,0.5463270769219972,0,0.0
stress,raw_checkpoint_rows,1.5,17,17,0,10,3,12,5,0.17647058823529413,0.5294117647058824,0.17647058823529413,0.5294117647058824,0.17647058823529413,0.17647058823529413,0.4117647058823529,0.12802768166089967,0.39792387543252594,0.31760015936144476,0.20401134033663687,0.4267482534521028,0,0.0
stress,raw_checkpoint_rows,2.0,4,4,0,4,3,3,3,0.25,0.5,0.25,0.5,0.25,0.5,0.5,0.25,0.375,0.13116534354830905,0.34215078889867173,0.6543796965420116,0,0.0
stress,quiet_state_runs,1.5,12,12,0,8,3,10,4,0.25,0.5833333333333334,0.25,0.5833333333333334,0.25,0.25,0.3333333333333333,0.1527777777777778,0.43055555555555564,0.20525696922743636,0.21864458946332543,0.45213524804584626,0,0.0
stress,quiet_state_runs,2.0,3,3,0,3,3,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.09021173161155714,0.49747771126333,0.49747771126333,0,0.0
stress,frozen_fresh_quiet_episodes,1.5,11,11,0,8,3,9,4,0.2727272727272727,0.6363636363636364,0.2727272727272727,0.6363636363636364,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.15702479338842973,0.47107438016528924,0.18061388838515657,0.24847660483072512,0.5138248864720887,0,0.0
stress,frozen_fresh_quiet_episodes,2.0,2,2,0,2,2,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.06556865076927734,0.6844479068074297,0.6844479068074297,0,0.0
stress,one_per_stock_session,1.5,10,10,0,8,3,9,4,0.2,0.6,0.2,0.6,0.2,0.2,0.4,0.14,0.44000000000000006,0.1706811834146434,0.2629365749251593,0.48553217212555666,0,0.0
stress,one_per_stock_session,2.0,2,2,0,2,2,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.06556865076927734,0.6844479068074297,0.6844479068074297,0,0.0
