scope,check,passed,rows,detail,selection_id,strategy,symbol,signal_session,contract_id,quote_role,quote_date,rejection_reason,bid,ask,midpoint,relative_spread
exact_date_cache,extra_dates_discarded_before_materialisation,True,144283,8594 other-date records discarded before canonicalisation,,,,,,,,,,,,
exact_date_cache,protected_observation_boundary,True,0,expiration metadata was not treated as an observation date,,,,,,,,,,,,
exact_date_cache,provider_dte_disagreement_audit,True,13665,DTE was derived from observation and expiration dates,,,,,,,,,,,,
exact_date_cache,unquotable_rows_discarded_before_materialisation,True,6852,rows without bid/ask timestamps cannot pass frozen quote gates,,,,,,,,,,,,
strategy_specific_coverage,unresolved_requests_after_repair,True,0,failed exact-date outcomes are per-stock-date exclusions,,,,,,,,,,,,
selected_contract,entry_exit_leg_quote,True,1,valid_frozen_eod_bid_ask_quote,S1|MARA|2024-01-18,S1,MARA,2024-01-18,MARA240126C00017500,call_entry,2024-01-18,,0.66,0.71,0.685,0.0729927007299269
selected_contract,entry_exit_leg_quote,True,1,valid_frozen_eod_bid_ask_quote,S1|MARA|2024-01-18,S1,MARA,2024-01-18,MARA240126P00017500,put_entry,2024-01-18,,2.04,2.13,2.085,0.0431654676258992
selected_contract,entry_exit_leg_quote,True,1,valid_frozen_eod_bid_ask_quote,S1|MARA|2024-01-18,S1,MARA,2024-01-18,MARA240126C00017500,call_exit,2024-01-19,,0.59,0.62,0.605,0.0495867768595042
selected_contract,entry_exit_leg_quote,True,1,valid_frozen_eod_bid_ask_quote,S1|MARA|2024-01-18,S1,MARA,2024-01-18,MARA240126P00017500,put_exit,2024-01-19,,1.9,2,1.95,0.0512820512820513
selected_contract,entry_exit_quote_set,True,4,all four frozen EOD quotes and contract checks passed,S1|MARA|2024-01-18,S1,MARA,2024-01-18,,selection_summary,,,,,,
selected_contract,entry_exit_leg_quote,True,1,valid_frozen_eod_bid_ask_quote,S3|MARA|2024-01-18,S3,MARA,2024-01-18,MARA240119C00017500,call_entry,2024-01-18,,0.07,0.1,0.085,0.352941176470588
selected_contract,entry_exit_leg_quote,True,1,valid_frozen_eod_bid_ask_quote,S3|MARA|2024-01-18,S3,MARA,2024-01-18,MARA240119P00017500,put_entry,2024-01-18,,1.48,1.56,1.52,0.0526315789473685
selected_contract,entry_exit_leg_quote,False,0,missing_quote,S3|MARA|2024-01-18,S3,MARA,2024-01-18,MARA240119C00017500,call_exit,2024-01-19,missing_quote,,,,
selected_contract,entry_exit_leg_quote,True,1,valid_frozen_eod_bid_ask_quote,S3|MARA|2024-01-18,S3,MARA,2024-01-18,MARA240119P00017500,put_exit,2024-01-19,,1.34,1.43,1.385,0.0649819494584837
selected_contract,entry_exit_quote_set,False,3,call_exit:missing_quote,S3|MARA|2024-01-18,S3,MARA,2024-01-18,,selection_summary,,call_exit:missing_quote,,,,
selected_contract,entry_exit_leg_quote,True,1,valid_frozen_eod_bid_ask_quote,S1|RIOT|2024-01-18,S1,RIOT,2024-01-18,RIOT240126C00011000,call_entry,2024-01-18,,0.35,0.36,0.355,0.0281690140845071
selected_contract,entry_exit_leg_quote,True,1,valid_frozen_eod_bid_ask_quote,S1|RIOT|2024-01-18,S1,RIOT,2024-01-18,RIOT240126P00011000,put_entry,2024-01-18,,0.99,1.05,1.02,0.0588235294117648
selected_contract,entry_exit_leg_quote,True,1,valid_frozen_eod_bid_ask_quote,S1|RIOT|2024-01-18,S1,RIOT,2024-01-18,RIOT240126C00011000,call_exit,2024-01-19,,0.29,0.3,0.295,0.0338983050847458
selected_contract,entry_exit_leg_quote,True,1,valid_frozen_eod_bid_ask_quote,S1|RIOT|2024-01-18,S1,RIOT,2024-01-18,RIOT240126P00011000,put_exit,2024-01-19,,0.99,1.24,1.115,0.224215246636771
selected_contract,entry_exit_quote_set,True,4,all four frozen EOD quotes and contract checks passed,S1|RIOT|2024-01-18,S1,RIOT,2024-01-18,,selection_summary,,,,,,
selected_contract,entry_exit_leg_quote,True,1,valid_frozen_eod_bid_ask_quote,S3|RIOT|2024-01-18,S3,RIOT,2024-01-18,RIOT240119C00011000,call_entry,2024-01-18,,0.05,0.06,0.055,0.181818181818182
selected_contract,entry_exit_leg_quote,True,1,valid_frozen_eod_bid_ask_quote,S3|RIOT|2024-01-18,S3,RIOT,2024-01-18,RIOT240119P00011000,put_entry,2024-01-18,,0.7,0.78,0.74,0.108108108108108
selected_contract,entry_exit_leg_quote,False,0,missing_quote,S3|RIOT|2024-01-18,S3,RIOT,2024-01-18,RIOT240119C00011000,call_exit,2024-01-19,missing_quote,,,,
selected_contract,entry_exit_leg_quote,True,1,valid_frozen_eod_bid_ask_quote,S3|RIOT|2024-01-18,S3,RIOT,2024-01-18,RIOT240119P00011000,put_exit,2024-01-19,,0.69,0.74,0.715,0.06993006993007
selected_contract,entry_exit_quote_set,False,3,call_exit:missing_quote,S3|RIOT|2024-01-18,S3,RIOT,2024-01-18,,selection_summary,,call_exit:missing_quote,,,,
selected_contract,entry_exit_leg_quote,True,1,valid_frozen_eod_bid_ask_quote,S1|APLD|2024-01-19,S1,APLD,2024-01-19,APLD240126C00005000,call_entry,2024-01-19,,0.15,0.3,0.225,0.666666666666667
selected_contract,entry_exit_leg_quote,True,1,valid_frozen_eod_bid_ask_quote,S1|APLD|2024-01-19,S1,APLD,2024-01-19,APLD240126P00005000,put_entry,2024-01-19,,0.35,0.4,0.375,0.133333333333333
selected_contract,entry_exit_leg_quote,True,1,valid_frozen_eod_bid_ask_quote,S1|APLD|2024-01-19,S1,APLD,2024-01-19,APLD240126C00005000,call_exit,2024-01-22,,0.15,0.2,0.175,0.285714285714286
selected_contract,entry_exit_leg_quote,True,1,valid_frozen_eod_bid_ask_quote,S1|APLD|2024-01-19,S1,APLD,2024-01-19,APLD240126P00005000,put_exit,2024-01-22,,0.3,0.5,0.4,0.5
selected_contract,entry_exit_quote_set,True,4,all four frozen EOD quotes and contract checks passed,S1|APLD|2024-01-19,S1,APLD,2024-01-19,,selection_summary,,,,,,
selected_contract,entry_exit_leg_quote,True,1,valid_frozen_eod_bid_ask_quote,S1|MARA|2024-01-19,S1,MARA,2024-01-19,MARA240126C00016000,call_entry,2024-01-19,,1.13,1.16,1.145,0.0262008733624454
selected_contract,entry_exit_leg_quote,True,1,valid_frozen_eod_bid_ask_quote,S1|MARA|2024-01-19,S1,MARA,2024-01-19,MARA240126P00016000,put_entry,2024-01-19,,0.99,1.01,1,0.02
selected_contract,entry_exit_leg_quote,False,0,missing_quote,S1|MARA|2024-01-19,S1,MARA,2024-01-19,MARA240126C00016000,call_exit,2024-01-22,missing_quote,,,,
selected_contract,entry_exit_leg_quote,False,0,missing_quote,S1|MARA|2024-01-19,S1,MARA,2024-01-19,MARA240126P00016000,put_exit,2024-01-22,missing_quote,,,,
selected_contract,entry_exit_quote_set,False,2,call_exit:missing_quote;put_exit:missing_quote,S1|MARA|2024-01-19,S1,MARA,2024-01-19,,selection_summary,,call_exit:missing_quote;put_exit:missing_quote,,,,
