strategy,period,symbol,status,trades,sessions,stocks,months,total_entry_debit,mean_net_pnl,median_net_pnl,trimmed_mean_net_pnl,mean_return_on_debit,median_return_on_debit,win_rate,full_loss_rate,maximum_gain,maximum_loss,return_p05,return_p25,return_p75,return_p95,matched_control_excess,maximum_stock_share,maximum_month_share,top_5pct_positive_pnl_contribution
S1,assessment,ASTS,not_supported,18,18,1,8,8700,-44.9444444444444,-33,-47.75,-0.0870977674016001,-0.0843582159674543,0.111111111111111,0,124,-169,-0.265780612314229,-0.17604923526094,-0.033510048869913,0.108479061434996,,1,0.222222222222222,0.855172413793103
S1,assessment,CIFR,not_supported,13,13,1,7,856.5,-16.9230769230769,-17,-16.0909090909091,-0.258794108356964,-0.248175182481752,0.0769230769230769,0,2.66453525910038e-15,-43,-0.433862433862434,-0.331491712707182,-0.202247191011236,-0.0830188679245284,,1,0.307692307692308,1
S1,assessment,IREN,not_supported,15,15,1,6,1887.5,-19.4,-18,-20.2307692307692,-0.149613982140159,-0.178861788617886,0.0666666666666667,0,15,-43,-0.274392274392274,-0.20714579538109,-0.108716681623757,0.0348605240912931,,1,0.266666666666667,1
S1,assessment,MARA,not_supported,21,21,1,8,3513.5,-9.95238095238095,-12,-14.6470588235294,-0.0675119328789178,-0.0721311475409835,0.285714285714286,0,91,-45,-0.270531400966184,-0.189300411522634,0.0118694362017804,0.169014084507042,,1,0.238095238095238,0.858156028368794
S1,assessment,MSTR,not_supported,17,17,1,6,49400.5,-103.235294117647,-353,-180.266666666667,-0.027855490547587,-0.101685150511306,0.294117647058824,0,1737,-788,-0.269398921760588,-0.214886137857252,0.0158487418323368,0.511165002192781,,1,0.235294117647059,0.423039454456892
S1,assessment,QBTS,not_supported,13,13,1,4,2827.5,-13.5384615384615,-33,-23.9090909090909,-0.0779897421431596,-0.121985815602837,0.153846153846154,0,135,-48,-0.318811623159449,-0.171837708830549,-0.0626631853785901,0.313715392963693,,1,0.384615384615385,0.833333333333333
S1,assessment,RGTI,not_supported,20,20,1,7,3585,-36.6,-39,-35.875,-0.198356236712082,-0.192214290970638,0.05,0,6.00000000000001,-81,-0.385835488276143,-0.287033982184098,-0.127848761408083,-0.0411319854643413,,1,0.2,1
S1,assessment,RIOT,not_supported,25,25,1,8,2878.5,-4.8,-9.00000000000001,-8.90476190476191,-0.0436429356911837,-0.0869565217391305,0.28,0,97,-30,-0.228559208767709,-0.185365853658537,2.22973661849404e-17,0.153808202281838,,1,0.2,0.733333333333333
S1,assessment,SOFI,not_supported,11,11,1,5,1234.5,-3.81818181818181,-0.999999999999998,-3.33333333333333,-0.029099397534535,-0.00966183574879225,0.454545454545455,0,27,-39,-0.234619883040936,-0.124128377902472,0.0490145157322107,0.159983154742408,,1,0.363636363636364,0.5625
S1,assessment,WULF,not_supported,12,12,1,7,761,-10.8333333333333,-13.5,-11.2,-0.164890001777542,-0.205235338535112,0.0833333333333333,0,5,-23,-0.341467889908257,-0.24904226208574,-0.0702278083267871,0.0378315905338469,,1,0.25,1
