strategy,period,scope,group_type,group_value,status,blocker,trades,sessions,stocks,months,total_entry_debit,mean_net_pnl,median_net_pnl,trimmed_mean_net_pnl,mean_return_on_debit,median_return_on_debit,win_rate,full_loss_rate,maximum_gain,maximum_loss,return_p05,return_p25,return_p75,return_p95,matched_control_excess,maximum_stock_share,maximum_month_share,top_5pct_positive_pnl_contribution
S1,development,overall,overall,all,not_supported,,198,121,19,12,125377,-18.540404040404,-23,-24.44375,-0.123834037699531,-0.168740168740169,0.151515151515152,0,4779,-1213,-0.392477266464591,-0.285401688027509,-0.0819941348973608,0.260058488884826,,0.111111111111111,0.191919191919192,0.978890097932535
S1,development,subgroup,entry_dte_bin,10-12,not_supported,,79,51,17,12,59350.5,-49.2278481012658,-23,-28.0307692307692,-0.139815251507991,-0.151815181518152,0.126582278481013,0,1027,-1093,-0.367562053723223,-0.255691570093193,-0.0727559296482986,0.059997784424504,,0.10126582278481,0.227848101265823,0.979625101874491
S1,development,subgroup,entry_dte_bin,13-14,not_supported,,3,3,3,3,297.5,-16,-12,-16,-0.137519597687509,-0.161073825503356,0,0,-2.99999999999999,-33,-0.184379337224557,-0.174021332015134,-0.112794977267807,-0.0741718986793678,,0.333333333333333,0.333333333333333,
S1,development,subgroup,entry_dte_bin,7-9,not_supported,,116,68,18,12,65729,2.29310344827586,-21.5,-23.5851063829787,-0.112596343123392,-0.195121951219512,0.172413793103448,0,4779,-1213,-0.421052631578947,-0.320704928847423,-0.101467336242506,0.338456553578656,,0.112068965517241,0.172413793103448,0.978525681275901
S1,development,subgroup,previous_close_atm_iv_quartile,Q1,not_supported,,100,68,17,11,68180,-52.95,-23,-23.75,-0.107962875807606,-0.16075821288999,0.17,0,1027,-1093,-0.389115458804078,-0.254749755726848,-0.0706410779910167,0.25624300303868,,0.11,0.24,0.916372202591284
S1,development,subgroup,previous_close_atm_iv_quartile,Q2,not_supported,,98,79,19,12,57197,16.5714285714286,-22.5,-25.2625,-0.140029100854557,-0.179719529659243,0.13265306122449,0,4779,-1213,-0.392190152801358,-0.294216440178008,-0.0959020765630629,0.252719970792259,,0.122448979591837,0.142857142857143,0.993059263214095
S1,development,subgroup,spread_group,tight,not_supported,,82,63,18,12,44231,14.6829268292683,-23,-24.3939393939394,-0.154388267388551,-0.166910511106006,0.134146341463415,0,4779,-1093,-0.382704634099774,-0.288158609451385,-0.0768513119533528,0.0923782189268917,,0.121951219512195,0.207317073170732,0.993518871521159
S1,development,subgroup,spread_group,wide,not_supported,,116,84,17,12,81146,-42.0258620689655,-19.5,-25.0957446808511,-0.102235358091777,-0.170988825637782,0.163793103448276,0,2087,-1213,-0.421052631578947,-0.277222843970802,-0.0975825843028448,0.265131610375961,,0.163793103448276,0.181034482758621,0.966531440162272
S1,development,subgroup,large_underlying_movement,False,not_supported,,150,95,17,12,99330,-65.4266666666666,-23,-29.6666666666667,-0.205789368762088,-0.194648354250533,0.0733333333333333,0,1027,-1143,-0.405772495755518,-0.300653594771242,-0.127442973696339,0.0426974685628682,,0.106666666666667,0.206666666666667,0.992932862190813
S1,development,subgroup,large_underlying_movement,True,not_supported,,48,44,18,11,26047,127.979166666667,-5.49999999999999,4.7,0.132276371870959,-0.0686726303424595,0.395833333333333,0,4779,-1213,-0.379569687010356,-0.185370368476493,0.131402520783052,1.19176292791905,,0.125,0.166666666666667,0.895755770662696
