grouping,group,rows,sessions,stocks,registered_completions,actual_hidden_events,registered_completion_rate,actual_hidden_event_rate
pooled,all,960,154,20,233,369,0.242863830640994,0.384365177317469
decision_ordinal,6,233,111,20,47,95,0.201625649130729,0.407992774892752
decision_ordinal,12,727,150,20,186,274,0.256054502559823,0.376807523792711
year_month,2025-01,89,19,19,22,37,0.247191011235955,0.415730337078652
year_month,2025-02,97,19,19,24,38,0.247422680412371,0.391752577319588
year_month,2025-03,111,21,16,32,33,0.288352272727273,0.29782196969697
year_month,2025-04,91,19,19,16,43,0.178170754896368,0.471382392089751
year_month,2025-05,106,19,19,24,44,0.22651356993737,0.414405010438413
year_month,2025-06,153,20,20,27,54,0.176470588235294,0.352941176470588
year_month,2025-07,183,21,20,52,67,0.284153005464481,0.366120218579235
year_month,2025-08,130,16,20,36,53,0.276923076923077,0.407692307692308
symbol,AAL,136,104,1,33,47,0.242846094354215,0.345707656612529
symbol,AAOI,37,34,1,13,15,0.351351351351351,0.405405405405405
symbol,APLD,20,20,1,5,9,0.25,0.45
symbol,ASTS,31,28,1,6,12,0.193548387096774,0.387096774193548
symbol,CIFR,21,21,1,3,9,0.142105263157895,0.426315789473684
symbol,HIMS,34,32,1,9,7,0.262135922330097,0.203883495145631
symbol,IONQ,29,28,1,5,12,0.172413793103448,0.413793103448276
symbol,IREN,20,19,1,4,10,0.2,0.5
symbol,MARA,54,47,1,11,21,0.203703703703704,0.388888888888889
symbol,MP,64,57,1,18,25,0.281018898931799,0.391125718981101
symbol,MRNA,91,78,1,18,28,0.198151357596765,0.30791450028885
symbol,MSTR,74,62,1,17,27,0.22972972972973,0.364864864864865
symbol,NVTS,33,31,1,9,15,0.272292993630573,0.455414012738854
symbol,QBTS,22,22,1,7,12,0.316831683168317,0.54950495049505
symbol,RGTI,20,19,1,2,9,0.1,0.45
symbol,RIOT,45,41,1,13,16,0.288177339901478,0.354679802955665
symbol,RIVN,89,76,1,24,38,0.272227674190383,0.425711481844946
symbol,SMCI,46,40,1,11,23,0.239130434782609,0.5
symbol,SOFI,73,65,1,17,29,0.233074894093198,0.397889856925905
symbol,WULF,21,20,1,8,5,0.380952380952381,0.238095238095238
hidden_risk_group,high,190,100,20,47,100,0.247669407341749,0.525262096157961
hidden_risk_group,low,233,106,20,49,46,0.210431248588846,0.197561526303906
hidden_risk_group,middle,537,143,20,137,223,0.255220291400529,0.415229431671037
hidden_risk_quintile,1,187,90,20,37,30,0.197805289814294,0.160664040517727
hidden_risk_quintile,2,197,101,20,55,71,0.279148380974973,0.360277547147432
hidden_risk_quintile,3,234,115,20,58,96,0.248277583624563,0.410234648027958
hidden_risk_quintile,4,206,110,20,52,95,0.253433774178018,0.460309818470165
hidden_risk_quintile,5,136,84,20,31,77,0.226942473715702,0.565988546029575
registered_completion_within_12_bars,0.0,727,150,20,0,328,0,0.451358274513583
registered_completion_within_12_bars,1.0,233,107,20,233,41,1,0.175511941120513
actual_hidden_event_within_6_bars,False,591,144,20,192,0,0.325255039058257,0
actual_hidden_event_within_6_bars,True,369,130,20,41,369,0.11089844985764,1
