period,lookback_bars,precursor_kind,precursor_identity,target_semantic_loop_id,occurrences,eligible_events,prevalence,sessions,stocks,months,maximum_stock_share,maximum_month_share
assessment,3,hidden,OTHER_UNREGISTERED_FAMILY,loop_p_0-1-0,15,812,0.0184729064039409,13,7,7,0.333333333333333,0.333333333333333
assessment,3,hidden,OTHER_UNREGISTERED_FAMILY,loop_p_0-2-0,23,812,0.0283251231527094,19,11,7,0.217391304347826,0.260869565217391
assessment,3,hidden,OTHER_UNREGISTERED_FAMILY,loop_p_0-4-0,2,812,0.00246305418719212,2,2,2,0.5,0.5
assessment,3,hidden,OTHER_UNREGISTERED_FAMILY,loop_p_1-2-1,35,812,0.0431034482758621,25,14,8,0.142857142857143,0.257142857142857
assessment,3,hidden,OTHER_UNREGISTERED_FAMILY,loop_p_2-4-2,3,812,0.00369458128078818,3,3,2,0.333333333333333,0.666666666666667
assessment,3,hidden,OTHER_UNREGISTERED_FAMILY,loop_p_2-6-2,9,812,0.0110837438423645,7,7,5,0.333333333333333,0.222222222222222
assessment,3,hidden,OTHER_UNREGISTERED_FAMILY,loop_p_2-6-5-2,2,812,0.00246305418719212,2,2,2,0.5,0.5
assessment,3,hidden,OTHER_UNREGISTERED_FAMILY,loop_p_4-5-4,27,812,0.0332512315270936,18,12,6,0.222222222222222,0.259259259259259
assessment,3,hidden,OTHER_UNREGISTERED_FAMILY,loop_p_4-6-4,25,812,0.0307881773399015,18,12,7,0.24,0.2
assessment,3,hidden,OTHER_UNREGISTERED_FAMILY,loop_p_6-7-6,3,812,0.00369458128078818,2,2,2,0.666666666666667,0.666666666666667
assessment,3,hidden,OTHER_UNREGISTERED_FAMILY,loop_r2_0-1-0,1,812,0.00123152709359606,1,1,1,1,1
assessment,3,hidden,OTHER_UNREGISTERED_FAMILY,loop_r2_1-2-1,1,812,0.00123152709359606,1,1,1,1,1
assessment,3,hidden,OTHER_UNREGISTERED_FAMILY,loop_r2_4-5-4,4,812,0.00492610837438424,2,2,2,0.75,0.75
assessment,3,hidden,OTHER_UNREGISTERED_FAMILY,loop_r2_4-6-4,2,812,0.00246305418719212,2,2,2,0.5,0.5
assessment,3,hidden,unregistered_primitive_like__2-3-2,loop_p_0-1-0,1,812,0.00123152709359606,1,1,1,1,1
assessment,3,hidden,unregistered_primitive_like__2-3-2,loop_p_0-2-0,5,812,0.0061576354679803,2,3,2,0.4,0.6
assessment,3,hidden,unregistered_primitive_like__2-3-2,loop_p_1-2-1,2,812,0.00246305418719212,2,2,2,0.5,0.5
assessment,3,hidden,unregistered_primitive_like__2-5-2,loop_p_0-2-0,2,812,0.00246305418719212,1,1,1,1,1
assessment,3,hidden,unregistered_primitive_like__2-5-2,loop_p_4-5-4,1,812,0.00123152709359606,1,1,1,1,1
assessment,3,hidden,unregistered_primitive_like__4-7-4,loop_p_4-6-4,2,812,0.00246305418719212,1,1,1,1,1
assessment,3,hidden,unregistered_primitive_like__5-6-5,loop_p_0-2-0,1,812,0.00123152709359606,1,1,1,1,1
assessment,3,hidden,unregistered_primitive_like__5-6-5,loop_p_2-4-2,1,812,0.00123152709359606,1,1,1,1,1
assessment,3,hidden,unregistered_primitive_like__5-6-5,loop_p_2-5-6-2,3,812,0.00369458128078818,3,2,3,0.666666666666667,0.333333333333333
assessment,3,hidden,unregistered_primitive_like__5-6-5,loop_p_2-6-2,4,812,0.00492610837438424,4,4,3,0.25,0.5
assessment,3,hidden,unregistered_primitive_like__5-6-5,loop_p_2-6-5-2,1,812,0.00123152709359606,1,1,1,1,1
assessment,3,hidden,unregistered_primitive_like__5-6-5,loop_p_4-5-4,3,812,0.00369458128078818,3,3,3,0.333333333333333,0.333333333333333
assessment,3,hidden,unregistered_primitive_like__5-6-5,loop_p_4-6-4,1,812,0.00123152709359606,1,1,1,1,1
assessment,3,registered,loop_p_0-1-0,loop_p_0-1-0,18,812,0.0221674876847291,11,9,6,0.277777777777778,0.555555555555556
assessment,3,registered,loop_p_0-1-0,loop_p_1-2-1,3,812,0.00369458128078818,3,2,3,0.666666666666667,0.333333333333333
assessment,3,registered,loop_p_0-1-0,loop_r2_0-1-0,5,812,0.0061576354679803,4,3,2,0.4,0.8
assessment,3,registered,loop_p_0-2-0,loop_p_0-2-0,13,812,0.0160098522167488,10,5,6,0.461538461538462,0.384615384615385
assessment,3,registered,loop_p_0-4-0,loop_p_0-4-0,1,812,0.00123152709359606,1,1,1,1,1
