decision_ordinal,lookback_bars,precursor_type,events,observed_prevalence,mean_null_prevalence,enrichment
12,3,same_registered_identity,668,0.194610778443114,0.0265868263473054,0.168023952095808
12,3,same_registered_broad_family_different_identity,668,0.0134730538922156,0.0297005988023952,-0.0162275449101796
12,3,different_registered_broad_family,668,0.0359281437125748,0.00431137724550898,0.0316167664670659
12,3,any_prior_registered_completion,668,0.236526946107784,0.0578443113772455,0.178682634730539
12,3,hidden_5_6_5,668,0.0164670658682635,0.0373053892215569,-0.0208383233532934
12,3,hidden_2_3_2,668,0.0119760479041916,0.0392814371257485,-0.0273053892215569
12,3,hidden_2_5_2,668,0.00449101796407186,0.00766467065868264,-0.00317365269461078
12,3,hidden_4_7_4,668,0,0.00820359281437126,-0.00820359281437126
12,3,hidden_other_unregistered_family,668,0.215568862275449,0.150838323353293,0.0647305389221557
12,3,any_hidden_unregistered_completion,668,0.238023952095808,0.213592814371258,0.0244311377245509
12,3,active_prefix_immediately_before_completion,668,1,0.835988023952096,0.164011976047904
12,3,active_prefix_any,668,1,0.919640718562874,0.0803592814371258
12,3,matching_prefix_any,668,1,0.49377245508982,0.50622754491018
12,3,other_prefix_any,668,0.994011976047904,0.914850299401198,0.0791616766467066
12,3,any_regime_transition,668,0.745508982035928,0.468922155688623,0.276586826347305
12,3,no_identified_structural_precursor,668,0,0.0573652694610778,-0.0573652694610778
12,6,same_registered_identity,668,0.252994011976048,0.0355688622754491,0.217425149700599
12,6,same_registered_broad_family_different_identity,668,0.0269461077844311,0.051497005988024,-0.0245508982035928
12,6,different_registered_broad_family,668,0.0508982035928144,0.00664670658682635,0.044251497005988
12,6,any_prior_registered_completion,668,0.308383233532934,0.088502994011976,0.219880239520958
12,6,hidden_5_6_5,668,0.0523952095808383,0.0756287425149701,-0.0232335329341317
12,6,hidden_2_3_2,668,0.029940119760479,0.0604790419161677,-0.0305389221556886
12,6,hidden_2_5_2,668,0.0134730538922156,0.0126347305389222,0.000838323353293412
12,6,hidden_4_7_4,668,0,0.0127544910179641,-0.0127544910179641
12,6,hidden_other_unregistered_family,668,0.284431137724551,0.220179640718563,0.064251497005988
12,6,any_hidden_unregistered_completion,668,0.344311377245509,0.327005988023952,0.0173053892215568
12,6,active_prefix_immediately_before_completion,668,1,0.835988023952096,0.164011976047904
12,6,active_prefix_any,668,1,0.971796407185629,0.0282035928143713
12,6,matching_prefix_any,668,1,0.584251497005988,0.415748502994012
12,6,other_prefix_any,668,0.998502994011976,0.967604790419162,0.0308982035928144
12,6,any_regime_transition,668,0.917664670658683,0.682934131736527,0.234730538922156
12,6,no_identified_structural_precursor,668,0,0.0194011976047904,-0.0194011976047904
12,12,same_registered_identity,668,0.281437125748503,0.0401796407185629,0.24125748502994
12,12,same_registered_broad_family_different_identity,668,0.0449101796407186,0.0750299401197605,-0.0301197604790419
12,12,different_registered_broad_family,668,0.0538922155688623,0.00766467065868264,0.0462275449101796
12,12,any_prior_registered_completion,668,0.354790419161677,0.116586826347305,0.238203592814371
12,12,hidden_5_6_5,668,0.143712574850299,0.144730538922156,-0.00101796407185631
12,12,hidden_2_3_2,668,0.0538922155688623,0.0794610778443114,-0.0255688622754491
12,12,hidden_2_5_2,668,0.0239520958083832,0.0195209580838323,0.0044311377245509
12,12,hidden_4_7_4,668,0.00598802395209581,0.017185628742515,-0.0111976047904192
12,12,hidden_other_unregistered_family,668,0.344311377245509,0.270179640718563,0.0741317365269462
12,12,any_hidden_unregistered_completion,668,0.461077844311377,0.430419161676647,0.0306586826347305
12,12,active_prefix_immediately_before_completion,668,1,0.835988023952096,0.164011976047904
12,12,active_prefix_any,668,1,0.997065868263473,0.00293413173652679
12,12,matching_prefix_any,668,1,0.694131736526946,0.305868263473054
12,12,other_prefix_any,668,1,0.993532934131737,0.0064670658682634
12,12,any_regime_transition,668,0.994011976047904,0.863413173652695,0.130598802395209
12,12,no_identified_structural_precursor,668,0,0.00203592814371258,-0.00203592814371258
