record_type,draw,metric,interval_level,value,lower,upper,matched_relation_rows,matched_relation_weighted_rows,matched_treated_rows,matched_treated_weighted_rows
draw,0,C1_minus_C0_log_loss_improvement,,0.0003861529026946,,,36,62,5,9
draw,0,C1_minus_C0_brier_improvement,,-8.4107921060339e-05,,,36,62,5,9
draw,0,C1_minus_C0_top_two_change,,-0.0006856166437154,,,36,62,5,9
draw,0,C2_minus_C1_log_loss_improvement,,0.0011708666198567,,,36,62,5,9
draw,0,C2_minus_C1_brier_improvement,,-0.0002266177306645,,,36,62,5,9
draw,0,C2_minus_C1_top_two_change,,0.0006805753448646,,,36,62,5,9
draw,0,A_hidden_5_6_5_to_target_a_probability_effect,,-0.0011001282290089,,,36,62,5,9
draw,0,B_hidden_5_6_5_to_target_b_probability_effect,,-0.0007409426272562,,,36,62,5,9
draw,0,C_recent_4_6_4_to_target_c_probability_effect,,0.168716257314665,,,36,62,5,9
draw,0,D_hidden_2_3_2_to_any_registered_probability_effect,,-0.0095562282672901,,,36,62,5,9
draw,0,candidate_level_any_registered_rate,,0.222544157797961,,,36,62,5,9
draw,1,C1_minus_C0_log_loss_improvement,,0.0057878598777696,,,31,73,5,12
draw,1,C1_minus_C0_brier_improvement,,0.0030752979581015,,,31,73,5,12
draw,1,C1_minus_C0_top_two_change,,0.0033128269797719,,,31,73,5,12
draw,1,C2_minus_C1_log_loss_improvement,,-0.0003618875440934,,,31,73,5,12
draw,1,C2_minus_C1_brier_improvement,,-0.0003825680437092,,,31,73,5,12
draw,1,C2_minus_C1_top_two_change,,-0.0014570303846219,,,31,73,5,12
draw,1,A_hidden_5_6_5_to_target_a_probability_effect,,-0.0013146140514118,,,31,73,5,12
draw,1,B_hidden_5_6_5_to_target_b_probability_effect,,-0.0008936924609572,,,31,73,5,12
draw,1,C_recent_4_6_4_to_target_c_probability_effect,,0.175362046093534,,,31,73,5,12
draw,1,D_hidden_2_3_2_to_any_registered_probability_effect,,-0.0093113773554666,,,31,73,5,12
draw,1,candidate_level_any_registered_rate,,0.239532386973637,,,31,73,5,12
draw,2,C1_minus_C0_log_loss_improvement,,0.0047302494211718,,,25,41,3,5
draw,2,C1_minus_C0_brier_improvement,,0.0017425073615291,,,25,41,3,5
draw,2,C1_minus_C0_top_two_change,,-0.0004179218590806,,,25,41,3,5
draw,2,C2_minus_C1_log_loss_improvement,,0.0008083307805071,,,25,41,3,5
draw,2,C2_minus_C1_brier_improvement,,-0.0002116579890404,,,25,41,3,5
draw,2,C2_minus_C1_top_two_change,,0.0006522479881604,,,25,41,3,5
draw,2,A_hidden_5_6_5_to_target_a_probability_effect,,-0.0010520884433504,,,25,41,3,5
draw,2,B_hidden_5_6_5_to_target_b_probability_effect,,-0.0007820257207806,,,25,41,3,5
draw,2,C_recent_4_6_4_to_target_c_probability_effect,,0.16875488977119,,,25,41,3,5
draw,2,D_hidden_2_3_2_to_any_registered_probability_effect,,-0.0096856884437035,,,25,41,3,5
draw,2,candidate_level_any_registered_rate,,0.229467538477969,,,25,41,3,5
draw,3,C1_minus_C0_log_loss_improvement,,0.0053943048051956,,,17,17,2,2
draw,3,C1_minus_C0_brier_improvement,,0.0021706944993165,,,17,17,2,2
draw,3,C1_minus_C0_top_two_change,,0.0016735764009973,,,17,17,2,2
draw,3,C2_minus_C1_log_loss_improvement,,-0.0008206121936668,,,17,17,2,2
draw,3,C2_minus_C1_brier_improvement,,-0.000223347808184,,,17,17,2,2
draw,3,C2_minus_C1_top_two_change,,-0.0003680886512459,,,17,17,2,2
draw,3,A_hidden_5_6_5_to_target_a_probability_effect,,-0.0007693990322355,,,17,17,2,2
draw,3,B_hidden_5_6_5_to_target_b_probability_effect,,-0.0006865103631192,,,17,17,2,2
draw,3,C_recent_4_6_4_to_target_c_probability_effect,,0.167320610225052,,,17,17,2,2
