scope,gate,value,passed
assessment,assessment_candidate_rows,960,True
assessment,assessment_candidate_sessions,154,True
assessment,assessment_candidate_stocks,20,True
assessment,assessment_registered_candidates,233,True
assessment,assessment_sequential_rows,6189,True
assessment,assessment_rows_after_hidden_event,1439,True
assessment,maximum_candidate_stock_share,0.141666666666667,False
assessment,maximum_weighted_stock_share,0.141501346676475,False
assessment,maximum_weighted_target_class_share,0.787796748694797,True
assessment_support,candidate_rows_at_least_850,1,True
assessment_support,candidate_sessions_at_least_140,1,True
assessment_support,candidate_stocks_at_least_15,1,True
assessment_support,registered_candidates_at_least_180,1,True
assessment_support,sequential_rows_at_least_4000,1,True
assessment_support,rows_after_hidden_event_at_least_150,1,True
assessment_support,no_stock_above_10pct_candidate_rows,0,False
assessment_support,no_stock_above_10pct_weighted_rows,0,False
assessment_support,no_target_class_above_85pct_weighted_rows,1,True
exact_target_assessment_support,loop_p_2-5-6-2,19,False
exact_target_assessment_support,loop_p_2-6-2,25,False
exact_target_assessment_support,loop_p_4-6-4,30,False
