record_type,period,hypothesis_id,lookback_bars,draw,observed_prevalence,null_prevalence,enrichment,matched_events,mean_null_prevalence,null_percentile,null_10th_percentile,null_90th_percentile
draw,development,H3,6,0,0.300492610837438,0.0246305418719212,0.275862068965517,203,,,,
draw,development,H4,6,0,0.0421393841166937,0.104538087520259,-0.0623987034035656,2468,,,,
draw,assessment,H3,6,0,0.292887029288703,0.0292887029288703,0.263598326359833,239,,,,
draw,assessment,H4,6,0,0.0376789751318764,0.0693293142426526,-0.0316503391107762,1327,,,,
draw,development,H3,6,1,0.300492610837438,0.0443349753694581,0.25615763546798,203,,,,
draw,development,H4,6,1,0.0421393841166937,0.0919773095623987,-0.049837925445705,2468,,,,
draw,assessment,H3,6,1,0.292887029288703,0.0167364016736402,0.276150627615063,239,,,,
draw,assessment,H4,6,1,0.0376789751318764,0.0806330067822155,-0.0429540316503391,1327,,,,
draw,development,H3,6,2,0.300492610837438,0.0344827586206897,0.266009852216749,203,,,,
draw,development,H4,6,2,0.0421393841166937,0.111831442463533,-0.0696920583468396,2468,,,,
draw,assessment,H3,6,2,0.292887029288703,0.0334728033472803,0.259414225941423,239,,,,
draw,assessment,H4,6,2,0.0376789751318764,0.0768651092690279,-0.0391861341371515,1327,,,,
draw,development,H3,6,3,0.300492610837438,0.0394088669950739,0.261083743842365,203,,,,
draw,development,H4,6,3,0.0421393841166937,0.102512155591572,-0.0603727714748784,2468,,,,
draw,assessment,H3,6,3,0.292887029288703,0.0376569037656904,0.255230125523013,239,,,,
draw,assessment,H4,6,3,0.0376789751318764,0.0746043707611153,-0.0369253956292389,1327,,,,
draw,development,H3,6,4,0.300492610837438,0.0394088669950739,0.261083743842365,203,,,,
draw,development,H4,6,4,0.0421393841166937,0.0972447325769854,-0.0551053484602917,2468,,,,
draw,assessment,H3,6,4,0.292887029288703,0.0543933054393305,0.238493723849372,239,,,,
draw,assessment,H4,6,4,0.0376789751318764,0.0640542577241899,-0.0263752825923135,1327,,,,
draw,development,H3,6,5,0.300492610837438,0.0197044334975369,0.280788177339902,203,,,,
draw,development,H4,6,5,0.0421393841166937,0.104538087520259,-0.0623987034035656,2468,,,,
draw,assessment,H3,6,5,0.292887029288703,0.0251046025104603,0.267782426778243,239,,,,
draw,assessment,H4,6,5,0.0376789751318764,0.0806330067822155,-0.0429540316503391,1327,,,,
draw,development,H3,6,6,0.300492610837438,0.0443349753694581,0.25615763546798,203,,,,
draw,development,H4,6,6,0.0421393841166937,0.108589951377634,-0.06645056726094,2468,,,,
draw,assessment,H3,6,6,0.292887029288703,0.0543933054393305,0.238493723849372,239,,,,
draw,assessment,H4,6,6,0.0376789751318764,0.0851544837980407,-0.0474755086661643,1327,,,,
draw,development,H3,6,7,0.300492610837438,0.0295566502463054,0.270935960591133,203,,,,
draw,development,H4,6,7,0.0421393841166937,0.103322528363047,-0.0611831442463533,2468,,,,
draw,assessment,H3,6,7,0.292887029288703,0.0376569037656904,0.255230125523013,239,,,,
draw,assessment,H4,6,7,0.0376789751318764,0.06706857573474,-0.0293896006028636,1327,,,,
draw,development,H3,6,8,0.300492610837438,0.0541871921182266,0.246305418719212,203,,,,
draw,development,H4,6,8,0.0421393841166937,0.106969205834684,-0.0648298217179903,2468,,,,
draw,assessment,H3,6,8,0.292887029288703,0.0251046025104603,0.267782426778243,239,,,,
draw,assessment,H4,6,8,0.0376789751318764,0.079879427279578,-0.0422004521477016,1327,,,,
draw,development,H3,6,9,0.300492610837438,0.0492610837438424,0.251231527093596,203,,,,
draw,development,H4,6,9,0.0421393841166937,0.0996758508914101,-0.0575364667747164,2468,,,,
draw,assessment,H3,6,9,0.292887029288703,0.0292887029288703,0.263598326359833,239,,,,
draw,assessment,H4,6,9,0.0376789751318764,0.0828937452901281,-0.0452147701582517,1327,,,,
draw,development,H3,6,10,0.300492610837438,0.0295566502463054,0.270935960591133,203,,,,
draw,development,H4,6,10,0.0421393841166937,0.104132901134522,-0.0619935170178282,2468,,,,
draw,assessment,H3,6,10,0.292887029288703,0.0794979079497908,0.213389121338912,239,,,,
draw,assessment,H4,6,10,0.0376789751318764,0.0753579502637528,-0.0376789751318764,1327,,,,
draw,development,H3,6,11,0.300492610837438,0.0394088669950739,0.261083743842365,203,,,,
draw,development,H4,6,11,0.0421393841166937,0.0956239870340357,-0.053484602917342,2468,,,,
draw,assessment,H3,6,11,0.292887029288703,0.0251046025104603,0.267782426778243,239,,,,
draw,assessment,H4,6,11,0.0376789751318764,0.0723436322532027,-0.0346646571213263,1327,,,,
draw,development,H3,6,12,0.300492610837438,0.0147783251231527,0.285714285714286,203,,,,
draw,development,H4,6,12,0.0421393841166937,0.0964343598055105,-0.0542949756888169,2468,,,,
draw,assessment,H3,6,12,0.292887029288703,0.0334728033472803,0.259414225941423,239,,,,
draw,assessment,H4,6,12,0.0376789751318764,0.0776186887716654,-0.039939713639789,1327,,,,
draw,development,H3,6,13,0.300492610837438,0.0344827586206897,0.266009852216749,203,,,,
draw,development,H4,6,13,0.0421393841166937,0.0952188006482982,-0.0530794165316045,2468,,,,
draw,assessment,H3,6,13,0.292887029288703,0.0669456066945607,0.225941422594142,239,,,,
draw,assessment,H4,6,13,0.0376789751318764,0.0783722682743029,-0.0406932931424265,1327,,,,
draw,development,H3,6,14,0.300492610837438,0.0344827586206897,0.266009852216749,203,,,,
draw,development,H4,6,14,0.0421393841166937,0.0980551053484603,-0.0559157212317666,2468,,,,
draw,assessment,H3,6,14,0.292887029288703,0.0292887029288703,0.263598326359833,239,,,,
draw,assessment,H4,6,14,0.0376789751318764,0.0761115297663904,-0.0384325546345139,1327,,,,
draw,development,H3,6,15,0.300492610837438,0.0443349753694581,0.25615763546798,203,,,,
draw,development,H4,6,15,0.0421393841166937,0.102106969205835,-0.059967585089141,2468,,,,
draw,assessment,H3,6,15,0.292887029288703,0.0292887029288703,0.263598326359833,239,,,,
draw,assessment,H4,6,15,0.0376789751318764,0.0761115297663904,-0.0384325546345139,1327,,,,
draw,development,H3,6,16,0.300492610837438,0.0295566502463054,0.270935960591133,203,,,,
draw,development,H4,6,16,0.0421393841166937,0.105348460291734,-0.0632090761750405,2468,,,,
draw,assessment,H3,6,16,0.292887029288703,0.0460251046025105,0.246861924686192,239,,,,
draw,assessment,H4,6,16,0.0376789751318764,0.0836473247927656,-0.0459683496608892,1327,,,,
draw,development,H3,6,17,0.300492610837438,0.0640394088669951,0.236453201970443,203,,,,
draw,development,H4,6,17,0.0421393841166937,0.109400324149109,-0.0672609400324149,2468,,,,
draw,assessment,H3,6,17,0.292887029288703,0.0209205020920502,0.271966527196653,239,,,,
draw,assessment,H4,6,17,0.0376789751318764,0.0866616428033157,-0.0489826676714393,1327,,,,
draw,development,H3,6,18,0.300492610837438,0.0541871921182266,0.246305418719212,203,,,,
draw,development,H4,6,18,0.0421393841166937,0.104132901134522,-0.0619935170178282,2468,,,,
draw,assessment,H3,6,18,0.292887029288703,0.0334728033472803,0.259414225941423,239,,,,
draw,assessment,H4,6,18,0.0376789751318764,0.0663149962321025,-0.0286360211002261,1327,,,,
draw,development,H3,6,19,0.300492610837438,0.0197044334975369,0.280788177339902,203,,,,
draw,development,H4,6,19,0.0421393841166937,0.0952188006482982,-0.0530794165316045,2468,,,,
draw,assessment,H3,6,19,0.292887029288703,0.0543933054393305,0.238493723849372,239,,,,
draw,assessment,H4,6,19,0.0376789751318764,0.0768651092690279,-0.0391861341371515,1327,,,,
draw,development,H3,6,20,0.300492610837438,0.0295566502463054,0.270935960591133,203,,,,
draw,development,H4,6,20,0.0421393841166937,0.096839546191248,-0.0547001620745543,2468,,,,
draw,assessment,H3,6,20,0.292887029288703,0.0502092050209205,0.242677824267782,239,,,,
draw,assessment,H4,6,20,0.0376789751318764,0.0896759608138659,-0.0519969856819894,1327,,,,
draw,development,H3,6,21,0.300492610837438,0.0246305418719212,0.275862068965517,203,,,,
draw,development,H4,6,21,0.0421393841166937,0.104538087520259,-0.0623987034035656,2468,,,,
draw,assessment,H3,6,21,0.292887029288703,0.0418410041841004,0.251046025104602,239,,,,
draw,assessment,H4,6,21,0.0376789751318764,0.0813865862848531,-0.0437076111529766,1327,,,,
draw,development,H3,6,22,0.300492610837438,0.0344827586206897,0.266009852216749,203,,,,
draw,development,H4,6,22,0.0421393841166937,0.101701782820097,-0.0595623987034036,2468,,,,
draw,assessment,H3,6,22,0.292887029288703,0.0167364016736402,0.276150627615063,239,,,,
draw,assessment,H4,6,22,0.0376789751318764,0.0828937452901281,-0.0452147701582517,1327,,,,
draw,development,H3,6,23,0.300492610837438,0.0197044334975369,0.280788177339902,203,,,,
draw,development,H4,6,23,0.0421393841166937,0.096839546191248,-0.0547001620745543,2468,,,,
draw,assessment,H3,6,23,0.292887029288703,0.0376569037656904,0.255230125523013,239,,,,
draw,assessment,H4,6,23,0.0376789751318764,0.0700828937452901,-0.0324039186134137,1327,,,,
draw,development,H3,6,24,0.300492610837438,0.0295566502463054,0.270935960591133,203,,,,
draw,development,H4,6,24,0.0421393841166937,0.0984602917341977,-0.0563209076175041,2468,,,,
draw,assessment,H3,6,24,0.292887029288703,0.0292887029288703,0.263598326359833,239,,,,
draw,assessment,H4,6,24,0.0376789751318764,0.0776186887716654,-0.039939713639789,1327,,,,
draw,development,H1,12,0,0.490740740740741,0.222222222222222,0.268518518518519,108,,,,
draw,development,H2,12,0,0.304,0.28,0.024,125,,,,
draw,development,H3,12,0,0.350785340314136,0.0471204188481675,0.303664921465969,191,,,,
draw,assessment,H1,12,0,0.423076923076923,0.25,0.173076923076923,52,,,,
draw,assessment,H2,12,0,0.352941176470588,0.176470588235294,0.176470588235294,85,,,,
draw,assessment,H3,12,0,0.39047619047619,0.0666666666666667,0.323809523809524,210,,,,
draw,development,H1,12,1,0.490740740740741,0.148148148148148,0.342592592592593,108,,,,
draw,development,H2,12,1,0.304,0.232,0.072,125,,,,
draw,development,H3,12,1,0.350785340314136,0.0942408376963351,0.256544502617801,191,,,,
draw,assessment,H1,12,1,0.423076923076923,0.25,0.173076923076923,52,,,,
draw,assessment,H2,12,1,0.352941176470588,0.211764705882353,0.141176470588235,85,,,,
draw,assessment,H3,12,1,0.39047619047619,0.0571428571428571,0.333333333333333,210,,,,
draw,development,H1,12,2,0.490740740740741,0.240740740740741,0.25,108,,,,
draw,development,H2,12,2,0.304,0.224,0.08,125,,,,
draw,development,H3,12,2,0.350785340314136,0.0575916230366492,0.293193717277487,191,,,,
draw,assessment,H1,12,2,0.423076923076923,0.230769230769231,0.192307692307692,52,,,,
draw,assessment,H2,12,2,0.352941176470588,0.141176470588235,0.211764705882353,85,,,,
draw,assessment,H3,12,2,0.39047619047619,0.0666666666666667,0.323809523809524,210,,,,
draw,development,H1,12,3,0.490740740740741,0.194444444444444,0.296296296296296,108,,,,
draw,development,H2,12,3,0.304,0.2,0.104,125,,,,
draw,development,H3,12,3,0.350785340314136,0.0575916230366492,0.293193717277487,191,,,,
draw,assessment,H1,12,3,0.423076923076923,0.288461538461538,0.134615384615385,52,,,,
draw,assessment,H2,12,3,0.352941176470588,0.211764705882353,0.141176470588235,85,,,,
draw,assessment,H3,12,3,0.39047619047619,0.0333333333333333,0.357142857142857,210,,,,
draw,development,H1,12,4,0.490740740740741,0.231481481481481,0.259259259259259,108,,,,
draw,development,H2,12,4,0.304,0.216,0.088,125,,,,
draw,development,H3,12,4,0.350785340314136,0.031413612565445,0.319371727748691,191,,,,
draw,assessment,H1,12,4,0.423076923076923,0.230769230769231,0.192307692307692,52,,,,
draw,assessment,H2,12,4,0.352941176470588,0.2,0.152941176470588,85,,,,
draw,assessment,H3,12,4,0.39047619047619,0.0476190476190476,0.342857142857143,210,,,,
draw,development,H1,12,5,0.490740740740741,0.175925925925926,0.314814814814815,108,,,,
draw,development,H2,12,5,0.304,0.24,0.064,125,,,,
draw,development,H3,12,5,0.350785340314136,0.0575916230366492,0.293193717277487,191,,,,
draw,assessment,H1,12,5,0.423076923076923,0.134615384615385,0.288461538461538,52,,,,
draw,assessment,H2,12,5,0.352941176470588,0.176470588235294,0.176470588235294,85,,,,
draw,assessment,H3,12,5,0.39047619047619,0.0666666666666667,0.323809523809524,210,,,,
draw,development,H1,12,6,0.490740740740741,0.277777777777778,0.212962962962963,108,,,,
draw,development,H2,12,6,0.304,0.256,0.048,125,,,,
draw,development,H3,12,6,0.350785340314136,0.0418848167539267,0.308900523560209,191,,,,
draw,assessment,H1,12,6,0.423076923076923,0.25,0.173076923076923,52,,,,
draw,assessment,H2,12,6,0.352941176470588,0.235294117647059,0.117647058823529,85,,,,
draw,assessment,H3,12,6,0.39047619047619,0.0714285714285714,0.319047619047619,210,,,,
draw,development,H1,12,7,0.490740740740741,0.194444444444444,0.296296296296296,108,,,,
draw,development,H2,12,7,0.304,0.248,0.056,125,,,,
draw,development,H3,12,7,0.350785340314136,0.0471204188481675,0.303664921465969,191,,,,
draw,assessment,H1,12,7,0.423076923076923,0.288461538461538,0.134615384615385,52,,,,
draw,assessment,H2,12,7,0.352941176470588,0.164705882352941,0.188235294117647,85,,,,
draw,assessment,H3,12,7,0.39047619047619,0.0666666666666667,0.323809523809524,210,,,,
draw,development,H1,12,8,0.490740740740741,0.268518518518519,0.222222222222222,108,,,,
draw,development,H2,12,8,0.304,0.256,0.048,125,,,,
draw,development,H3,12,8,0.350785340314136,0.0471204188481675,0.303664921465969,191,,,,
draw,assessment,H1,12,8,0.423076923076923,0.307692307692308,0.115384615384615,52,,,,
draw,assessment,H2,12,8,0.352941176470588,0.270588235294118,0.0823529411764706,85,,,,
draw,assessment,H3,12,8,0.39047619047619,0.0571428571428571,0.333333333333333,210,,,,
draw,development,H1,12,9,0.490740740740741,0.185185185185185,0.305555555555556,108,,,,
draw,development,H2,12,9,0.304,0.288,0.016,125,,,,
draw,development,H3,12,9,0.350785340314136,0.031413612565445,0.319371727748691,191,,,,
draw,assessment,H1,12,9,0.423076923076923,0.211538461538462,0.211538461538462,52,,,,
draw,assessment,H2,12,9,0.352941176470588,0.176470588235294,0.176470588235294,85,,,,
draw,assessment,H3,12,9,0.39047619047619,0.0476190476190476,0.342857142857143,210,,,,
draw,development,H1,12,10,0.490740740740741,0.277777777777778,0.212962962962963,108,,,,
draw,development,H2,12,10,0.304,0.184,0.12,125,,,,
draw,development,H3,12,10,0.350785340314136,0.06282722513089,0.287958115183246,191,,,,
draw,assessment,H1,12,10,0.423076923076923,0.25,0.173076923076923,52,,,,
draw,assessment,H2,12,10,0.352941176470588,0.223529411764706,0.129411764705882,85,,,,
draw,assessment,H3,12,10,0.39047619047619,0.0476190476190476,0.342857142857143,210,,,,
draw,development,H1,12,11,0.490740740740741,0.259259259259259,0.231481481481482,108,,,,
draw,development,H2,12,11,0.304,0.216,0.088,125,,,,
draw,development,H3,12,11,0.350785340314136,0.0471204188481675,0.303664921465969,191,,,,
draw,assessment,H1,12,11,0.423076923076923,0.230769230769231,0.192307692307692,52,,,,
draw,assessment,H2,12,11,0.352941176470588,0.117647058823529,0.235294117647059,85,,,,
draw,assessment,H3,12,11,0.39047619047619,0.0476190476190476,0.342857142857143,210,,,,
draw,development,H1,12,12,0.490740740740741,0.277777777777778,0.212962962962963,108,,,,
draw,development,H2,12,12,0.304,0.28,0.024,125,,,,
draw,development,H3,12,12,0.350785340314136,0.031413612565445,0.319371727748691,191,,,,
draw,assessment,H1,12,12,0.423076923076923,0.403846153846154,0.0192307692307692,52,,,,
draw,assessment,H2,12,12,0.352941176470588,0.152941176470588,0.2,85,,,,
draw,assessment,H3,12,12,0.39047619047619,0.0571428571428571,0.333333333333333,210,,,,
draw,development,H1,12,13,0.490740740740741,0.259259259259259,0.231481481481482,108,,,,
draw,development,H2,12,13,0.304,0.216,0.088,125,,,,
draw,development,H3,12,13,0.350785340314136,0.0418848167539267,0.308900523560209,191,,,,
draw,assessment,H1,12,13,0.423076923076923,0.153846153846154,0.269230769230769,52,,,,
draw,assessment,H2,12,13,0.352941176470588,0.2,0.152941176470588,85,,,,
draw,assessment,H3,12,13,0.39047619047619,0.0666666666666667,0.323809523809524,210,,,,
draw,development,H1,12,14,0.490740740740741,0.268518518518519,0.222222222222222,108,,,,
draw,development,H2,12,14,0.304,0.152,0.152,125,,,,
draw,development,H3,12,14,0.350785340314136,0.0523560209424084,0.298429319371728,191,,,,
draw,assessment,H1,12,14,0.423076923076923,0.173076923076923,0.25,52,,,,
draw,assessment,H2,12,14,0.352941176470588,0.188235294117647,0.164705882352941,85,,,,
draw,assessment,H3,12,14,0.39047619047619,0.0761904761904762,0.314285714285714,210,,,,
draw,development,H1,12,15,0.490740740740741,0.259259259259259,0.231481481481482,108,,,,
draw,development,H2,12,15,0.304,0.272,0.032,125,,,,
draw,development,H3,12,15,0.350785340314136,0.0418848167539267,0.308900523560209,191,,,,
draw,assessment,H1,12,15,0.423076923076923,0.269230769230769,0.153846153846154,52,,,,
draw,assessment,H2,12,15,0.352941176470588,0.258823529411765,0.0941176470588235,85,,,,
draw,assessment,H3,12,15,0.39047619047619,0.0571428571428571,0.333333333333333,210,,,,
draw,development,H1,12,16,0.490740740740741,0.194444444444444,0.296296296296296,108,,,,
draw,development,H2,12,16,0.304,0.192,0.112,125,,,,
draw,development,H3,12,16,0.350785340314136,0.0523560209424084,0.298429319371728,191,,,,
draw,assessment,H1,12,16,0.423076923076923,0.365384615384615,0.0576923076923077,52,,,,
draw,assessment,H2,12,16,0.352941176470588,0.235294117647059,0.117647058823529,85,,,,
draw,assessment,H3,12,16,0.39047619047619,0.0571428571428571,0.333333333333333,210,,,,
draw,development,H1,12,17,0.490740740740741,0.259259259259259,0.231481481481482,108,,,,
draw,development,H2,12,17,0.304,0.184,0.12,125,,,,
draw,development,H3,12,17,0.350785340314136,0.0732984293193717,0.277486910994764,191,,,,
draw,assessment,H1,12,17,0.423076923076923,0.269230769230769,0.153846153846154,52,,,,
draw,assessment,H2,12,17,0.352941176470588,0.152941176470588,0.2,85,,,,
draw,assessment,H3,12,17,0.39047619047619,0.0428571428571429,0.347619047619048,210,,,,
draw,development,H1,12,18,0.490740740740741,0.203703703703704,0.287037037037037,108,,,,
draw,development,H2,12,18,0.304,0.224,0.08,125,,,,
draw,development,H3,12,18,0.350785340314136,0.0785340314136126,0.272251308900524,191,,,,
draw,assessment,H1,12,18,0.423076923076923,0.288461538461538,0.134615384615385,52,,,,
draw,assessment,H2,12,18,0.352941176470588,0.247058823529412,0.105882352941176,85,,,,
draw,assessment,H3,12,18,0.39047619047619,0.0428571428571429,0.347619047619048,210,,,,
draw,development,H1,12,19,0.490740740740741,0.259259259259259,0.231481481481482,108,,,,
draw,development,H2,12,19,0.304,0.24,0.064,125,,,,
draw,development,H3,12,19,0.350785340314136,0.0523560209424084,0.298429319371728,191,,,,
draw,assessment,H1,12,19,0.423076923076923,0.153846153846154,0.269230769230769,52,,,,
draw,assessment,H2,12,19,0.352941176470588,0.129411764705882,0.223529411764706,85,,,,
draw,assessment,H3,12,19,0.39047619047619,0.0523809523809524,0.338095238095238,210,,,,
draw,development,H1,12,20,0.490740740740741,0.314814814814815,0.175925925925926,108,,,,
draw,development,H2,12,20,0.304,0.208,0.096,125,,,,
draw,development,H3,12,20,0.350785340314136,0.0732984293193717,0.277486910994764,191,,,,
draw,assessment,H1,12,20,0.423076923076923,0.153846153846154,0.269230769230769,52,,,,
draw,assessment,H2,12,20,0.352941176470588,0.141176470588235,0.211764705882353,85,,,,
draw,assessment,H3,12,20,0.39047619047619,0.0523809523809524,0.338095238095238,210,,,,
draw,development,H1,12,21,0.490740740740741,0.240740740740741,0.25,108,,,,
draw,development,H2,12,21,0.304,0.28,0.024,125,,,,
