period,route_resolution_state,advance_eligible_rows,positive_outcomes,completion_rate,sessions,stocks,months,inference_supported,A1_minus_A0_log_loss_improvement,A1_minus_A0_brier_improvement,mean_active_prefix_count,mean_active_prefix_family_count,mean_top_prefix_depth_fraction,mean_second_prefix_depth_fraction,mean_top_minus_second_prefix_depth,mean_prefix_family_entropy,mean_orientation_disagreement_fraction,mean_active_prefix_count_change_last_3_bars
development,BROAD_CONFLICT,9500,376,0.0524787869794813,242,20,12,False,-0.00506909570775316,-0.000711266138030728,9.80210526315789,3,0,0,0,0.978356462642887,0,4.22821052631579
development,NARROWING,1275,13,0.0118654332203669,223,20,12,False,-0.00112334194610421,-0.000110743977126465,5.04862745098039,2.00313725490196,0.333333333333333,0,0.333333333333333,0.500185030150144,0.198806213394449,-1.36705882352941
development,DOMINANT_ROUTE,0,0,,0,0,0,False,,,,,,,,,,
development,LOW_ROUTE_SUPPORT,14923,68,0.0084736793213056,242,20,12,False,0.0122220041173702,0.00141020588093643,0.25698586075186,0.25698586075186,0,0,0,0,0,-4.0249279635462
development,OTHER,27168,310,0.0167316093968253,242,20,12,False,-0.00138763693244484,-0.000164034372643441,5.52852620730271,2.01814634864547,0.160740577149588,0,0.160740577149588,0.523285497005014,0.084945141725177,0.270060365135453
assessment,BROAD_CONFLICT,6261,221,0.0451870844089313,159,20,8,True,-0.0074473237900077,-0.00107027187233218,9.90161316083693,3,0,0,0,0.984590896968965,0,4.02491614758026
assessment,NARROWING,743,7,0.0110225216378167,141,20,8,False,-0.0016694626379094,-0.00018278937083843,5.08882907133244,2.00807537012113,0.333333333333333,0,0.333333333333333,0.501483308553312,0.197965426229222,-1.24899057873486
assessment,DOMINANT_ROUTE,0,0,,0,0,0,False,,,,,,,,,,
assessment,LOW_ROUTE_SUPPORT,10496,40,0.00645722214049052,160,20,8,True,0.0125408104383838,0.00146347659800073,0.294112042682927,0.294112042682927,0,0,0,0,0,-3.72303734756098
assessment,OTHER,17077,183,0.0159664346904962,160,20,8,True,-0.00210376042528221,-0.000252091955995126,5.73736604790068,2.0176846050243,0.139895766235287,0,0.139895766235287,0.535770557867922,0.0726255181838715,0.376412718861627
