diagnostic,bin,rows,sessions,stocks,registered_completion_next_3_rate,registered_completion_next_1_rate,inference_supported
active_prefix_count,0-2,5716,160,20,0.00383841878431392,0.000348947162210357,True
active_prefix_count,3-5,4720,160,20,0.00551491708475355,0,True
active_prefix_count,6-10,11987,160,20,0.0484855106873795,0.0158662672606379,True
active_prefix_count,11+,3095,159,20,0.164914464606214,0.0824394118257268,True
top_prefix_depth,Q1,14487,160,20,0.0118892566733226,0,True
top_prefix_depth,Q2,0,0,0,,,False
top_prefix_depth,Q3,10013,160,20,0.0809901988394058,0.0362677416856241,True
top_prefix_depth,Q4,1018,154,20,0.153505159356625,0.0825954652572814,True
depth_margin,Q1,15303,160,20,0.0198095859142305,0.00365157506245452,True
depth_margin,Q2,0,0,0,,,False
depth_margin,Q3,9458,160,20,0.0767137087409417,0.034093022576821,True
depth_margin,Q4,757,151,20,0.146623407649448,0.0912061405198789,True
prefix_family_entropy,Q1,7537,160,20,0.0152307771296265,0.0045035705695331,True
prefix_family_entropy,Q2,6712,160,20,0.0262394874405208,0.00954708045745377,True
prefix_family_entropy,Q3,6717,160,20,0.0519698941648075,0.0201217749114033,True
prefix_family_entropy,Q4,4552,158,20,0.109743935836649,0.0470384309360309,True
candidate_count_change_3_bars,decreasing,4118,160,20,0.0371515756533067,0.0160333609453212,True
candidate_count_change_3_bars,unchanged,15672,160,20,0.0287830812396038,0.00944506684275544,True
candidate_count_change_3_bars,increasing,5728,160,20,0.0934987937600903,0.0407285659318159,True
route_resolution_state,BROAD_CONFLICT,3712,159,20,0.0501354014302089,0.00833156012597155,True
route_resolution_state,NARROWING,684,153,20,0.0950050307815618,0.0511860707037978,True
route_resolution_state,DOMINANT_ROUTE,908,155,20,0.104707979582938,0.0640149280529407,True
route_resolution_state,LOW_ROUTE_SUPPORT,5598,160,20,0.0033847766710136,0,True
route_resolution_state,OTHER,14616,160,20,0.0529896315096073,0.0221187507248493,True
