period,horizon,cell_key,top_loop,episode_number,start_session,end_session,length_sessions,start_estimate_net_bps,end_estimate_net_bps,start_support,end_support,individualized_all_sessions
2023,6,cycle_04|c2,cycle_04,1,2023-10-31,2023-12-29,42,1.9155333665365226,24.687630442550063,25,29,True
2023,6,cycle_04|c4,cycle_04,1,2023-06-05,2023-06-06,2,1.5113437614089409,1.2140697629625632,82,83,True
2023,6,cycle_04|c4,cycle_04,2,2023-06-09,2023-06-12,2,0.1829621501357368,0.645973805928462,85,84,True
2023,6,cycle_04|c4,cycle_04,3,2023-11-03,2023-11-07,3,1.5009982657132783,0.10408355307570807,96,97,True
2023,6,cycle_04|c4,cycle_04,4,2023-11-09,2023-12-29,35,2.247262732123363,4.171699815520634,101,98,True
2023,6,cycle_05|c0,cycle_05,1,2023-05-03,2023-05-08,4,3.8756899891732624,0.7749163569656636,67,67,True
2023,6,cycle_05|c0,cycle_05,2,2023-08-17,2023-08-18,2,0.375707811389092,0.1356950140705376,46,46,True
2023,6,cycle_05|c0,cycle_05,3,2023-08-23,2023-12-21,85,3.676846280087422,1.0915187976990486,49,56,True
2023,6,cycle_05|c3,cycle_05,1,2023-08-17,2023-08-21,3,1.909733901998002,0.2816145458841408,0,0,False
2023,6,cycle_05|c3,cycle_05,2,2023-08-23,2023-12-21,85,3.7916874175620356,1.01282719074404,0,1,False
2023,6,cycle_05|c3,cycle_05,3,2023-12-27,2023-12-27,1,0.23235862642725005,0.23235862642725005,1,1,False
2023,6,cycle_06|c4,cycle_06,1,2023-05-19,2023-09-21,86,0.6056735375824134,1.1051273624025804,408,405,True
2023,6,cycle_06|c6,cycle_06,1,2023-06-02,2023-07-18,31,0.4272328187628448,2.2809679748993315,553,524,True
2023,6,cycle_06|c6,cycle_06,2,2023-08-11,2023-08-30,14,0.43421506041840086,0.381123018212419,513,520,True
2023,6,cycle_06|c6,cycle_06,3,2023-09-13,2023-09-29,13,3.039285489851256,3.3652531886346444,527,572,True
2023,6,cycle_06|c6,cycle_06,4,2023-10-04,2023-11-20,34,1.2666626195812873,0.049097384528819545,581,625,True
2023,6,cycle_07|c5,cycle_07,1,2023-06-09,2023-07-11,21,3.8526399786518337,3.10661020541542,401,513,True
2023,6,cycle_07|c5,cycle_07,2,2023-07-14,2023-07-14,1,0.554773021071976,0.554773021071976,525,525,True
2023,6,cycle_07|c5,cycle_07,3,2023-07-20,2023-09-05,33,1.6951612202478075,0.39935870089529996,543,596,True
2023,6,cycle_07|c5,cycle_07,4,2023-09-18,2023-09-18,1,3.27048803213125,3.27048803213125,548,548,True
2023,6,cycle_07|c5,cycle_07,5,2023-09-20,2023-09-20,1,1.6273680721379722,1.6273680721379722,538,538,True
2023,6,cycle_07|c5,cycle_07,6,2023-12-18,2023-12-29,9,3.0926959235843334,2.3057264019534065,398,387,True
2023,6,cycle_07|c6,cycle_07,1,2023-06-12,2023-10-13,87,1.5634075802437233,3.2536703080210994,237,272,True
2023,6,cycle_07|c6,cycle_07,2,2023-10-19,2023-10-19,1,0.9215245739458748,0.9215245739458748,255,255,True
2023,6,cycle_07|c6,cycle_07,3,2023-10-26,2023-10-31,4,0.11496861041249011,2.0565538546950943,243,242,True
2023,6,cycle_07|c6,cycle_07,4,2023-11-17,2023-11-17,1,0.07321258634136173,0.07321258634136173,235,235,True
2023,6,cycle_07|c6,cycle_07,5,2023-11-21,2023-11-24,3,0.415399384321279,0.23310859994718017,234,231,True
2023,6,cycle_07|c6,cycle_07,6,2023-11-28,2023-12-29,23,2.878595061770268,4.636730290860926,225,259,True
2023,6,cycle_11|c2,cycle_11,1,2023-08-04,2023-10-30,61,0.6587439480062672,0.24945413331169541,7,7,False
2023,6,cycle_11|c2,cycle_11,2,2023-11-03,2023-11-06,2,1.6830615082542453,1.6645511290687303,8,8,False
2023,6,cycle_11|c5,cycle_11,1,2023-08-02,2023-10-27,62,0.7465448172738164,2.7589585353574595,111,78,True
2023,6,cycle_13|c5,cycle_13,1,2023-03-30,2023-05-03,24,9.624463085579372,14.554170992122936,78,85,True
2023,6,cycle_13|c5,cycle_13,2,2023-05-05,2023-07-27,57,5.632784205996933,1.43613499108008,77,168,True
2023,6,cycle_13|c5,cycle_13,3,2023-07-31,2023-08-04,5,0.46488715128771424,0.7451164205298013,172,182,True
2023,6,cycle_13|c5,cycle_13,4,2023-08-08,2023-09-27,36,2.8174145704403792,4.455733045556474,181,140,True
2023,6,cycle_13|c5,cycle_13,5,2023-09-29,2023-11-06,27,3.9804879150801344,4.961243222178819,130,57,True
2023,6,cycle_13|c7,cycle_13,1,2023-05-31,2023-06-02,3,3.923837288598489,1.7501525247672207,214,221,True
2023,6,cycle_13|c7,cycle_13,2,2023-06-09,2023-06-09,1,3.64968548816334,3.64968548816334,229,229,True
2023,6,cycle_13|c7,cycle_13,3,2023-06-13,2023-06-13,1,0.5528423831193022,0.5528423831193022,231,231,True
2023,6,cycle_13|c7,cycle_13,4,2023-08-14,2023-08-16,3,3.9196177033937047,1.4146171216068475,352,361,True
2023,6,cycle_13|c7,cycle_13,5,2023-08-31,2023-08-31,1,0.13515194102056066,0.13515194102056066,328,328,True
2023,6,cycle_13|c7,cycle_13,6,2023-09-12,2023-09-28,13,1.3071613013879104,0.013273407400636417,308,248,True
2023,6,cycle_13|c7,cycle_13,7,2023-10-10,2023-12-06,41,10.609607400661016,3.523935587394868,193,142,True
2023,6,cycle_13|c7,cycle_13,8,2023-12-15,2023-12-29,10,0.7220672706168241,11.430863225835296,173,210,True
2023,12,cycle_04|c2,cycle_04,1,2023-09-26,2023-09-29,4,5.331292820372675,1.8987769929522926,7,7,False
2023,12,cycle_04|c2,cycle_04,2,2023-10-06,2023-10-24,13,0.12868317366869064,3.4441844880844346,7,10,False
2023,12,cycle_04|c2,cycle_04,3,2023-11-01,2023-11-01,1,1.092406974699716,1.092406974699716,10,10,False
2023,12,cycle_04|c2,cycle_04,4,2023-11-03,2023-11-03,1,2.979215540467594,2.979215540467594,10,10,False
2023,12,cycle_04|c2,cycle_04,5,2023-11-07,2023-11-07,1,0.5573936908465907,0.5573936908465907,11,11,False
2023,12,cycle_04|c2,cycle_04,6,2023-11-14,2023-11-17,4,2.257379110595458,1.5148034940571324,11,11,False
2023,12,cycle_04|c2,cycle_04,7,2023-11-21,2023-11-22,2,1.7443397604774264,2.219825901531632,10,10,False
2023,12,cycle_04|c2,cycle_04,8,2023-11-28,2023-11-28,1,1.175404031129091,1.175404031129091,10,10,False
2023,12,cycle_04|c2,cycle_04,9,2023-11-30,2023-12-29,21,0.5200640260691867,5.547190375587161,10,10,False
2023,12,cycle_04|c4,cycle_04,1,2023-03-30,2023-03-30,1,2.077095421249497,2.077095421249497,74,74,True
