period,horizon,cell_key,episode,start_block,end_block,profitable_blocks,approximate_sessions
2025,6,cycle_01|c1,1,0,0,1,20
2025,6,cycle_01|c1,2,11,11,1,20
2025,6,cycle_04|c2,1,0,0,1,20
2025,6,cycle_04|c2,2,2,2,1,20
2025,6,cycle_04|c2,3,4,4,1,20
2025,6,cycle_04|c2,4,6,7,2,40
2025,6,cycle_04|c2,5,9,10,2,40
2025,6,cycle_04|c4,1,0,2,3,60
2025,6,cycle_04|c4,2,7,8,2,40
2025,6,cycle_04|c4,3,11,12,2,40
2025,6,cycle_05|c0,1,1,1,1,20
2025,6,cycle_05|c0,2,4,5,2,40
2025,6,cycle_05|c0,3,7,8,2,40
2025,6,cycle_05|c0,4,11,12,2,40
2025,6,cycle_06|c4,1,3,3,1,20
2025,6,cycle_06|c4,2,7,9,3,60
2025,6,cycle_06|c6,1,3,3,1,20
2025,6,cycle_06|c6,2,6,7,2,40
2025,6,cycle_06|c6,3,11,12,2,40
2025,6,cycle_07|c5,1,0,0,1,20
2025,6,cycle_07|c5,2,2,2,1,20
2025,6,cycle_07|c5,3,5,5,1,20
2025,6,cycle_07|c5,4,7,8,2,40
2025,6,cycle_07|c6,1,0,0,1,20
2025,6,cycle_07|c6,2,2,2,1,20
2025,6,cycle_07|c6,3,4,4,1,20
2025,6,cycle_07|c6,4,7,7,1,20
2025,6,cycle_08|c4,1,2,2,1,20
2025,6,cycle_08|c4,2,11,11,1,20
2025,6,cycle_09|c3,1,10,10,1,20
2025,6,cycle_09|c6,1,1,4,4,80
2025,6,cycle_09|c6,2,7,7,1,20
2025,6,cycle_09|c6,3,9,12,4,80
2025,6,cycle_11|c2,1,2,2,1,20
2025,6,cycle_11|c2,2,9,9,1,20
2025,6,cycle_11|c5,1,2,3,2,40
2025,6,cycle_11|c5,2,5,5,1,20
2025,6,cycle_11|c5,3,7,9,3,60
2025,6,cycle_11|c5,4,11,11,1,20
2025,6,cycle_13|c5,1,0,1,2,40
2025,6,cycle_13|c5,2,3,3,1,20
2025,6,cycle_13|c5,3,5,5,1,20
2025,6,cycle_13|c7,1,1,1,1,20
2025,6,cycle_13|c7,2,3,4,2,40
2025,6,cycle_13|c7,3,7,7,1,20
2025,6,cycle_13|c7,4,11,11,1,20
2025,12,cycle_01|c1,1,11,11,1,20
2025,12,cycle_04|c2,1,2,2,1,20
2025,12,cycle_04|c2,2,10,10,1,20
2025,12,cycle_04|c4,1,0,3,4,80
2025,12,cycle_04|c4,2,8,8,1,20
2025,12,cycle_04|c4,3,10,12,3,60
2025,12,cycle_05|c0,1,1,1,1,20
2025,12,cycle_05|c0,2,4,5,2,40
2025,12,cycle_05|c0,3,7,10,4,80
2025,12,cycle_05|c0,4,12,12,1,20
2025,12,cycle_06|c4,1,3,3,1,20
2025,12,cycle_06|c4,2,7,9,3,60
2025,12,cycle_06|c6,1,3,3,1,20
2025,12,cycle_06|c6,2,6,7,2,40
2025,12,cycle_06|c6,3,10,12,3,60
2025,12,cycle_07|c5,1,0,1,2,40
2025,12,cycle_07|c5,2,3,3,1,20
2025,12,cycle_07|c5,3,7,8,2,40
2025,12,cycle_07|c6,1,0,0,1,20
2025,12,cycle_07|c6,2,6,6,1,20
2025,12,cycle_07|c6,3,9,9,1,20
2025,12,cycle_07|c6,4,12,12,1,20
2025,12,cycle_08|c4,1,2,2,1,20
2025,12,cycle_08|c4,2,11,11,1,20
2025,12,cycle_09|c3,1,11,11,1,20
2025,12,cycle_09|c6,1,1,4,4,80
2025,12,cycle_09|c6,2,9,11,3,60
2025,12,cycle_11|c5,1,1,3,3,60
2025,12,cycle_11|c5,2,5,5,1,20
2025,12,cycle_11|c5,3,8,9,2,40
2025,12,cycle_11|c5,4,11,11,1,20
2025,12,cycle_13|c5,1,0,3,4,80
2025,12,cycle_13|c5,2,5,5,1,20
2025,12,cycle_13|c5,3,8,8,1,20
2025,12,cycle_13|c5,4,10,10,1,20
2025,12,cycle_13|c7,1,0,1,2,40
2025,12,cycle_13|c7,2,3,4,2,40
2025,12,cycle_13|c7,3,8,8,1,20
2025,12,cycle_13|c7,4,10,11,2,40
2025,24,cycle_01|c1,1,9,11,3,60
2025,24,cycle_04|c4,1,2,3,2,40
2025,24,cycle_04|c4,2,5,5,1,20
2025,24,cycle_04|c4,3,8,10,3,60
2025,24,cycle_05|c0,1,1,1,1,20
2025,24,cycle_05|c0,2,3,3,1,20
2025,24,cycle_05|c0,3,5,5,1,20
2025,24,cycle_05|c0,4,7,7,1,20
2025,24,cycle_05|c0,5,9,10,2,40
2025,24,cycle_05|c0,6,12,12,1,20
2025,24,cycle_06|c4,1,0,0,1,20
2025,24,cycle_06|c4,2,2,3,2,40
2025,24,cycle_06|c4,3,7,8,2,40
2025,24,cycle_06|c4,4,12,12,1,20
2025,24,cycle_06|c6,1,0,0,1,20
2025,24,cycle_06|c6,2,3,3,1,20
2025,24,cycle_06|c6,3,6,7,2,40
2025,24,cycle_06|c6,4,10,12,3,60
2025,24,cycle_07|c5,1,0,3,4,80
2025,24,cycle_07|c5,2,5,5,1,20
2025,24,cycle_07|c5,3,7,8,2,40
2025,24,cycle_07|c5,4,10,10,1,20
2025,24,cycle_07|c5,5,12,12,1,20
2025,24,cycle_07|c6,1,1,2,2,40
2025,24,cycle_07|c6,2,5,5,1,20
2025,24,cycle_08|c4,1,2,2,1,20
2025,24,cycle_08|c4,2,11,11,1,20
2025,24,cycle_09|c6,1,1,4,4,80
2025,24,cycle_09|c6,2,9,9,1,20
2025,24,cycle_11|c2,1,2,2,1,20
2025,24,cycle_11|c5,1,2,2,1,20
2025,24,cycle_11|c5,2,5,5,1,20
2025,24,cycle_11|c5,3,8,9,2,40
2025,24,cycle_11|c5,4,11,11,1,20
2025,24,cycle_13|c5,1,0,3,4,80
2025,24,cycle_13|c5,2,5,6,2,40
2025,24,cycle_13|c5,3,9,10,2,40
2025,24,cycle_13|c7,1,0,1,2,40
2025,24,cycle_13|c7,2,3,4,2,40
2025,24,cycle_13|c7,3,10,12,3,60
2023,6,cycle_02|c2,1,4,4,1,20
2023,6,cycle_04|c2,1,3,3,1,20
2023,6,cycle_04|c2,2,9,11,3,60
2023,6,cycle_04|c4,1,1,1,1,20
2023,6,cycle_04|c4,2,3,3,1,20
2023,6,cycle_04|c4,3,9,12,4,80
2023,6,cycle_05|c0,1,6,10,5,100
2023,6,cycle_06|c4,1,3,7,5,100
2023,6,cycle_06|c4,2,11,11,1,20
2023,6,cycle_06|c6,1,1,1,1,20
2023,6,cycle_06|c6,2,3,4,2,40
2023,6,cycle_06|c6,3,7,7,1,20
2023,6,cycle_06|c6,4,10,10,1,20
2023,6,cycle_07|c5,1,0,0,1,20
2023,6,cycle_07|c5,2,2,3,2,40
2023,6,cycle_07|c5,3,5,6,2,40
2023,6,cycle_07|c5,4,11,12,2,40
2023,6,cycle_07|c6,1,5,7,3,60
2023,6,cycle_07|c6,2,9,12,4,80
2023,6,cycle_09|c6,1,3,3,1,20
2023,6,cycle_09|c6,2,12,12,1,20
2023,6,cycle_11|c2,1,0,0,1,20
2023,6,cycle_11|c5,1,3,3,1,20
2023,6,cycle_11|c5,2,5,8,4,80
2023,6,cycle_11|c5,3,11,11,1,20
2023,6,cycle_13|c5,1,0,0,1,20
2023,6,cycle_13|c5,2,2,8,7,140
2023,6,cycle_13|c5,3,12,12,1,20
2023,6,cycle_13|c7,1,4,4,1,20
2023,6,cycle_13|c7,2,7,7,1,20
2023,6,cycle_13|c7,3,9,10,2,40
2023,6,cycle_13|c7,4,12,12,1,20
2023,12,cycle_04|c2,1,2,2,1,20
2023,12,cycle_04|c4,1,0,0,1,20
2023,12,cycle_04|c4,2,3,3,1,20
2023,12,cycle_04|c4,3,7,8,2,40
2023,12,cycle_04|c4,4,10,11,2,40
2023,12,cycle_05|c0,1,6,7,2,40
2023,12,cycle_05|c0,2,9,10,2,40
2023,12,cycle_06|c4,1,1,5,5,100
2023,12,cycle_06|c4,2,9,9,1,20
2023,12,cycle_06|c4,3,11,11,1,20
2023,12,cycle_06|c6,1,7,8,2,40
2023,12,cycle_07|c5,1,0,0,1,20
2023,12,cycle_07|c5,2,3,6,4,80
2023,12,cycle_07|c5,3,11,11,1,20
2023,12,cycle_07|c6,1,5,5,1,20
2023,12,cycle_07|c6,2,7,7,1,20
2023,12,cycle_08|c4,1,8,8,1,20
2023,12,cycle_09|c6,1,4,5,2,40
2023,12,cycle_09|c6,2,11,12,2,40
2023,12,cycle_11|c5,1,3,3,1,20
2023,12,cycle_11|c5,2,6,9,4,80
2023,12,cycle_13|c5,1,0,3,4,80
2023,12,cycle_13|c5,2,7,8,2,40
2023,12,cycle_13|c5,3,11,12,2,40
2023,12,cycle_13|c7,1,0,0,1,20
2023,12,cycle_13|c7,2,4,4,1,20
2023,12,cycle_13|c7,3,7,7,1,20
2023,12,cycle_13|c7,4,9,10,2,40
2023,12,cycle_13|c7,5,12,12,1,20
2023,24,cycle_04|c4,1,0,1,2,40
2023,24,cycle_04|c4,2,3,5,3,60
2023,24,cycle_04|c4,3,7,8,2,40
2023,24,cycle_05|c0,1,3,3,1,20
2023,24,cycle_05|c0,2,6,7,2,40
2023,24,cycle_05|c0,3,9,10,2,40
2023,24,cycle_06|c4,1,0,6,7,140
2023,24,cycle_06|c4,2,8,9,2,40
2023,24,cycle_06|c6,1,7,7,1,20
2023,24,cycle_06|c6,2,9,9,1,20
2023,24,cycle_06|c6,3,12,12,1,20
2023,24,cycle_07|c5,1,0,0,1,20
2023,24,cycle_07|c5,2,2,4,3,60
2023,24,cycle_07|c5,3,6,6,1,20
2023,24,cycle_07|c5,4,10,11,2,40
2023,24,cycle_09|c6,1,1,2,2,40
2023,24,cycle_09|c6,2,4,4,1,20
2023,24,cycle_09|c6,3,6,6,1,20
2023,24,cycle_09|c6,4,8,9,2,40
2023,24,cycle_09|c6,5,11,12,2,40
2023,24,cycle_11|c5,1,0,0,1,20
2023,24,cycle_11|c5,2,2,3,2,40
2023,24,cycle_11|c5,3,5,5,1,20
2023,24,cycle_11|c5,4,7,7,1,20
2023,24,cycle_11|c5,5,9,10,2,40
2023,24,cycle_13|c5,1,1,1,1,20
2023,24,cycle_13|c5,2,3,3,1,20
2023,24,cycle_13|c5,3,7,8,2,40
2023,24,cycle_13|c5,4,12,12,1,20
2023,24,cycle_13|c7,1,0,1,2,40
2023,24,cycle_13|c7,2,4,4,1,20
