period,candidate,deleted_symbol,rows,negative_hazard_auc,orientation_survival_mean_net_difference_bps
2023,cycle_04|state4,AAL,132,0.5447761194029851,7.9433588351867925
2023,cycle_04|state4,AAOI,122,0.5549568965517241,-8.601886916029219
2023,cycle_04|state4,APLD,120,0.5543206446235065,5.959420113738485
2023,cycle_04|state4,ASTS,128,0.5317460317460317,3.7212598287829337
2023,cycle_04|state4,CIFR,117,0.5191744730679156,37.25943055289211
2023,cycle_04|state4,HIMS,132,0.5447761194029851,7.9433588351867925
2023,cycle_04|state4,IONQ,129,0.5577756379393356,-4.1701122254228515
2023,cycle_04|state4,IREN,121,0.5412568306010929,22.125568799514888
2023,cycle_04|state4,MARA,120,0.5421888053467001,39.40836019892378
2023,cycle_04|state4,MP,132,0.5447761194029851,7.9433588351867925
2023,cycle_04|state4,MRNA,132,0.5447761194029851,7.9433588351867925
2023,cycle_04|state4,MSTR,132,0.5447761194029851,7.9433588351867925
2023,cycle_04|state4,NVTS,130,0.5424070125562663,9.564352626428832
2023,cycle_04|state4,QBTS,102,0.5680941358024691,-50.522389696681174
2023,cycle_04|state4,RGTI,115,0.5650332728372656,13.551457720796549
2023,cycle_04|state4,RIOT,122,0.5352055898951895,22.37205379036503
2023,cycle_04|state4,RIVN,131,0.5385960820895522,5.898988113129452
2023,cycle_04|state4,SMCI,132,0.5447761194029851,7.9433588351867925
2023,cycle_04|state4,SOFI,132,0.5447761194029851,7.9433588351867925
2023,cycle_04|state4,WULF,127,0.5356433184302036,3.432995029620436
2023,cycle_07|state5,AAL,707,0.5005929202121693,-54.748730137312776
2023,cycle_07|state5,AAOI,691,0.4960263511245384,-60.412762762832784
2023,cycle_07|state5,APLD,681,0.49999568250898035,-51.86058515336196
2023,cycle_07|state5,ASTS,714,0.4975526398491515,-50.08746188297205
2023,cycle_07|state5,CIFR,675,0.49866813186813186,-44.435338394047264
2023,cycle_07|state5,HIMS,700,0.5026777537938252,-52.89206981764681
2023,cycle_07|state5,IONQ,657,0.5032400111245017,-55.82848757651335
2023,cycle_07|state5,IREN,686,0.491504937010555,-56.85556411060308
2023,cycle_07|state5,MARA,660,0.4999448787792487,-67.42458220321404
2023,cycle_07|state5,MP,697,0.49227105683821953,-57.073676333235674
2023,cycle_07|state5,MRNA,706,0.5021688837478311,-53.93126201012922
2023,cycle_07|state5,MSTR,692,0.49357848058902276,-56.13601740137206
