period,candidate,role,policy,rows,action_rows,action_share,mean_gross_bps,mean_net_bps,positive_rate,fixed_mean_net_bps,paired_mean_difference_bps,paired_median_difference_bps
2023,cycle_04|state2,matched_control,exact_completion_next_open_else_fixed,8,0,0.0,81.26912038052936,71.26912038052936,0.5,71.26912038052936,0.0,0.0
2023,cycle_04|state2,matched_control,first_post_entry_transition_next_open_else_fixed,8,8,1.0,23.92584169098821,13.925841690988207,0.375,71.26912038052936,-57.34327868954115,-73.07380023194476
2023,cycle_04|state2,matched_control,fixed_anchor_h24_close,8,0,0.0,81.26912038052936,71.26912038052936,0.5,71.26912038052936,0.0,0.0
2023,cycle_04|state2,matched_control,route_invalidation_next_open_else_fixed,8,8,1.0,41.82729534386961,31.827295343869604,0.5,71.26912038052936,-39.44182503665974,-25.97781357123074
2023,cycle_04|state2,matched_control,terminal_route_event_next_open_else_fixed,8,8,1.0,41.82729534386961,31.827295343869604,0.5,71.26912038052936,-39.44182503665974,-25.97781357123074
2025,cycle_04|state2,matched_control,exact_completion_next_open_else_fixed,6,1,0.16666666666666666,36.87303609028192,26.873036090281918,0.5,-32.79303391767389,59.666070007955796,0.0
2025,cycle_04|state2,matched_control,first_post_entry_transition_next_open_else_fixed,6,6,1.0,8.369318750885055,-1.6306812491149512,0.6666666666666666,-32.79303391767389,31.16235266855891,34.580020558699914
2025,cycle_04|state2,matched_control,fixed_anchor_h24_close,6,0,0.0,-22.793033917673885,-32.79303391767389,0.5,-32.79303391767389,0.0,0.0
2025,cycle_04|state2,matched_control,route_invalidation_next_open_else_fixed,6,5,0.8333333333333334,-36.34312535321593,-46.34312535321593,0.6666666666666666,-32.79303391767389,-13.550091435542058,-38.93734130832716
2025,cycle_04|state2,matched_control,terminal_route_event_next_open_else_fixed,6,6,1.0,23.32294465473986,13.322944654739862,0.6666666666666666,-32.79303391767389,46.115978572413724,44.276583911362906
2023,cycle_07|state6,matched_control,exact_completion_next_open_else_fixed,331,53,0.16012084592145015,-16.305078116789268,-26.305078116789264,0.4108761329305136,-35.51529669715205,9.210218580362788,0.0
2023,cycle_07|state6,matched_control,first_post_entry_transition_next_open_else_fixed,331,331,1.0,5.995307787094366,-4.004692212905634,0.4380664652567976,-35.51529669715205,31.510604484246425,22.828767123286298
2023,cycle_07|state6,matched_control,fixed_anchor_h24_close,331,0,0.0,-25.51529669715206,-35.51529669715205,0.40181268882175225,-35.51529669715205,0.0,0.0
2023,cycle_07|state6,matched_control,route_invalidation_next_open_else_fixed,331,246,0.743202416918429,-14.972300861524628,-24.972300861524626,0.44108761329305135,-35.51529669715205,10.542995835627424,0.0
2023,cycle_07|state6,matched_control,terminal_route_event_next_open_else_fixed,331,299,0.9033232628398792,-5.762082281161837,-15.76208228116184,0.4501510574018127,-35.51529669715205,19.753214415990218,0.0
2025,cycle_07|state6,matched_control,exact_completion_next_open_else_fixed,296,72,0.24324324324324326,-22.992119640932273,-32.99211964093227,0.47635135135135137,-33.70725337889102,0.7151337379587432,0.0
2025,cycle_07|state6,matched_control,first_post_entry_transition_next_open_else_fixed,296,295,0.9966216216216216,-5.442290048807437,-15.44229004880744,0.3614864864864865,-33.70725337889102,18.264963330083575,-5.339924514682345
2025,cycle_07|state6,matched_control,fixed_anchor_h24_close,296,0,0.0,-23.707253378891014,-33.70725337889102,0.47297297297297297,-33.70725337889102,0.0,0.0
2025,cycle_07|state6,matched_control,route_invalidation_next_open_else_fixed,296,193,0.652027027027027,-8.94955881934503,-18.949558819345032,0.4222972972972973,-33.70725337889102,14.757694559545985,0.0
2025,cycle_07|state6,matched_control,terminal_route_event_next_open_else_fixed,296,265,0.8952702702702703,-8.234425081386286,-18.234425081386284,0.42567567567567566,-33.70725337889102,15.47282829750473,0.0
2023,cycle_04|state4,primary_candidate,exact_completion_next_open_else_fixed,132,14,0.10606060606060606,32.75057510766224,22.750575107662243,0.5,26.540629912104738,-3.7900548044424878,0.0
2023,cycle_04|state4,primary_candidate,first_post_entry_transition_next_open_else_fixed,132,132,1.0,-13.550567710812873,-23.550567710812874,0.3560606060606061,26.540629912104738,-50.091197622917605,0.0
2023,cycle_04|state4,primary_candidate,fixed_anchor_h24_close,132,0,0.0,36.540629912104734,26.540629912104738,0.5075757575757576,26.540629912104738,0.0,0.0
2023,cycle_04|state4,primary_candidate,route_invalidation_next_open_else_fixed,132,104,0.7878787878787878,-15.523042356427885,-25.523042356427887,0.3333333333333333,26.540629912104738,-52.06367226853262,0.0
2023,cycle_04|state4,primary_candidate,terminal_route_event_next_open_else_fixed,132,118,0.8939393939393939,-19.313097160870377,-29.31309716087038,0.32575757575757575,26.540629912104738,-55.85372707297511,0.0
2025,cycle_04|state4,primary_candidate,exact_completion_next_open_else_fixed,96,20,0.20833333333333334,30.9738189656801,20.9738189656801,0.5520833333333334,30.749284975425667,-9.775466009745564,0.0
2025,cycle_04|state4,primary_candidate,first_post_entry_transition_next_open_else_fixed,96,95,0.9895833333333334,16.61220226257168,6.612202262571684,0.4270833333333333,30.749284975425667,-24.13708271285398,-26.756066695591834
2025,cycle_04|state4,primary_candidate,fixed_anchor_h24_close,96,0,0.0,40.74928497542567,30.749284975425667,0.5520833333333334,30.749284975425667,0.0,0.0
2025,cycle_04|state4,primary_candidate,route_invalidation_next_open_else_fixed,96,67,0.6979166666666666,35.38214214972696,25.38214214972696,0.53125,30.749284975425667,-5.3671428256987115,0.0
2025,cycle_04|state4,primary_candidate,terminal_route_event_next_open_else_fixed,96,87,0.90625,25.606676139981392,15.606676139981394,0.53125,30.749284975425667,-15.142608835444278,0.0
