period,candidate,role,path_topology,rows,share,fixed_mean_gross_bps,fixed_mean_net_bps,fixed_positive_rate,timing_failure_rate,no_usable_move_rate,mean_mfe_bps,mean_mae_bps,median_time_to_mfe_bars,median_time_to_mae_bars,pre_entry_terminal_rate
2023,cycle_04|state2,matched_control,expected_leg_then_diversion,4,0.5,125.70665023261621,115.70665023261621,0.5,0.5,0.0,277.784004977665,-170.41388040837492,9.0,8.5,0.0
2023,cycle_04|state2,matched_control,incompatible_first_transition,4,0.5,36.831590528442476,26.831590528442476,0.5,0.5,0.0,354.1493491502462,-259.3837128849952,11.0,1.5,0.0
2025,cycle_04|state2,matched_control,exact_parent_completion,1,0.16666666666666666,-393.7947494033422,-403.7947494033422,0.0,1.0,0.0,680.1921241050125,-644.3914081145574,20.0,13.0,0.0
2025,cycle_04|state2,matched_control,expected_leg_then_diversion,1,0.16666666666666666,224.8064152814533,214.8064152814533,1.0,0.0,0.0,319.7925946233893,-47.53587273430115,15.0,0.0,0.0
2025,cycle_04|state2,matched_control,incompatible_first_transition,4,0.6666666666666666,8.057532653961424,-1.9424673460385762,0.5,0.25,0.25,214.24445547876758,-181.41287753141222,16.5,11.5,0.0
2023,cycle_07|state6,matched_control,exact_parent_completion,56,0.1691842900302115,-71.32974228213513,-81.32974228213511,0.3392857142857143,0.5714285714285714,0.08928571428571429,169.82899860081798,-270.868834459742,7.0,12.0,0.017857142857142856
2023,cycle_07|state6,matched_control,expected_leg_partial,17,0.0513595166163142,-122.76662735670949,-132.76662735670948,0.23529411764705882,0.7058823529411765,0.058823529411764705,169.21200683852817,-244.98651893406932,6.0,20.0,0.0
2023,cycle_07|state6,matched_control,expected_leg_then_diversion,92,0.27794561933534745,-36.44558715323255,-46.44558715323255,0.391304347826087,0.5217391304347826,0.08695652173913043,183.1998935072479,-222.11374510219505,6.0,11.5,0.0
2023,cycle_07|state6,matched_control,incompatible_first_transition,166,0.5015105740181269,5.957403880745126,-4.042596119254872,0.4457831325301205,0.5120481927710844,0.04216867469879518,205.06345443214886,-179.67403926202329,7.5,8.0,0.060240963855421686
2025,cycle_07|state6,matched_control,exact_parent_completion,74,0.25,-13.477689759607335,-23.477689759607337,0.4594594594594595,0.5135135135135135,0.02702702702702703,182.31083902112275,-222.10901117830724,12.5,8.0,0.013513513513513514
2025,cycle_07|state6,matched_control,expected_leg_partial,19,0.06418918918918919,-45.89079232228831,-55.890792322288306,0.47368421052631576,0.47368421052631576,0.05263157894736842,284.42439126778623,-287.80710281019896,5.0,5.0,0.0
2025,cycle_07|state6,matched_control,expected_leg_then_diversion,77,0.26013513513513514,-66.38660888405079,-76.3866088840508,0.42857142857142855,0.5324675324675324,0.03896103896103896,159.3569372096136,-245.2671468391921,6.0,12.0,0.0
2025,cycle_07|state6,matched_control,incompatible_first_transition,125,0.4222972972972973,3.9403438711808723,-6.059656128819126,0.512,0.488,0.0,179.46076920364953,-172.71579162654535,12.0,9.0,0.064
2025,cycle_07|state6,matched_control,no_transition,1,0.0033783783783783786,-528.8470036430182,-538.8470036430182,0.0,1.0,0.0,80.06256110842492,-702.8211650005734,2.0,22.0,0.0
