period,candidate,policy,quarter,rows,action_rows,paired_mean_difference_bps,policy_mean_net_bps
2023,cycle_04|state4,exact_completion_next_open_else_fixed,2023_q1,4,0,0.0,24.62722728193424
2023,cycle_04|state4,exact_completion_next_open_else_fixed,2023_q2,42,1,3.682197658691303,87.95975615494535
2023,cycle_04|state4,exact_completion_next_open_else_fixed,2023_q3,42,3,-15.562292837716004,16.36315285742118
2023,cycle_04|state4,exact_completion_next_open_else_fixed,2023_q4,44,10,-0.03007356062206703,-33.56807212353899
2023,cycle_04|state4,first_post_entry_transition_next_open_else_fixed,2023_q1,4,4,-29.20236272529128,-4.575135443357066
2023,cycle_04|state4,first_post_entry_transition_next_open_else_fixed,2023_q2,42,42,-120.94843521468954,-36.67087671843549
2023,cycle_04|state4,first_post_entry_transition_next_open_else_fixed,2023_q3,42,42,-54.42219810331569,-22.4967524081785
2023,cycle_04|state4,first_post_entry_transition_next_open_else_fixed,2023_q4,44,44,19.780408273460463,-13.757590289456447
2023,cycle_04|state4,route_invalidation_next_open_else_fixed,2023_q1,4,4,-29.20236272529128,-4.575135443357066
2023,cycle_04|state4,route_invalidation_next_open_else_fixed,2023_q2,42,39,-134.00441726263549,-49.72685876638142
2023,cycle_04|state4,route_invalidation_next_open_else_fixed,2023_q3,42,35,-39.94020793117614,-8.014762236038958
2023,cycle_04|state4,route_invalidation_next_open_else_fixed,2023_q4,44,26,12.501794763521524,-21.03620379939539
2023,cycle_04|state4,terminal_route_event_next_open_else_fixed,2023_q1,4,4,-29.20236272529128,-4.575135443357066
2023,cycle_04|state4,terminal_route_event_next_open_else_fixed,2023_q2,42,40,-130.32221960394418,-46.04466110769012
2023,cycle_04|state4,terminal_route_event_next_open_else_fixed,2023_q3,42,38,-55.50250076889214,-23.577055073754963
2023,cycle_04|state4,terminal_route_event_next_open_else_fixed,2023_q4,44,36,12.471721202899454,-21.066277360017455
2025,cycle_04|state4,exact_completion_next_open_else_fixed,2025_q2,28,6,-20.62338249508736,34.11796437682089
2025,cycle_04|state4,exact_completion_next_open_else_fixed,2025_q3,6,2,-41.99879397754791,81.1214438978634
2025,cycle_04|state4,exact_completion_next_open_else_fixed,2025_q4,62,12,-1.7580203743200111,9.217015399469753
2025,cycle_04|state4,first_post_entry_transition_next_open_else_fixed,2025_q2,28,27,-41.57334333046056,13.168003541447687
2025,cycle_04|state4,first_post_entry_transition_next_open_else_fixed,2025_q3,6,6,-89.41943555199727,33.70080232341403
2025,cycle_04|state4,first_post_entry_transition_next_open_else_fixed,2025_q4,62,62,-9.944995384985535,1.0300403888042295
2025,cycle_04|state4,route_invalidation_next_open_else_fixed,2025_q2,28,18,-3.5848240830524105,51.156522788855845
2025,cycle_04|state4,route_invalidation_next_open_else_fixed,2025_q3,6,4,-41.457523883778144,81.66271399163317
2025,cycle_04|state4,route_invalidation_next_open_else_fixed,2025_q4,62,45,-2.6794434457893566,8.295592328000408
2025,cycle_04|state4,terminal_route_event_next_open_else_fixed,2025_q2,28,24,-24.208206578139766,30.53314029376848
