model,group,month,rows,coverage,paired_difference_bps
admission_only,pooled,2024-09,27,0.0,75.63590979436242
admission_only,pooled,2024-10,130,0.0,-31.016716881919677
admission_only,pooled,2024-11,125,0.0,-127.87467362362318
admission_only,pooled,2024-12,119,0.0,-84.39028189607835
admission_only,cycle_04|state4,2024-09,9,0.0,73.38316618514338
admission_only,cycle_04|state4,2024-10,41,0.0,45.60865946095428
admission_only,cycle_04|state4,2024-11,28,0.0,48.076735902924966
admission_only,cycle_04|state4,2024-12,34,0.0,-64.05321511468865
admission_only,cycle_07|state5,2024-09,18,0.0,76.76228159897194
admission_only,cycle_07|state5,2024-10,89,0.0,-66.31604755672679
admission_only,cycle_07|state5,2024-11,97,0.0,-178.66477121891546
admission_only,cycle_07|state5,2024-12,85,0.0,-92.52510860863421
admission_plus_causal_route_probabilities,pooled,2024-09,27,0.0,75.63590979436242
admission_plus_causal_route_probabilities,pooled,2024-10,130,0.0,-31.016716881919677
admission_plus_causal_route_probabilities,pooled,2024-11,125,0.0,-127.87467362362318
admission_plus_causal_route_probabilities,pooled,2024-12,119,0.0,-84.39028189607835
admission_plus_causal_route_probabilities,cycle_04|state4,2024-09,9,0.0,73.38316618514338
admission_plus_causal_route_probabilities,cycle_04|state4,2024-10,41,0.0,45.60865946095428
admission_plus_causal_route_probabilities,cycle_04|state4,2024-11,28,0.0,48.076735902924966
admission_plus_causal_route_probabilities,cycle_04|state4,2024-12,34,0.0,-64.05321511468865
admission_plus_causal_route_probabilities,cycle_07|state5,2024-09,18,0.0,76.76228159897194
admission_plus_causal_route_probabilities,cycle_07|state5,2024-10,89,0.0,-66.31604755672679
admission_plus_causal_route_probabilities,cycle_07|state5,2024-11,97,0.0,-178.66477121891546
admission_plus_causal_route_probabilities,cycle_07|state5,2024-12,85,0.0,-92.52510860863421
