model,group,cost_bps_per_side,coverage,unfiltered_mean_net_bps,selector_mean_per_opportunity_bps,selected_mean_net_bps
admission_only,pooled,2.5,0.0,74.86728523388526,0.0,
admission_only,pooled,5.0,0.0,69.86728523388526,0.0,
admission_only,pooled,7.5,0.0,64.86728523388527,0.0,
admission_only,pooled,10.0,0.0,59.867285233885276,0.0,
admission_only,cycle_04|state4,2.5,0.0,-10.167346651320543,0.0,
admission_only,cycle_04|state4,5.0,0.0,-15.16734665132054,0.0,
admission_only,cycle_04|state4,7.5,0.0,-20.167346651320543,0.0,
admission_only,cycle_04|state4,10.0,0.0,-25.167346651320543,0.0,
admission_only,cycle_07|state5,2.5,0.0,107.82188305790967,0.0,
admission_only,cycle_07|state5,5.0,0.0,102.82188305790967,0.0,
admission_only,cycle_07|state5,7.5,0.0,97.82188305790967,0.0,
admission_only,cycle_07|state5,10.0,0.0,92.82188305790967,0.0,
admission_plus_causal_route_probabilities,pooled,2.5,0.0,74.86728523388526,0.0,
admission_plus_causal_route_probabilities,pooled,5.0,0.0,69.86728523388526,0.0,
admission_plus_causal_route_probabilities,pooled,7.5,0.0,64.86728523388527,0.0,
admission_plus_causal_route_probabilities,pooled,10.0,0.0,59.867285233885276,0.0,
admission_plus_causal_route_probabilities,cycle_04|state4,2.5,0.0,-10.167346651320543,0.0,
admission_plus_causal_route_probabilities,cycle_04|state4,5.0,0.0,-15.16734665132054,0.0,
admission_plus_causal_route_probabilities,cycle_04|state4,7.5,0.0,-20.167346651320543,0.0,
admission_plus_causal_route_probabilities,cycle_04|state4,10.0,0.0,-25.167346651320543,0.0,
admission_plus_causal_route_probabilities,cycle_07|state5,2.5,0.0,107.82188305790967,0.0,
admission_plus_causal_route_probabilities,cycle_07|state5,5.0,0.0,102.82188305790967,0.0,
admission_plus_causal_route_probabilities,cycle_07|state5,7.5,0.0,97.82188305790967,0.0,
admission_plus_causal_route_probabilities,cycle_07|state5,10.0,0.0,92.82188305790967,0.0,
