group,deleted_symbol,rows,log_loss_improvement
pooled,AAL,390,-0.010363134758416253
pooled,AAOI,387,-0.02143271190695603
pooled,APLD,376,-0.030891812398603672
pooled,ASTS,382,-0.007676888024139035
pooled,CIFR,376,-0.01918135044408723
pooled,HIMS,387,-0.012889322176251149
pooled,IONQ,376,0.005450715861269811
pooled,IREN,365,-0.027559845150010087
pooled,MARA,377,-0.025706768956921297
pooled,MP,384,-0.018963586365050106
pooled,MRNA,386,-0.008632181931117791
pooled,MSTR,377,-0.0022194779432756994
pooled,NVTS,386,-0.006228409120298894
pooled,QBTS,388,-0.013473689976453472
pooled,RGTI,386,-0.017336220736718106
pooled,RIOT,373,-0.012985128245406355
pooled,RIVN,386,-0.019310988250152115
pooled,SMCI,375,-0.017510303988978945
pooled,SOFI,381,-0.015174691390488148
pooled,WULF,381,-0.010181241044112811
cycle_04|state4,AAL,108,-0.0620943508771839
cycle_04|state4,AAOI,107,-0.058607406768457534
cycle_04|state4,APLD,108,-0.05358487591437656
cycle_04|state4,ASTS,104,-0.043225421016750455
cycle_04|state4,CIFR,103,-0.07408462477408947
cycle_04|state4,HIMS,106,-0.05690692187760479
cycle_04|state4,IONQ,111,-0.04087404085571806
cycle_04|state4,IREN,108,-0.047526155876354226
cycle_04|state4,MARA,104,-0.07699815077346862
cycle_04|state4,MP,99,-0.07974695236614993
cycle_04|state4,MRNA,105,-0.038717434125276146
cycle_04|state4,MSTR,112,-0.05441899106621841
cycle_04|state4,NVTS,106,-0.035319722837532284
cycle_04|state4,QBTS,112,-0.05441899106621841
cycle_04|state4,RGTI,109,-0.06541424039648852
cycle_04|state4,RIOT,100,-0.07280939619394369
cycle_04|state4,RIVN,105,-0.057546446569390904
cycle_04|state4,SMCI,111,-0.049139487032350035
cycle_04|state4,SOFI,106,-0.03985286976746905
cycle_04|state4,WULF,104,-0.03054749624301728
cycle_07|state5,AAL,282,0.009448820350899018
cycle_07|state5,AAOI,280,-0.0072266677991679375
cycle_07|state5,APLD,268,-0.021746846504187737
cycle_07|state5,ASTS,278,0.005621843742881074
cycle_07|state5,CIFR,273,0.0015330717390271771
cycle_07|state5,HIMS,281,0.003715181625682959
cycle_07|state5,IONQ,265,0.024854670561593024
cycle_07|state5,IREN,257,-0.019169333249445242
cycle_07|state5,MARA,273,-0.00616719493156993
cycle_07|state5,MP,285,0.002150635509016147
cycle_07|state5,MRNA,281,0.0026096382837812325
cycle_07|state5,MSTR,265,0.019842203074722734
cycle_07|state5,NVTS,280,0.004784731072653749
cycle_07|state5,QBTS,276,0.003141794523740995
cycle_07|state5,RGTI,277,0.0015825667828305377
cycle_07|state5,RIOT,273,0.008928523017794131
cycle_07|state5,RIVN,281,-0.0050237173479454585
cycle_07|state5,SMCI,264,-0.0042116702093797365
cycle_07|state5,SOFI,275,-0.005662375361542783
cycle_07|state5,WULF,277,-0.0025347047961486726
