model_name,scope,opportunity_count,accepted_signal_count,rejected_signal_count,accepted_trade_count,gross_pnl_bps,total_cost_bps,net_pnl_bps,net_return_per_accepted_trade_bps,net_return_per_opportunity_bps,hit_rate,turnover_round_trips_per_session,exposure_fraction,coverage,abstention_rate,cumulative_return,annualized_volatility,descriptive_sharpe_zero_rate,maximum_drawdown,predictive_rows,predictive_log_loss,prequential_predictive_log_density,brier_score,expected_calibration_error,activation_precision,activation_recall,false_activation_rate,false_retirement_rate,abstention_rate_predictive,predictive_coverage,conditional_accuracy,detection_lag_ratio
v1_60_session_selector,pooled,10382,4414,5968,4230,45203.6962237278,42300.0,2903.6962237277985,0.6864530079734749,0.2796856312586976,0.4782505910165485,22.263157894736842,0.16606443994601888,0.42515892891543056,0.5748410710845695,-0.002260483474329611,0.1283464126203606,0.052232912747898846,-0.17070227175397534,2801.0,0.7104362027328918,-6.767621039111118,0.2579415001202945,0.06329403779180871,0.4797245600612089,0.4775323686214775,0.45698924731182794,0.5224676313785225,0.0,1.0,0.5123170296322742,0.14575954405383235
v1_60_session_selector,2025,5262,1964,3298,1888,18854.353216834614,18880.0,-25.64678316538493,-0.013584101252852188,-0.004873961072859166,0.4867584745762712,19.873684210526317,0.14846828609986504,0.3732421132649183,0.6267578867350817,-0.00715857477359072,0.11716654364847821,-0.022724435007764235,-0.10764355725857822,1381.0,0.713141906835494,-6.776717722007511,0.2589487861735718,0.06322069703718337,0.5170648464163823,0.4455882352941177,0.4037089871611983,0.5544117647058824,0.0,1.0,0.5220854453294714,0.14575954405383235
v1_60_session_selector,2023,5120,2450,2670,2342,26349.34300689319,23420.0,2929.3430068931884,1.250786937187527,0.5721373060338258,0.4713919726729291,24.652631578947368,0.18366059379217273,0.478515625,0.521484375,0.004933407465491868,0.1389390587205038,0.11566479288133338,-0.1279740828867305,1420.0,0.70780481022184,-6.758774194688637,0.2569618789656636,0.07554432711674361,0.44937586685159503,0.5118483412322274,0.5044472681067345,0.4881516587677725,0.0,1.0,0.5028169014084507,0.14575954405383235
ewma_short_memory,pooled,10382,168,10214,165,-1710.825231096898,1650.0,-3360.8252310968974,-20.36863776422362,-0.32371655086658613,0.47878787878787876,0.868421052631579,0.006497975708502024,0.016181853207474475,0.9838181467925255,-0.017035170182898574,0.013307665214192518,-0.8495603193665587,-0.021951825780768264,2801.0,0.7134071763787585,-6.7160292616341,0.25848088785834633,0.07405912923366431,0.5081967213114754,0.02361005331302361,0.020161290322580645,0.2955064737242955,0.5083898607640128,0.4916101392359871,0.5112563543936093,0.589653660857587
ewma_short_memory,2025,5262,148,5114,145,-957.9459006665259,1450.0,-2407.9459006665265,-16.606523452872597,-0.457610395413631,0.4896551724137931,1.5263157894736843,0.011467611336032388,0.028126187761307486,0.9718738122386925,-0.012302781093020299,0.01589439440807773,-1.0250301894761584,-0.013145127589298977,1381.0,0.7165897746031654,-6.735386393446955,0.2595858555221345,0.0791310711065512,0.5306122448979592,0.03823529411764706,0.03281027104136947,0.2661764705882353,0.4518464880521361,0.5481535119478639,0.5099075297225891,0.589653660857587
ewma_short_memory,2023,5120,20,5100,20,-752.8793304303729,200.0,-952.8793304303729,-47.64396652151864,-0.1861092442246822,0.4,0.21052631578947367,0.00152834008097166,0.00390625,0.99609375,-0.004791335845933387,0.010114086510379714,-0.6247815361851523,-0.011974121940190319,1420.0,0.7103119875422049,-6.697203769356952,0.25740626789800025,0.06920301806481745,0.4166666666666667,0.007898894154818325,0.008894536213468869,0.32701421800947866,0.5633802816901409,0.43661971830985913,0.5129032258064516,0.589653660857587
payoff_only_change_point,pooled,10382,340,10042,324,11620.758130393173,3240.0,8380.758130393173,25.8665374394851,0.8072392728176818,0.48148148148148145,1.7052631578947368,0.0127834008097166,0.03274898863417453,0.9672510113658255,0.04136698325693877,0.03982015490342541,0.694719306177363,-0.04262545116715388,2801.0,0.8523863838888606,-6.912115099814217,0.29614540218778357,0.14851274893397837,0.4174757281553398,0.03274942878903275,0.04032258064516129,0.16603198781416603,0.7575865762227776,0.24241342377722241,0.5287187039764359,0.49827012858031267
payoff_only_change_point,2025,5262,147,5115,138,1054.7613098587547,1380.0,-325.2386901412451,-2.3568021024727908,-0.06180894909563761,0.4927536231884058,1.4526315789473685,0.010961538461538462,0.027936145952109463,0.9720638540478905,-0.0020323079467508,0.031029176901774806,-0.07163228745208754,-0.02970914315754425,1381.0,0.8776568071273754,-6.966724338941637,0.3020480999894462,0.16102110155239938,0.34,0.025,0.047075606276747506,0.13529411764705881,0.7921795800144823,0.20782041998551773,0.46689895470383275,0.49827012858031267
payoff_only_change_point,2023,5120,193,4927,186,10565.996820534418,1860.0,8705.996820534416,46.80643451900224,1.7003900040106281,0.4731182795698925,1.9578947368421054,0.014605263157894737,0.0376953125,0.9623046875,0.04348767154415545,0.047007902305468155,1.224269726354089,-0.014590094968458645,1420.0,0.8278100074857698,-6.859005691902271,0.29040482073419477,0.13634793557761257,0.49056603773584906,0.04107424960505529,0.03430749682337993,0.1990521327014218,0.723943661971831,0.27605633802816903,0.5739795918367347,0.49827012858031267
hierarchical_payoff_history_change_point,pooled,10382,389,9993,375,-716.4248506215313,3750.0,-4466.424850621532,-11.910466268324084,-0.43020851961293893,0.44266666666666665,1.9736842105263157,0.014752024291497976,0.03746869581968792,0.9625313041803121,-0.024282813420702265,0.04326355267194162,-0.3554435373456214,-0.04966491674060314,2801.0,0.7579538229503269,-6.894078039170555,0.27570648832880357,0.11227097728616857,0.36666666666666664,0.03351104341203351,0.051075268817204304,0.22391469916222392,0.64691181720814,0.35308818279186005,0.5075834175935288,0.4284021591870537
hierarchical_payoff_history_change_point,2025,5262,209,5053,201,-2166.1226541641945,2010.0,-4176.1226541641945,-20.776729622707435,-0.7936379046302156,0.4527363184079602,2.1157894736842104,0.015931174089068825,0.039718738122386923,0.9602812618776131,-0.021506675706372436,0.03638714929418543,-0.7744575767315456,-0.038320329176825596,1381.0,0.7661557813673363,-6.954405578313891,0.2782755368759607,0.11743981897623518,0.36363636363636365,0.03529411764705882,0.05991440798858773,0.19411764705882353,0.6567704561911658,0.3432295438088342,0.4831223628691983,0.4284021591870537
hierarchical_payoff_history_change_point,2023,5120,180,4940,174,1449.6978035426637,1740.0,-290.3021964573363,-1.668403427915726,-0.0566996477455735,0.43103448275862066,1.831578947368421,0.013572874493927125,0.03515625,0.96484375,-0.0028371554975439306,0.04927515587565583,-0.05226156848010149,-0.030697107189625594,1420.0,0.7499771295884323,-6.835407383144536,0.2732079981572374,0.10990828607528043,0.37037037037037035,0.0315955766192733,0.043202033036848796,0.2559241706161137,0.6373239436619719,0.3626760563380282,0.5300970873786408,0.4284021591870537
