model_name,dimension,value,opportunities,accepted_signals,accepted_trades,gross_pnl_bps,total_cost_bps,net_pnl_bps,mean_net_trade_bps,hit_rate
ewma_short_memory,year,2023,5120,20,20,-752.8793304303729,200.0,-952.8793304303729,-47.64396652151864,0.4
ewma_short_memory,year,2025,5262,148,145,-957.9459006665259,1450.0,-2407.9459006665265,-16.606523452872597,0.4896551724137931
ewma_short_memory,month,2023-03,51,0,0,0.0,0.0,0.0,,
ewma_short_memory,month,2023-04,480,11,11,677.7669793359453,110.0,567.7669793359453,51.61517993963139,0.5454545454545454
ewma_short_memory,month,2023-05,572,0,0,0.0,0.0,0.0,,
ewma_short_memory,month,2023-06,632,1,1,-805.7150530619539,10.0,-815.7150530619539,-815.7150530619539,0.0
ewma_short_memory,month,2023-07,581,0,0,0.0,0.0,0.0,,
ewma_short_memory,month,2023-08,635,0,0,0.0,0.0,0.0,,
ewma_short_memory,month,2023-09,488,0,0,0.0,0.0,0.0,,
ewma_short_memory,month,2023-10,563,4,4,-1283.3949718136928,40.0,-1323.3949718136928,-330.8487429534232,0.0
ewma_short_memory,month,2023-11,567,4,4,658.4637151093286,40.0,618.4637151093286,154.61592877733216,0.5
ewma_short_memory,month,2023-12,551,0,0,0.0,0.0,0.0,,
ewma_short_memory,month,2025-04,670,55,55,-1008.8658332496846,550.0,-1558.8658332496848,-28.34301514999427,0.4909090909090909
ewma_short_memory,month,2025-05,575,0,0,0.0,0.0,0.0,,
ewma_short_memory,month,2025-06,563,0,0,0.0,0.0,0.0,,
ewma_short_memory,month,2025-07,565,0,0,0.0,0.0,0.0,,
ewma_short_memory,month,2025-08,486,2,2,369.1618529675256,20.0,349.1618529675256,174.5809264837628,1.0
ewma_short_memory,month,2025-09,548,41,40,-460.8195053689092,400.0,-860.8195053689092,-21.52048763422273,0.45
ewma_short_memory,month,2025-10,672,3,3,-75.10956278653833,30.0,-105.1095627865383,-35.0365209288461,0.3333333333333333
ewma_short_memory,month,2025-11,618,30,30,-7.118907770273836,300.0,-307.1189077702737,-10.23729692567579,0.5
ewma_short_memory,month,2025-12,565,17,15,224.80605554135445,150.0,74.80605554135444,4.98707036942363,0.5333333333333333
ewma_short_memory,loop,cycle_01,72,27,26,1075.132278433909,260.0,815.1322784339089,31.351241478227266,0.5769230769230769
ewma_short_memory,loop,cycle_02,37,0,0,0.0,0.0,0.0,,
ewma_short_memory,loop,cycle_04,248,16,16,-48.66872598869196,160.0,-208.66872598869196,-13.041795374293248,0.5625
ewma_short_memory,loop,cycle_05,255,12,12,710.4695282821241,120.0,590.4695282821241,49.20579402351034,0.5
ewma_short_memory,loop,cycle_06,5302,33,33,30.71438195003998,330.0,-299.28561804996,-9.06926115302909,0.42424242424242425
ewma_short_memory,loop,cycle_07,2177,54,53,-3352.7033756343967,530.0,-3882.7033756343976,-73.25855425725278,0.41509433962264153
ewma_short_memory,loop,cycle_08,68,0,0,0.0,0.0,0.0,,
ewma_short_memory,loop,cycle_09,246,0,0,0.0,0.0,0.0,,
ewma_short_memory,loop,cycle_10,31,1,0,0.0,0.0,0.0,,
ewma_short_memory,loop,cycle_11,451,13,13,-107.48629154779034,130.0,-237.48629154779036,-18.26817627290695,0.5384615384615384
ewma_short_memory,loop,cycle_13,1488,12,12,-18.283026592091915,120.0,-138.28302659209191,-11.523585549340993,0.5
ewma_short_memory,loop,cycle_20,7,0,0,0.0,0.0,0.0,,
ewma_short_memory,orientation,state_0,255,12,12,710.4695282821241,120.0,590.4695282821241,49.20579402351034,0.5
ewma_short_memory,orientation,state_1,103,28,26,1075.132278433909,260.0,815.1322784339089,31.351241478227266,0.5769230769230769
ewma_short_memory,orientation,state_2,41,0,0,0.0,0.0,0.0,,
ewma_short_memory,orientation,state_3,72,0,0,0.0,0.0,0.0,,
ewma_short_memory,orientation,state_4,2229,41,41,384.9585804991284,410.0,-25.041419500871598,-0.6107663292895512,0.5121951219512195
ewma_short_memory,orientation,state_5,2304,67,66,-3460.1896671821873,660.0,-4120.189667182188,-62.42711616942709,0.4393939393939394
ewma_short_memory,orientation,state_6,4264,8,8,-402.91292453778044,80.0,-482.91292453778044,-60.364115567222555,0.25
ewma_short_memory,orientation,state_7,1114,12,12,-18.283026592091915,120.0,-138.28302659209191,-11.523585549340993,0.5
ewma_short_memory,sector,unavailable,10382,168,165,-1710.825231096898,1650.0,-3360.8252310968974,-20.36863776422362,0.47878787878787876
ewma_short_memory,stock,AAL,292,7,7,276.7261133504795,70.0,206.7261133504795,29.532301907211355,0.42857142857142855
ewma_short_memory,stock,AAOI,536,8,8,350.9609962839277,80.0,270.9609962839277,33.870124535490966,0.375
ewma_short_memory,stock,APLD,614,15,15,-748.7842623239825,150.0,-898.7842623239825,-59.918950821598834,0.26666666666666666
ewma_short_memory,stock,ASTS,494,12,12,1544.049808274088,120.0,1424.049808274088,118.670817356174,0.6666666666666666
ewma_short_memory,stock,CIFR,667,5,5,1570.06435546593,50.0,1520.06435546593,304.012871093186,0.8
ewma_short_memory,stock,HIMS,477,10,10,298.21880116164374,100.0,198.21880116164374,19.821880116164373,0.4
ewma_short_memory,stock,IONQ,546,7,7,-3074.9846438671343,70.0,-3144.9846438671343,-449.2835205524478,0.2857142857142857
ewma_short_memory,stock,IREN,641,10,10,-854.0039065490369,100.0,-954.0039065490369,-95.40039065490369,0.4
ewma_short_memory,stock,MARA,526,9,9,1182.3158329883686,90.0,1092.3158329883686,121.36842588759652,0.7777777777777778
ewma_short_memory,stock,MP,459,6,6,-110.67304472857305,60.0,-170.67304472857305,-28.445507454762176,0.5
ewma_short_memory,stock,MRNA,402,8,8,482.4665840640596,80.0,402.4665840640596,50.30832300800745,0.625
ewma_short_memory,stock,MSTR,400,7,6,-200.239190301692,60.0,-260.23919030169196,-43.373198383615325,0.5
ewma_short_memory,stock,NVTS,505,5,5,-311.5255227371028,50.0,-361.5255227371028,-72.30510454742056,0.6
