detector,period,cost_bps_per_side,rows,dynamic_mean_net_bps,control_dynamic_mean_net_bps
H1_downside_expansion_exhaustion_long,2025,2.5,655,-15.381326534077163,-10.201862207123003
H1_downside_expansion_exhaustion_long,2025,5.0,655,-20.38132653407716,-15.201862207123003
H1_downside_expansion_exhaustion_long,2025,7.5,655,-25.381326534077164,-20.201862207123003
H1_downside_expansion_exhaustion_long,2025,10.0,655,-30.381326534077164,-25.201862207123003
H1_downside_expansion_exhaustion_long,2026,2.5,261,-9.730745221718955,-10.73872230440386
H1_downside_expansion_exhaustion_long,2026,5.0,261,-14.730745221718953,-15.73872230440386
H1_downside_expansion_exhaustion_long,2026,7.5,261,-19.730745221718955,-20.738722304403858
H1_downside_expansion_exhaustion_long,2026,10.0,261,-24.730745221718955,-25.738722304403858
H2_failed_breakdown_reclaim_long,2025,2.5,2949,-9.515693294561883,-6.664814113018717
H2_failed_breakdown_reclaim_long,2025,5.0,2949,-14.515693294561883,-11.664814113018718
H2_failed_breakdown_reclaim_long,2025,7.5,2949,-19.51569329456188,-16.664814113018718
H2_failed_breakdown_reclaim_long,2025,10.0,2949,-24.51569329456188,-21.664814113018718
H2_failed_breakdown_reclaim_long,2026,2.5,1381,-4.067235764638356,-8.3586312172637
H2_failed_breakdown_reclaim_long,2026,5.0,1381,-9.067235764638356,-13.3586312172637
H2_failed_breakdown_reclaim_long,2026,7.5,1381,-14.067235764638358,-18.3586312172637
H2_failed_breakdown_reclaim_long,2026,10.0,1381,-19.067235764638358,-23.3586312172637
H3_two_bar_reversal_confirmation_long,2025,2.5,1283,-10.07014768084918,-4.974441903964405
H3_two_bar_reversal_confirmation_long,2025,5.0,1283,-15.070147680849182,-9.974441903964404
H3_two_bar_reversal_confirmation_long,2025,7.5,1283,-20.07014768084918,-14.974441903964404
H3_two_bar_reversal_confirmation_long,2025,10.0,1283,-25.070147680849182,-19.974441903964404
H3_two_bar_reversal_confirmation_long,2026,2.5,573,-10.470714262303902,-2.874412854747354
H3_two_bar_reversal_confirmation_long,2026,5.0,573,-15.4707142623039,-7.874412854747353
H3_two_bar_reversal_confirmation_long,2026,7.5,573,-20.4707142623039,-12.874412854747353
H3_two_bar_reversal_confirmation_long,2026,10.0,573,-25.470714262303904,-17.874412854747355
H4_opening_range_failed_breakdown_long,2025,2.5,473,-17.790320807078345,-6.321398247936076
H4_opening_range_failed_breakdown_long,2025,5.0,473,-22.79032080707835,-11.321398247936079
H4_opening_range_failed_breakdown_long,2025,7.5,473,-27.79032080707835,-16.321398247936077
H4_opening_range_failed_breakdown_long,2025,10.0,473,-32.79032080707835,-21.321398247936077
H4_opening_range_failed_breakdown_long,2026,2.5,239,-6.892509556732373,-0.987896534543131
H4_opening_range_failed_breakdown_long,2026,5.0,239,-11.892509556732373,-5.98789653454313
H4_opening_range_failed_breakdown_long,2026,7.5,239,-16.892509556732374,-10.98789653454313
H4_opening_range_failed_breakdown_long,2026,10.0,239,-21.892509556732378,-15.98789653454313
H5_activity_activated_downside_expansion_long,2025,2.5,519,-16.890147468596975,-11.703418406716136
H5_activity_activated_downside_expansion_long,2025,5.0,519,-21.890147468596975,-16.703418406716136
H5_activity_activated_downside_expansion_long,2025,7.5,519,-26.89014746859698,-21.703418406716136
H5_activity_activated_downside_expansion_long,2025,10.0,519,-31.89014746859698,-26.703418406716136
H5_activity_activated_downside_expansion_long,2026,2.5,211,-8.722415125869675,-9.185525414165392
H5_activity_activated_downside_expansion_long,2026,5.0,211,-13.722415125869675,-14.185525414165394
H5_activity_activated_downside_expansion_long,2026,7.5,211,-18.722415125869677,-19.18552541416539
H5_activity_activated_downside_expansion_long,2026,10.0,211,-23.72241512586968,-24.18552541416539
