period,symbol_norm,detector,events
2025,AAL,H1_downside_expansion_exhaustion_long,5
2025,AAL,H2_failed_breakdown_reclaim_long,110
2025,AAL,H3_two_bar_reversal_confirmation_long,60
2025,AAL,H4_opening_range_failed_breakdown_long,22
2025,AAL,H5_activity_activated_downside_expansion_long,4
2025,AAOI,H1_downside_expansion_exhaustion_long,51
2025,AAOI,H2_failed_breakdown_reclaim_long,146
2025,AAOI,H3_two_bar_reversal_confirmation_long,68
2025,AAOI,H4_opening_range_failed_breakdown_long,20
2025,AAOI,H5_activity_activated_downside_expansion_long,43
2025,APLD,H1_downside_expansion_exhaustion_long,51
2025,APLD,H2_failed_breakdown_reclaim_long,163
2025,APLD,H3_two_bar_reversal_confirmation_long,60
2025,APLD,H4_opening_range_failed_breakdown_long,20
2025,APLD,H5_activity_activated_downside_expansion_long,39
2025,ASTS,H1_downside_expansion_exhaustion_long,38
2025,ASTS,H2_failed_breakdown_reclaim_long,156
2025,ASTS,H3_two_bar_reversal_confirmation_long,64
2025,ASTS,H4_opening_range_failed_breakdown_long,19
2025,ASTS,H5_activity_activated_downside_expansion_long,32
2025,CIFR,H1_downside_expansion_exhaustion_long,63
2025,CIFR,H2_failed_breakdown_reclaim_long,148
2025,CIFR,H3_two_bar_reversal_confirmation_long,62
2025,CIFR,H4_opening_range_failed_breakdown_long,26
2025,CIFR,H5_activity_activated_downside_expansion_long,44
2025,HIMS,H1_downside_expansion_exhaustion_long,35
2025,HIMS,H2_failed_breakdown_reclaim_long,163
2025,HIMS,H3_two_bar_reversal_confirmation_long,64
2025,HIMS,H4_opening_range_failed_breakdown_long,42
2025,HIMS,H5_activity_activated_downside_expansion_long,25
2025,IONQ,H1_downside_expansion_exhaustion_long,38
2025,IONQ,H2_failed_breakdown_reclaim_long,149
2025,IONQ,H3_two_bar_reversal_confirmation_long,60
2025,IONQ,H4_opening_range_failed_breakdown_long,28
2025,IONQ,H5_activity_activated_downside_expansion_long,36
2025,IREN,H1_downside_expansion_exhaustion_long,37
2025,IREN,H2_failed_breakdown_reclaim_long,152
2025,IREN,H3_two_bar_reversal_confirmation_long,70
2025,IREN,H4_opening_range_failed_breakdown_long,25
2025,IREN,H5_activity_activated_downside_expansion_long,25
2025,MARA,H1_downside_expansion_exhaustion_long,18
2025,MARA,H2_failed_breakdown_reclaim_long,164
2025,MARA,H3_two_bar_reversal_confirmation_long,64
2025,MARA,H4_opening_range_failed_breakdown_long,22
2025,MARA,H5_activity_activated_downside_expansion_long,14
2025,MP,H1_downside_expansion_exhaustion_long,28
2025,MP,H2_failed_breakdown_reclaim_long,147
2025,MP,H3_two_bar_reversal_confirmation_long,74
2025,MP,H4_opening_range_failed_breakdown_long,21
2025,MP,H5_activity_activated_downside_expansion_long,21
2025,MRNA,H1_downside_expansion_exhaustion_long,11
2025,MRNA,H2_failed_breakdown_reclaim_long,141
2025,MRNA,H3_two_bar_reversal_confirmation_long,57
2025,MRNA,H4_opening_range_failed_breakdown_long,17
2025,MRNA,H5_activity_activated_downside_expansion_long,11
2025,MSTR,H1_downside_expansion_exhaustion_long,19
2025,MSTR,H2_failed_breakdown_reclaim_long,156
2025,MSTR,H3_two_bar_reversal_confirmation_long,62
