period,model_id,comparator,endpoint,observed,lower_95,upper_95,one_sided_p,holm_adjusted_p
2025,M1_price_context,M0_clock_prior,macro_f1_improvement,0.043956703349987164,0.028238135597630984,0.06060724976500996,0.0001999600079984003,0.003199360127974405
2025,M1_price_context,M0_clock_prior,log_loss_improvement,-0.0008040244699714813,-0.005336908356808525,0.0036681582217895597,0.6282743451309738,1.0
2025,M2_price_plus_activity,M1_price_context,macro_f1_improvement,0.0014505030123642126,-0.002188671647311502,0.0053161883728877,0.22435512897420515,1.0
2025,M2_price_plus_activity,M1_price_context,log_loss_improvement,-0.0011230292673669263,-0.0023930004130736375,4.856050728982146e-05,0.969006198760248,1.0
2025,M1_price_context,zero,mean_net_per_opportunity_bps,-6.720433490383543,-11.20383893523836,-2.3800749620994814,0.9976004799040192,1.0
2025,M1_price_context,zero,mean_net_per_directional_bps,-14.856093402728488,-24.820923576240297,-5.219291250788626,0.9976004799040192,1.0
2025,M2_price_plus_activity,zero,mean_net_per_opportunity_bps,-5.711391911531529,-10.101057440952076,-1.3354432442682636,0.9946010797840432,1.0
2025,M2_price_plus_activity,zero,mean_net_per_directional_bps,-12.333841938763907,-21.84572848801697,-2.9775365823909055,0.9946010797840432,1.0
2026,M1_price_context,M0_clock_prior,macro_f1_improvement,0.0067363236954327554,0.0010341340327717538,0.013513611076131565,0.00639872025594881,0.08958208358328335
2026,M1_price_context,M0_clock_prior,log_loss_improvement,-0.012743862402302533,-0.020360028687885428,-0.00521725299645886,0.9994001199760048,1.0
2026,M2_price_plus_activity,M1_price_context,macro_f1_improvement,0.003539799930114995,0.0009876838009872844,0.006456200268607109,0.001799640071985603,0.026994601079784044
2026,M2_price_plus_activity,M1_price_context,log_loss_improvement,-0.0006106135663779304,-0.00233576528130524,0.0009272558405752098,0.7684463107378524,1.0
2026,M1_price_context,zero,mean_net_per_opportunity_bps,-9.592301177719321,-17.131806998395223,-1.7873583271374598,0.9918016396720656,1.0
2026,M1_price_context,zero,mean_net_per_directional_bps,-19.378342729315378,-34.52216150562585,-3.5181358148426445,0.9918016396720656,1.0
2026,M2_price_plus_activity,zero,mean_net_per_opportunity_bps,-9.003104313448402,-16.21320927279086,-1.3496863565973178,0.9888022395520896,1.0
2026,M2_price_plus_activity,zero,mean_net_per_directional_bps,-17.634017630474876,-31.792192007451966,-2.625531452918289,0.9888022395520896,1.0
