period,model_id,cost_bps_per_side,mean_net_per_directional_bps,mean_net_per_opportunity_bps
2025,M0_clock_prior,2.5,-18.818043185999443,-2.8183926116575835
2025,M0_clock_prior,5.0,-23.818043185999443,-3.5672464068689944
2025,M0_clock_prior,7.5,-28.818043185999443,-4.316100202080405
2025,M0_clock_prior,10.0,-33.81804318599944,-5.064953997291816
2025,M1_price_context,2.5,-9.856093402728485,-4.4585893742347915
2025,M1_price_context,5.0,-14.856093402728488,-6.720433490383543
2025,M1_price_context,7.5,-19.856093402728487,-8.982277606532296
2025,M1_price_context,10.0,-24.856093402728487,-11.244121722681049
2025,M2_price_plus_activity,2.5,-7.3338419387639044,-3.3960582385819613
2025,M2_price_plus_activity,5.0,-12.333841938763907,-5.711391911531528
2025,M2_price_plus_activity,7.5,-17.333841938763907,-8.026725584481095
2025,M2_price_plus_activity,10.0,-22.33384193876391,-10.342059257430662
2026,M0_clock_prior,2.5,-123.3652706318704,-2.3297151752297225
2026,M0_clock_prior,5.0,-128.36527063187037,-2.4241386366827333
2026,M0_clock_prior,7.5,-133.36527063187037,-2.5185620981357437
2026,M0_clock_prior,10.0,-138.36527063187037,-2.612985559588754
2026,M1_price_context,2.5,-14.378342729315374,-7.117295623398057
2026,M1_price_context,5.0,-19.378342729315378,-9.592301177719321
2026,M1_price_context,7.5,-24.378342729315378,-12.067306732040581
2026,M1_price_context,10.0,-29.378342729315374,-14.542312286361843
2026,M2_price_plus_activity,2.5,-12.634017630474872,-6.450338261459955
2026,M2_price_plus_activity,5.0,-17.634017630474872,-9.003104313448402
2026,M2_price_plus_activity,7.5,-22.634017630474872,-11.55587036543685
2026,M2_price_plus_activity,10.0,-27.634017630474872,-14.108636417425297
