period,model_id,actual_class,predicted_class,rows
2025,M0_clock_prior,long,long,0
2025,M0_clock_prior,long,neutral,2364
2025,M0_clock_prior,long,short,0
2025,M0_clock_prior,neutral,long,0
2025,M0_clock_prior,neutral,neutral,4940
2025,M0_clock_prior,neutral,short,0
2025,M0_clock_prior,short,long,0
2025,M0_clock_prior,short,neutral,2511
2025,M0_clock_prior,short,short,0
2025,M1_price_context,long,long,85
2025,M1_price_context,long,neutral,2166
2025,M1_price_context,long,short,113
2025,M1_price_context,neutral,long,112
2025,M1_price_context,neutral,neutral,4703
2025,M1_price_context,neutral,short,125
2025,M1_price_context,short,long,91
2025,M1_price_context,short,neutral,2318
2025,M1_price_context,short,short,102
2025,M2_price_plus_activity,long,long,95
2025,M2_price_plus_activity,long,neutral,2157
2025,M2_price_plus_activity,long,short,112
2025,M2_price_plus_activity,neutral,long,124
2025,M2_price_plus_activity,neutral,neutral,4675
2025,M2_price_plus_activity,neutral,short,141
2025,M2_price_plus_activity,short,long,91
2025,M2_price_plus_activity,short,neutral,2318
2025,M2_price_plus_activity,short,short,102
2026,M0_clock_prior,long,long,0
2026,M0_clock_prior,long,neutral,1214
2026,M0_clock_prior,long,short,0
2026,M0_clock_prior,neutral,long,0
2026,M0_clock_prior,neutral,neutral,2228
2026,M0_clock_prior,neutral,short,0
2026,M0_clock_prior,short,long,0
2026,M0_clock_prior,short,neutral,1059
2026,M0_clock_prior,short,short,0
2026,M1_price_context,long,long,10
2026,M1_price_context,long,neutral,1193
2026,M1_price_context,long,short,11
2026,M1_price_context,neutral,long,27
2026,M1_price_context,neutral,neutral,2187
2026,M1_price_context,neutral,short,14
2026,M1_price_context,short,long,8
2026,M1_price_context,short,neutral,1046
2026,M1_price_context,short,short,5
2026,M2_price_plus_activity,long,long,11
2026,M2_price_plus_activity,long,neutral,1194
2026,M2_price_plus_activity,long,short,9
2026,M2_price_plus_activity,neutral,long,28
2026,M2_price_plus_activity,neutral,neutral,2184
2026,M2_price_plus_activity,neutral,short,16
2026,M2_price_plus_activity,short,long,10
2026,M2_price_plus_activity,short,neutral,1039
2026,M2_price_plus_activity,short,short,10
