policy_type,model,month,base_rows,selected_rows,coverage,selected_mean_net_bps,selector_mean_net_per_opportunity_bps
calibrated_point_mean_nonqualifying,context_only,2024-09,106,0,0.0,,0.0
calibrated_point_mean_nonqualifying,context_only,2024-10,627,0,0.0,,0.0
calibrated_point_mean_nonqualifying,context_only,2024-11,442,0,0.0,,0.0
calibrated_point_mean_nonqualifying,context_only,2024-12,470,0,0.0,,0.0
calibrated_point_mean_nonqualifying,context_plus_loop_mixture,2024-09,106,0,0.0,,0.0
calibrated_point_mean_nonqualifying,context_plus_loop_mixture,2024-10,627,0,0.0,,0.0
calibrated_point_mean_nonqualifying,context_plus_loop_mixture,2024-11,442,0,0.0,,0.0
calibrated_point_mean_nonqualifying,context_plus_loop_mixture,2024-12,470,0,0.0,,0.0
calibrated_point_mean_nonqualifying,prediction_only,2024-09,106,0,0.0,,0.0
calibrated_point_mean_nonqualifying,prediction_only,2024-10,627,0,0.0,,0.0
calibrated_point_mean_nonqualifying,prediction_only,2024-11,442,0,0.0,,0.0
calibrated_point_mean_nonqualifying,prediction_only,2024-12,470,0,0.0,,0.0
calibrated_point_mean_nonqualifying,sequential_confirmation,2024-09,106,0,0.0,,0.0
calibrated_point_mean_nonqualifying,sequential_confirmation,2024-10,627,0,0.0,,0.0
calibrated_point_mean_nonqualifying,sequential_confirmation,2024-11,442,0,0.0,,0.0
calibrated_point_mean_nonqualifying,sequential_confirmation,2024-12,470,0,0.0,,0.0
conservative_uncertainty_aware,context_only,2024-09,106,0,0.0,,0.0
conservative_uncertainty_aware,context_only,2024-10,627,0,0.0,,0.0
conservative_uncertainty_aware,context_only,2024-11,442,0,0.0,,0.0
conservative_uncertainty_aware,context_only,2024-12,470,0,0.0,,0.0
conservative_uncertainty_aware,context_plus_loop_mixture,2024-09,106,0,0.0,,0.0
conservative_uncertainty_aware,context_plus_loop_mixture,2024-10,627,0,0.0,,0.0
conservative_uncertainty_aware,context_plus_loop_mixture,2024-11,442,0,0.0,,0.0
conservative_uncertainty_aware,context_plus_loop_mixture,2024-12,470,0,0.0,,0.0
conservative_uncertainty_aware,prediction_only,2024-09,106,0,0.0,,0.0
conservative_uncertainty_aware,prediction_only,2024-10,627,0,0.0,,0.0
conservative_uncertainty_aware,prediction_only,2024-11,442,0,0.0,,0.0
conservative_uncertainty_aware,prediction_only,2024-12,470,0,0.0,,0.0
conservative_uncertainty_aware,sequential_confirmation,2024-09,106,0,0.0,,0.0
conservative_uncertainty_aware,sequential_confirmation,2024-10,627,0,0.0,,0.0
conservative_uncertainty_aware,sequential_confirmation,2024-11,442,0,0.0,,0.0
conservative_uncertainty_aware,sequential_confirmation,2024-12,470,0,0.0,,0.0
