excluded_stock,target_lead_sessions,paired_forecasts,paired_observable_targets,paired_brier_improvement,paired_log_loss_improvement,paired_absolute_error_improvement_bps,paired_economic_increment_bps,primary_registered_endpoint,all_stock_dependent_inputs_rebuilt
AAL,0,8360,2784,-0.0515110572913,-0.252151466735,0,2650.22301266,False,True
AAL,1,8360,2770,-0.0542427012913,-0.269681560343,0,838.502619127,True,True
AAL,2,8360,2753,-0.0536818981565,-0.285795585096,0,-1026.76803542,False,True
AAL,3,8360,2736,-0.0469603695739,-0.219718255975,0,-762.480741132,False,True
AAL,5,8360,2706,-0.0475386802835,-0.262507449349,0,-1476.07445166,False,True
AAOI,0,8360,2749,-0.0498624579847,-0.222919885155,0,-413.264781651,False,True
AAOI,1,8360,2735,-0.053431294102,-0.265170089329,0,496.95372568,True,True
AAOI,2,8360,2717,-0.0505454912113,-0.258423040549,0,1347.07249048,False,True
AAOI,3,8360,2700,-0.0515854751248,-0.226790693098,0,-270.540697892,False,True
AAOI,5,8360,2670,-0.0474152152799,-0.267392179011,0,-417.808422835,False,True
APLD,0,8170,2726,-0.0508312468091,-0.261186617617,0,3109.38405046,False,True
APLD,1,8170,2712,-0.0563384107846,-0.292916746088,0,825.959326581,True,True
APLD,2,8170,2694,-0.0511712464152,-0.287874335612,0,-658.188236431,False,True
APLD,3,8170,2677,-0.0455642196832,-0.225954562277,0,688.270555361,False,True
APLD,5,8170,2648,-0.042359117067,-0.253132541483,0,-1966.64169379,False,True
ASTS,0,8360,2741,-0.0493412339749,-0.203042564774,0,918.970886102,False,True
ASTS,1,8360,2728,-0.0561850703438,-0.257187487823,0,-816.084816094,True,True
ASTS,2,8360,2710,-0.0513494913506,-0.258878141859,0,1288.23675265,False,True
ASTS,3,8360,2693,-0.047985297489,-0.215348171496,0,758.692328589,False,True
ASTS,5,8360,2663,-0.0450808224843,-0.253347014867,0,-204.349978664,False,True
CIFR,0,8360,2717,-0.0470114412122,-0.218047085186,0,1193.48221207,False,True
CIFR,1,8360,2703,-0.0518245438255,-0.258693020972,0,109.408734394,True,True
CIFR,2,8360,2686,-0.0502025923052,-0.26111797095,0,-592.784313747,False,True
CIFR,3,8360,2670,-0.0456115807346,-0.210599587127,0,-1191.60991635,False,True
CIFR,5,8360,2643,-0.0400687649156,-0.224616233977,0,-2073.99400422,False,True
HIMS,0,8360,2764,-0.052309510718,-0.22263391422,0,2291.4950507,False,True
HIMS,1,8360,2750,-0.0553293994298,-0.263515197916,0,-199.405171326,True,True
HIMS,2,8360,2732,-0.0513022875471,-0.256006152467,0,62.5394420306,False,True
HIMS,3,8360,2715,-0.0527613131036,-0.230214149828,0,-350.793863415,False,True
HIMS,5,8360,2685,-0.0459474703669,-0.25324339492,0,-2526.45053457,False,True
IONQ,0,8360,2759,-0.0482154020884,-0.20936996116,0,1568.82410259,False,True
IONQ,1,8360,2745,-0.0550478830246,-0.241020497976,0,-1503.8433339,True,True
IONQ,2,8360,2727,-0.0560025445981,-0.252520400277,0,-355.072193802,False,True
IONQ,3,8360,2710,-0.0509113635257,-0.229518676962,0,-1268.86950876,False,True
IONQ,5,8360,2683,-0.0442422795089,-0.248370077584,0,-530.706467005,False,True
IREN,0,8360,2732,-0.0488072534396,-0.214645279396,0,705.563553239,False,True
IREN,1,8360,2718,-0.0546077520606,-0.263062309032,0,-705.290095272,True,True
IREN,2,8360,2700,-0.0537384121999,-0.25737734857,0,-287.953269747,False,True
IREN,3,8360,2683,-0.0487354225604,-0.220023207651,0,-944.596232303,False,True
IREN,5,8360,2654,-0.0438745809478,-0.24177886454,0,-1806.06185349,False,True
MARA,0,8360,2759,-0.0488440143923,-0.213557666531,0,2386.22717601,False,True
MARA,1,8360,2746,-0.0545176398147,-0.260934978078,0,-742.841142008,True,True
MARA,2,8360,2728,-0.0550555830704,-0.263121052384,0,775.870814891,False,True
MARA,3,8360,2712,-0.0471723930063,-0.215453819146,0,-571.626613775,False,True
MARA,5,8360,2682,-0.0428883027307,-0.248880044552,0,-157.259601248,False,True
MP,0,8360,2756,-0.0465072207517,-0.204037673175,0,1382.11077951,False,True
MP,1,8360,2743,-0.0519585741254,-0.232277980052,0,-487.68928549,True,True
MP,2,8360,2725,-0.0491881586844,-0.245755903507,0,98.4453583545,False,True
MP,3,8360,2709,-0.0461578062844,-0.209638949204,0,-2209.93352161,False,True
MP,5,8360,2679,-0.0443761843194,-0.247087067209,0,-1122.02787297,False,True
MRNA,0,8360,2764,-0.0510356683023,-0.226443205398,0,1482.7038162,False,True
MRNA,1,8360,2750,-0.0547202594615,-0.26404235562,0,-184.251786975,True,True
MRNA,2,8360,2732,-0.0500620286385,-0.241590011692,0,1204.77380379,False,True
MRNA,3,8360,2715,-0.0485452423432,-0.219964097475,0,23.4395871406,False,True
MRNA,5,8360,2686,-0.0463195566975,-0.255421366392,0,-1331.86644766,False,True
MSTR,0,8360,2771,-0.0498524149235,-0.213392195093,0,2029.98278738,False,True
MSTR,1,8360,2757,-0.0558900918778,-0.269093706775,0,-1898.35905436,True,True
MSTR,2,8360,2739,-0.0514497187637,-0.253635548314,0,-119.642923622,False,True
MSTR,3,8360,2724,-0.047630676417,-0.216493599266,0,-244.954370757,False,True
MSTR,5,8360,2694,-0.0432419144471,-0.249841930609,0,-497.805793972,False,True
NVTS,0,8360,2750,-0.0493428268098,-0.201977544746,0,1992.66286724,False,True
NVTS,1,8360,2736,-0.0582683548654,-0.269156807962,0,119.347358443,True,True
NVTS,2,8360,2718,-0.0492833687538,-0.252866606723,0,-1164.57995532,False,True
NVTS,3,8360,2701,-0.0497624708072,-0.215751384244,0,-751.52009666,False,True
NVTS,5,8360,2671,-0.047182448762,-0.252756596314,0,-1644.4043278,False,True
QBTS,0,8360,2710,-0.0447268452554,-0.208375601512,0,3581.00818277,False,True
QBTS,1,8360,2697,-0.0544405497752,-0.259963845529,0,-399.541034384,True,True
QBTS,2,8360,2679,-0.0490095103247,-0.246968449942,0,-1365.66337359,False,True
QBTS,3,8360,2663,-0.0471920461906,-0.223848498734,0,-927.634115434,False,True
QBTS,5,8360,2634,-0.0451303046143,-0.234844865182,0,-1843.17492916,False,True
RGTI,0,8360,2707,-0.0459445727175,-0.205946104118,0,1136.87429896,False,True
RGTI,1,8360,2693,-0.0563581884646,-0.269307016588,0,1263.69025586,True,True
RGTI,2,8360,2677,-0.049495427465,-0.232232719929,0,-1031.48599104,False,True
RGTI,3,8360,2660,-0.0474879051656,-0.209875084796,0,-1151.8947469,False,True
RGTI,5,8360,2632,-0.0406145827674,-0.236992060292,0,-1397.46570097,False,True
RIOT,0,8360,2766,-0.0484553559464,-0.20870999966,0,3399.61517645,False,True
